,date,open,high,low,close,volume,average,barCount
0,2023-10-06,121.2,124.87,118.69,123.46,674983.0,122.695,5107
1,2023-10-09,121.09,123.1,118.77,121.35,485763.0,120.797,3630
2,2023-10-10,121.26,124.95,119.57,123.72,530953.0,123.818,4097
3,2023-10-11,123.51,124.18,121.56,123.61,415392.0,122.972,3441
4,2023-10-12,123.72,123.73,119.0,119.76,524072.0,120.283,3985
5,2023-10-13,118.77,119.17,115.66,116.31,1026594.0,116.703,8060
6,2023-10-16,118.37,124.78,118.26,123.21,970490.0,123.236,7866
7,2023-10-17,122.52,127.35,122.52,125.94,754207.0,126.121,6011
8,2023-10-18,125.09,125.7,122.7,123.35,555100.0,124.112,4258
9,2023-10-19,123.12,123.5,119.33,120.62,1474224.0,121.043,11273
10,2023-10-20,120.53,122.58,119.78,122.19,759398.0,121.634,5857
11,2023-10-23,120.34,121.57,116.03,118.18,646662.0,118.289,4631
12,2023-10-24,119.23,121.64,118.64,120.16,603718.0,120.23,3995
13,2023-10-25,117.7,120.93,117.51,120.09,406959.0,119.999,3006
14,2023-10-26,120.65,120.99,117.75,119.41,388570.0,119.006,2892
15,2023-10-27,119.82,121.74,116.33,116.43,623738.0,118.913,4846
16,2023-10-30,118.45,119.77,117.93,118.8,646149.0,118.721,4309
17,2023-10-31,119.28,121.53,117.92,121.03,661353.0,120.09,4553
18,2023-11-01,121.06,121.06,117.09,118.58,428349.0,118.549,3072
19,2023-11-02,120.66,126.4,120.3,126.26,914769.0,124.528,6617
20,2023-11-03,133.01,133.51,130.28,132.46,2881933.0,132.765,20935
21,2023-11-06,132.14,132.93,130.41,132.27,2445471.0,132.065,18259
22,2023-11-07,130.71,133.29,130.3,131.15,963555.0,131.439,7562
23,2023-11-08,131.08,134.36,130.19,130.62,530943.0,131.556,4225
24,2023-11-09,131.35,133.8,129.99,130.76,777258.0,131.363,5949
25,2023-11-10,130.56,131.32,128.06,130.71,615552.0,130.187,4817
26,2023-11-13,129.57,129.93,125.38,125.5,913522.0,126.489,6844
27,2023-11-14,129.5,135.02,129.5,132.22,1453982.0,132.675,10208
28,2023-11-15,133.71,137.66,132.68,135.81,1579440.0,135.668,10647
29,2023-11-16,134.68,135.33,128.57,129.93,1308303.0,131.011,9480
30,2023-11-17,135.84,137.79,131.75,136.0,1603536.0,135.872,11874
31,2023-11-20,136.0,137.65,133.08,136.71,2207096.0,136.532,15999
32,2023-11-21,159.9,167.09,156.01,165.06,4399478.0,163.701,26652
33,2023-11-22,166.37,173.51,165.73,171.75,2314355.0,171.262,16651
34,2023-11-24,172.8,174.58,171.86,172.45,621428.0,172.589,4430
35,2023-11-27,172.3,173.26,170.61,171.68,1065299.0,171.973,8723
36,2023-11-28,170.94,171.61,169.11,171.4,820103.0,170.449,6570
37,2023-11-29,173.03,175.68,171.47,171.52,746467.0,173.361,5944
38,2023-11-30,171.66,172.26,168.49,169.59,626109.0,169.797,4886
39,2023-12-01,170.28,176.24,168.55,174.06,772858.0,174.107,6039
40,2023-12-04,173.3,178.83,172.8,178.3,751010.0,176.922,5733
41,2023-12-05,176.69,176.69,173.76,175.51,425433.0,175.238,3433
42,2023-12-06,177.01,178.89,175.62,176.22,475419.0,176.991,3566
43,2023-12-07,176.41,177.83,173.21,174.08,575684.0,174.896,4348
44,2023-12-08,174.25,177.75,173.42,176.28,353530.0,176.659,2809
45,2023-12-11,177.48,179.71,176.74,177.76,406406.0,177.998,3163
46,2023-12-12,177.58,179.2,175.63,178.68,337455.0,178.406,2667
47,2023-12-13,178.7,187.24,177.44,186.67,742419.0,183.222,5602
48,2023-12-14,189.31,192.92,187.01,187.9,907655.0,189.464,6859
49,2023-12-15,187.63,189.99,182.83,183.05,737546.0,184.433,5197
50,2023-12-18,184.0,184.69,180.83,181.83,448449.0,181.81,2981
51,2023-12-19,183.78,187.14,183.41,186.64,304143.0,186.167,2358
52,2023-12-20,186.46,194.69,186.46,188.64,1046219.0,192.054,8129
53,2023-12-21,190.28,192.97,190.0,190.48,536401.0,191.451,4340
