,date,open,high,low,close,volume,average,barCount
0,2023-09-25,19.03,19.53,19.03,19.5,28385.0,19.424,219
1,2023-09-26,19.29,19.59,19.23,19.28,50230.0,19.342,416
2,2023-09-27,19.4,19.48,18.95,19.09,51162.0,19.125,401
3,2023-09-28,19.02,19.37,18.91,19.16,53789.0,19.215,469
4,2023-09-29,19.3,19.41,19.11,19.22,62833.0,19.239,517
5,2023-10-02,19.15,19.29,18.7,18.79,61194.0,18.845,519
6,2023-10-03,18.7,18.87,18.45,18.66,51587.0,18.629,419
7,2023-10-04,18.69,19.23,18.51,18.9,42713.0,18.787,347
8,2023-10-05,18.8,19.47,18.47,19.36,48039.0,19.206,410
9,2023-10-06,19.18,19.53,19.04,19.37,34584.0,19.378,282
10,2023-10-09,19.21,19.56,19.21,19.4,38867.0,19.428,312
11,2023-10-10,19.42,19.71,19.4,19.41,20580.0,19.493,177
12,2023-10-11,19.43,19.64,19.34,19.51,27396.0,19.496,214
13,2023-10-12,19.53,19.53,19.23,19.46,35806.0,19.392,239
14,2023-10-13,19.63,19.63,19.07,19.08,28173.0,19.179,254
15,2023-10-16,19.3,19.49,19.28,19.43,29943.0,19.385,252
16,2023-10-17,19.33,20.09,19.32,19.9,71214.0,19.907,495
17,2023-10-18,19.75,19.77,19.48,19.58,43369.0,19.616,355
18,2023-10-19,19.36,19.64,19.29,19.33,27310.0,19.391,219
19,2023-10-20,19.36,19.38,18.9,18.98,57431.0,19.188,315
20,2023-10-23,18.85,19.3,18.82,18.97,70114.0,19.118,552
21,2023-10-24,19.04,19.39,18.57,18.68,72849.0,18.731,509
22,2023-10-25,18.59,19.2,17.51,18.42,222493.0,18.316,1091
23,2023-10-26,18.52,19.19,18.5,19.08,96597.0,18.897,692
24,2023-10-27,19.1,19.3,18.75,19.09,56020.0,19.034,414
25,2023-10-30,19.29,19.9,19.22,19.72,78128.0,19.69,484
26,2023-10-31,19.71,19.96,19.65,19.86,33586.0,19.837,250
27,2023-11-01,19.78,19.9,19.27,19.5,98091.0,19.521,735
28,2023-11-02,19.7,20.29,19.7,20.26,65781.0,20.133,375
29,2023-11-03,20.75,21.17,20.63,20.88,54159.0,20.969,400
30,2023-11-06,20.79,20.82,20.56,20.81,43774.0,20.721,335
31,2023-11-07,20.66,20.75,20.46,20.58,22531.0,20.598,181
32,2023-11-08,20.55,20.55,20.05,20.23,35788.0,20.177,282
33,2023-11-09,20.28,20.31,19.61,19.89,30835.0,19.998,242
34,2023-11-10,19.96,19.96,19.7,19.84,49995.0,19.844,411
35,2023-11-13,19.71,20.21,19.67,20.18,37059.0,20.033,262
36,2023-11-14,20.8,21.73,20.78,21.71,72405.0,21.508,550
37,2023-11-15,21.59,22.01,21.39,21.83,33823.0,21.826,286
38,2023-11-16,21.83,21.89,21.38,21.51,21065.0,21.535,159
39,2023-11-17,21.76,21.95,21.56,21.61,65648.0,21.758,291
40,2023-11-20,21.6,21.6,21.21,21.53,33985.0,21.455,296
41,2023-11-21,21.52,21.59,21.07,21.09,22289.0,21.281,201
42,2023-11-22,21.3,21.34,21.03,21.14,21175.0,21.184,179
43,2023-11-24,21.16,21.35,21.06,21.09,14783.0,21.164,125
44,2023-11-27,21.0,21.38,20.67,20.89,37897.0,20.912,271
45,2023-11-28,21.27,21.8,20.87,21.48,106199.0,21.359,611
46,2023-11-29,21.68,22.15,21.65,21.95,69379.0,22.008,477
47,2023-11-30,21.97,22.08,21.58,21.7,68299.0,21.871,518
48,2023-12-01,21.53,22.89,21.38,22.82,92515.0,22.41,677
49,2023-12-04,22.67,23.41,22.25,23.22,77901.0,23.14,594
50,2023-12-05,23.28,23.44,23.02,23.18,62268.0,23.232,435
51,2023-12-06,23.4,23.88,22.97,23.03,74901.0,23.242,541
52,2023-12-07,23.14,23.57,23.0,23.55,80948.0,23.393,558
53,2023-12-08,23.64,23.87,23.33,23.61,71851.0,23.647,523
54,2023-12-11,23.71,23.82,23.43,23.71,53602.0,23.65,415
55,2023-12-12,23.65,23.72,23.45,23.48,54586.0,23.576,339
56,2023-12-13,23.58,24.73,23.19,24.71,131431.0,24.274,933
57,2023-12-14,25.32,25.73,24.52,24.82,111699.0,24.88,835
58,2023-12-15,25.0,25.05,24.31,24.38,215019.0,24.777,599
59,2023-12-18,24.58,24.77,24.32,24.57,73403.0,24.555,625
60,2023-12-19,24.66,25.23,24.51,25.16,83186.0,25.073,699
61,2023-12-20,25.06,25.8,24.74,24.78,61076.0,25.331,475
62,2023-12-21,24.97,25.05,24.75,25.02,37460.0,24.907,283
63,2023-12-22,25.25,25.53,25.11,25.26,77369.0,25.287,416
64,2023-12-26,25.45,25.56,25.19,25.41,41447.0,25.423,363
65,2023-12-27,25.57,25.57,25.22,25.33,31617.0,25.344,273
66,2023-12-28,25.3,25.41,25.13,25.32,24809.0,25.294,171
67,2023-12-29,25.19,25.29,24.81,24.82,27017.0,24.957,227
68,2024-01-02,24.6,25.23,23.94,24.88,50348.0,24.875,429
69,2024-01-03,24.8,24.81,23.86,23.9,129955.0,24.231,1054
70,2024-01-04,24.04,24.5,23.96,24.15,101724.0,24.242,638
71,2024-01-05,24.01,24.5,23.86,24.4,110305.0,24.359,761
72,2024-01-08,24.48,24.72,24.25,24.49,57624.0,24.478,387
73,2024-01-09,24.19,24.3,23.72,24.1,71637.0,24.11,445
74,2024-01-10,23.93,24.16,23.76,24.06,38591.0,23.931,297
75,2024-01-11,23.82,24.28,23.39,23.8,33271.0,23.631,278
76,2024-01-12,24.07,24.26,23.32,23.68,52460.0,23.566,317
77,2024-01-16,23.3,23.44,23.07,23.19,78160.0,23.209,447
78,2024-01-17,22.96,23.42,22.96,23.25,53152.0,23.144,394
79,2024-01-18,23.2,23.2,22.88,23.07,39668.0,23.023,346
80,2024-01-19,23.21,23.64,22.9,23.64,81764.0,23.344,585
81,2024-01-22,23.8,24.28,23.8,24.22,68365.0,24.036,521
82,2024-01-23,24.51,24.52,23.84,23.86,52138.0,24.015,410
83,2024-01-24,24.26,24.77,23.3,24.34,98845.0,24.428,712
84,2024-01-25,24.78,24.79,24.03,24.46,145366.0,24.229,897
85,2024-01-26,24.57,24.84,24.35,24.46,138069.0,24.453,1173
86,2024-01-29,24.39,24.97,24.27,24.93,171894.0,24.516,1223
87,2024-01-30,24.87,25.07,24.68,24.89,72761.0,24.879,462
88,2024-01-31,24.56,24.64,23.54,23.54,69187.0,24.011,607
89,2024-02-01,23.62,23.85,22.63,23.37,75754.0,23.06,596
