,date,open,high,low,close,volume,average,barCount
0,2023-10-06,20.9,21.54,20.69,20.92,2253781.0,21.055,12841
1,2023-10-09,20.7,21.26,20.65,21.24,2960854.0,21.003,16501
2,2023-10-10,21.08,21.44,21.01,21.34,1910965.0,21.27,9194
3,2023-10-11,21.54,21.91,21.42,21.87,1518980.0,21.67,8702
4,2023-10-12,21.9,21.9,21.31,21.55,1128146.0,21.551,6871
5,2023-10-13,21.87,21.92,21.03,21.16,1853588.0,21.309,9019
6,2023-10-16,21.43,21.72,21.23,21.61,1170448.0,21.568,6402
7,2023-10-17,21.45,21.94,21.43,21.76,963100.0,21.786,5623
8,2023-10-18,21.6,21.63,21.05,21.25,2043380.0,21.238,11162
9,2023-10-19,21.23,21.35,20.43,20.45,2264708.0,20.847,13650
10,2023-10-20,20.3,20.63,20.05,20.14,2234593.0,20.252,13126
11,2023-10-23,20.12,20.27,19.71,19.74,2141496.0,19.962,13048
12,2023-10-24,19.78,20.51,19.75,20.1,3407391.0,20.103,19761
13,2023-10-25,19.75,20.32,19.25,19.69,3731181.0,19.642,19624
14,2023-10-26,19.61,20.26,19.6,19.85,3012072.0,19.916,16596
15,2023-10-27,19.99,20.0,18.98,19.45,2452154.0,19.344,12732
16,2023-10-30,19.7,19.95,19.48,19.81,1865102.0,19.736,10295
17,2023-10-31,19.91,20.19,19.75,19.95,1318933.0,19.988,6822
18,2023-11-01,20.05,20.34,19.68,20.19,1951126.0,20.005,10358
19,2023-11-02,20.45,21.24,20.45,21.23,1381365.0,20.945,7916
20,2023-11-03,22.03,22.19,21.44,21.71,2274510.0,21.692,11984
21,2023-11-06,21.64,21.73,21.11,21.34,1167555.0,21.298,7201
22,2023-11-07,21.25,21.66,21.15,21.39,1306083.0,21.453,7419
23,2023-11-08,21.4,21.68,21.17,21.57,850616.0,21.55,5078
24,2023-11-09,21.74,21.92,21.25,21.38,1519206.0,21.579,8601
25,2023-11-10,21.57,21.6,21.27,21.35,824788.0,21.377,5074
26,2023-11-13,21.15,21.38,21.07,21.26,1153204.0,21.217,6760
27,2023-11-14,22.0,22.59,21.96,22.55,2447977.0,22.356,12394
28,2023-11-15,22.5,22.98,22.41,22.95,2066858.0,22.84,9501
29,2023-11-16,22.9,23.02,21.79,21.9,1980437.0,22.219,11160
30,2023-11-17,22.17,22.44,21.94,22.19,1706803.0,22.18,8980
31,2023-11-20,22.23,22.65,22.13,22.46,1717054.0,22.426,9203
32,2023-11-21,22.28,22.36,21.94,21.98,1139985.0,22.091,6157
33,2023-11-22,22.2,22.28,22.01,22.19,754076.0,22.135,4349
34,2023-11-24,22.11,22.18,21.93,22.11,370215.0,22.106,2405
35,2023-11-27,22.03,22.16,21.8,21.99,1387033.0,21.997,7493
36,2023-11-28,21.99,22.29,21.73,22.26,1154381.0,22.118,6898
37,2023-11-29,22.46,22.8,22.18,22.19,2102976.0,22.388,11041
38,2023-11-30,22.21,22.33,21.99,22.18,1315612.0,22.148,8292
39,2023-12-01,22.11,23.15,21.99,23.09,2675050.0,22.729,13931
40,2023-12-04,22.85,23.28,22.73,23.08,2366617.0,23.033,14536
41,2023-12-05,23.0,23.1,22.28,22.49,2377532.0,22.568,14631
42,2023-12-06,22.54,22.71,20.52,20.68,15985887.0,21.265,72677
43,2023-12-07,20.42,21.15,20.28,20.85,5865594.0,20.802,28913
44,2023-12-08,20.86,21.47,20.83,21.18,2478436.0,21.199,11660
45,2023-12-11,21.09,21.62,20.91,21.53,1683203.0,21.357,8757
46,2023-12-12,21.46,21.88,21.27,21.63,1957597.0,21.665,10040
47,2023-12-13,21.5,22.59,21.4,22.43,3939685.0,21.973,18308
48,2023-12-14,22.91,23.29,22.51,23.11,4812752.0,22.944,25761
49,2023-12-15,23.1,23.18,22.28,22.45,3319013.0,22.583,15052
50,2023-12-18,22.5,22.76,22.37,22.39,1454168.0,22.487,7467
51,2023-12-19,22.51,22.79,22.33,22.63,3758152.0,22.614,17415
52,2023-12-20,22.59,23.0,22.34,22.38,1713062.0,22.753,9371
53,2023-12-21,22.52,23.04,22.43,22.82,2180354.0,22.793,11463
54,2023-12-22,22.84,23.04,22.66,22.7,1598991.0,22.857,8061
55,2023-12-26,22.8,23.1,22.76,22.98,1449884.0,22.989,7243
56,2023-12-27,22.96,23.0,22.68,22.75,1273585.0,22.795,6608
57,2023-12-28,22.06,22.16,21.86,21.9,2335577.0,21.97,10843
58,2023-12-29,21.81,21.86,21.26,21.27,1963762.0,21.481,8873
59,2024-01-02,21.14,21.5,21.03,21.41,1482229.0,21.298,7890
60,2024-01-03,21.03,21.12,20.6,20.83,1690213.0,20.919,8360
61,2024-01-04,20.77,21.15,20.74,21.02,903193.0,20.975,4809
62,2024-01-05,20.89,21.58,20.86,21.23,1266034.0,21.258,7035
63,2024-01-08,21.25,21.64,21.07,21.63,1072019.0,21.426,5974
64,2024-01-09,21.37,21.53,21.23,21.49,741002.0,21.439,3748
65,2024-01-10,21.53,22.04,21.48,22.03,1102766.0,21.857,5767
66,2024-01-11,21.86,22.04,21.5,21.57,1532044.0,21.678,8370
67,2024-01-12,21.89,22.02,21.19,21.31,1557707.0,21.445,7970
68,2024-01-16,21.08,21.25,20.72,20.81,1483249.0,20.879,6578
69,2024-01-17,20.69,20.76,20.02,20.16,2972772.0,20.326,14638
70,2024-01-18,20.15,20.25,19.92,20.15,2121426.0,20.067,9327
71,2024-01-19,20.2,20.59,19.92,20.59,1645203.0,20.278,7295
72,2024-01-22,20.7,20.93,20.42,20.6,1332376.0,20.658,6476
73,2024-01-23,20.76,20.88,20.44,20.57,1055372.0,20.563,6270
74,2024-01-24,20.85,20.85,20.52,20.58,1273670.0,20.612,6838
75,2024-01-25,20.91,21.03,20.41,20.89,1113475.0,20.729,6114
76,2024-01-26,20.89,21.15,20.88,21.06,1039604.0,21.036,5055
77,2024-01-29,21.06,21.5,20.93,21.38,1318967.0,21.239,7168
78,2024-01-30,21.26,21.42,20.88,20.95,871630.0,21.096,5357
79,2024-01-31,20.8,20.84,19.74,19.74,2882053.0,20.189,15433
80,2024-02-01,19.83,19.85,19.13,19.56,3506923.0,19.466,17061
81,2024-02-02,19.4,19.4,19.01,19.25,2031042.0,19.233,10392
82,2024-02-05,19.04,19.17,18.56,19.03,3120454.0,18.946,15809
83,2024-02-06,19.0,19.33,18.92,19.03,1422354.0,19.072,6627
84,2024-02-07,18.97,18.98,18.17,18.36,3659506.0,18.404,16649
85,2024-02-08,18.3,18.56,18.1,18.55,2456044.0,18.356,12138
86,2024-02-09,18.62,18.78,18.47,18.76,1684423.0,18.634,8281
87,2024-02-12,18.71,19.2,18.59,19.11,1908036.0,19.083,10664
88,2024-02-13,18.5,18.6,18.03,18.12,3424079.0,18.328,15527
89,2024-02-14,18.68,19.31,18.52,19.1,1323039.0,19.038,7500
