,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.53,12.61,12.51,12.57,134953.0,12.545,545
1,2023-09-26,12.51,12.57,12.35,12.39,94338.0,12.438,391
2,2023-09-27,12.38,12.49,12.33,12.41,224272.0,12.406,976
3,2023-09-28,12.38,12.57,12.38,12.48,303367.0,12.496,1532
4,2023-09-29,12.53,12.67,12.51,12.66,298993.0,12.588,1222
5,2023-10-02,12.65,12.86,12.62,12.63,373674.0,12.713,935
6,2023-10-03,12.51,12.79,12.45,12.46,235187.0,12.554,997
7,2023-10-04,12.37,12.54,12.37,12.51,214467.0,12.488,753
8,2023-10-05,12.47,12.55,12.42,12.49,109656.0,12.479,374
9,2023-10-06,12.49,12.68,12.42,12.65,171903.0,12.567,494
10,2023-10-09,12.68,12.75,12.62,12.7,108285.0,12.678,312
11,2023-10-10,12.7,12.85,12.63,12.68,209073.0,12.724,919
12,2023-10-11,12.68,12.73,12.6,12.67,127222.0,12.661,322
13,2023-10-12,12.7,12.7,12.59,12.62,72413.0,12.647,186
14,2023-10-13,12.65,12.71,12.5,12.52,118237.0,12.567,294
15,2023-10-16,12.55,12.62,12.55,12.59,119482.0,12.588,439
16,2023-10-17,12.57,12.64,12.52,12.56,105078.0,12.575,279
17,2023-10-18,12.5,12.54,12.42,12.43,128879.0,12.468,476
18,2023-10-19,12.4,12.45,12.28,12.28,148803.0,12.365,702
19,2023-10-20,12.3,12.32,12.07,12.1,182060.0,12.182,572
20,2023-10-23,12.05,12.2,12.0,12.08,209012.0,12.129,475
21,2023-10-24,12.15,12.22,12.09,12.16,162142.0,12.162,634
22,2023-10-25,12.13,12.13,11.97,12.01,129726.0,12.038,592
23,2023-10-26,11.97,12.02,11.8,11.83,235908.0,11.875,675
24,2023-10-27,11.86,12.05,11.74,11.76,193926.0,11.822,762
25,2023-10-30,11.82,11.92,11.76,11.89,159509.0,11.843,564
26,2023-10-31,11.95,11.98,11.85,11.92,132712.0,11.918,498
27,2023-11-01,11.91,12.1,11.91,12.09,254182.0,12.009,729
28,2023-11-02,12.21,12.37,12.17,12.35,185302.0,12.305,574
29,2023-11-03,12.4,12.49,12.35,12.4,243667.0,12.406,700
30,2023-11-06,12.45,12.45,12.24,12.26,151098.0,12.298,440
31,2023-11-07,12.28,12.32,12.22,12.27,172658.0,12.284,565
32,2023-11-08,12.33,12.38,12.23,12.24,142168.0,12.267,457
33,2023-11-09,12.27,12.29,12.13,12.14,167476.0,12.212,508
34,2023-11-10,12.2,12.3,12.17,12.28,135360.0,12.253,409
35,2023-11-13,12.29,12.35,12.27,12.31,119768.0,12.317,431
36,2023-11-14,12.4,12.48,12.39,12.44,203563.0,12.438,502
37,2023-11-15,12.5,12.54,12.39,12.44,222632.0,12.466,646
38,2023-11-16,12.44,12.51,12.41,12.5,212113.0,12.465,779
39,2023-11-17,12.45,12.55,12.36,12.47,346404.0,12.461,1298
40,2023-11-20,12.44,12.58,12.44,12.55,136527.0,12.529,470
41,2023-11-21,12.51,12.61,12.51,12.56,183757.0,12.577,877
42,2023-11-22,12.6,12.63,12.57,12.61,119425.0,12.607,469
43,2023-11-24,12.66,12.66,12.62,12.65,40582.0,12.646,156
44,2023-11-27,12.65,12.73,12.64,12.72,137181.0,12.695,534
45,2023-11-28,12.73,12.77,12.71,12.75,176717.0,12.742,576
46,2023-11-29,12.83,12.84,12.73,12.75,170875.0,12.779,696
47,2023-11-30,12.74,12.79,12.69,12.77,168625.0,12.75,645
48,2023-12-01,12.74,12.91,12.74,12.86,153553.0,12.858,603
49,2023-12-04,12.84,12.87,12.82,12.84,159682.0,12.841,644
50,2023-12-05,12.78,12.86,12.72,12.75,201655.0,12.796,763
51,2023-12-06,12.84,12.84,12.72,12.72,216443.0,12.764,856
52,2023-12-07,12.76,12.79,12.74,12.78,136207.0,12.777,376
53,2023-12-08,12.75,12.77,12.72,12.74,177711.0,12.75,778
54,2023-12-11,12.75,12.79,12.74,12.76,192011.0,12.772,741
55,2023-12-12,12.78,12.79,12.74,12.76,165736.0,12.76,462
56,2023-12-13,12.75,12.94,12.75,12.9,239398.0,12.834,652
57,2023-12-14,12.67,12.73,12.66,12.66,215904.0,12.693,773
58,2023-12-15,12.64,12.76,12.63,12.67,154295.0,12.693,513
59,2023-12-18,12.71,12.74,12.67,12.7,146439.0,12.698,456
60,2023-12-19,12.75,12.85,12.68,12.71,380654.0,12.744,1224
61,2023-12-20,12.67,12.72,12.55,12.55,175709.0,12.654,593
62,2023-12-21,12.58,12.68,12.54,12.64,273504.0,12.607,1057
63,2023-12-22,12.72,12.76,12.61,12.65,204537.0,12.707,688
64,2023-12-26,12.65,12.7,12.63,12.66,229318.0,12.66,749
65,2023-12-27,12.68,12.8,12.68,12.76,300552.0,12.759,1132
66,2023-12-28,12.74,12.8,12.71,12.79,224946.0,12.76,797
67,2023-12-29,12.82,12.91,12.76,12.83,352240.0,12.831,1291
68,2024-01-02,12.72,12.86,12.72,12.82,211333.0,12.79,761
69,2024-01-03,12.77,12.78,12.67,12.75,239771.0,12.71,850
70,2024-01-04,12.69,12.78,12.69,12.74,167614.0,12.725,562
71,2024-01-05,12.73,12.79,12.69,12.73,122908.0,12.73,399
72,2024-01-08,12.77,12.86,12.75,12.86,136607.0,12.788,580
73,2024-01-09,12.78,12.87,12.73,12.84,312507.0,12.81,951
