,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.03,14.07,13.76,13.8,60399.0,13.89411,254
1,2023-09-26,13.76,13.97,13.5,13.53,89211.0,13.63872,401
2,2023-09-27,13.54,14.0,13.535,13.86,74650.0,13.82296,335
3,2023-09-28,13.85,14.09,13.68,13.73,48332.0,13.81577,226
4,2023-09-29,13.73,13.78,13.1124,13.34,87696.0,13.35495,490
5,2023-10-02,13.42,13.75,13.42,13.58,100615.0,13.59286,560
6,2023-10-03,13.52,13.66,13.01,13.08,70299.0,13.22255,429
7,2023-10-04,13.13,13.13,12.8,12.9,74702.0,12.92835,336
8,2023-10-05,12.83,12.83,12.15,12.45,173271.0,12.44757,939
9,2023-10-06,12.38,12.77,12.31,12.61,70976.0,12.57954,385
10,2023-10-09,12.4,12.6,12.4,12.54,66728.0,12.51428,263
11,2023-10-10,12.52,12.92,12.4,12.77,63013.0,12.7447,312
12,2023-10-11,12.84,12.87,12.65,12.85,30435.0,12.77943,152
13,2023-10-12,12.85,12.85,12.42,12.49,62252.0,12.60339,321
14,2023-10-13,12.52,12.595,11.95,12.1,90944.0,12.19045,403
15,2023-10-16,12.1,12.4678,11.63,12.03,271606.0,11.99801,1217
16,2023-10-17,11.81,12.31,11.7,11.87,120084.0,11.9864,626
17,2023-10-18,11.77,11.78,11.51,11.54,110254.0,11.63063,563
18,2023-10-19,11.5,11.6,11.2,11.23,112195.0,11.36854,592
19,2023-10-20,11.22,11.23,11.0,11.11,72302.0,11.07924,342
20,2023-10-23,11.0,11.21,10.83,11.05,78335.0,11.0292,403
21,2023-10-24,11.07,11.4297,11.06,11.19,65198.0,11.26039,276
22,2023-10-25,11.1,11.55,11.06,11.26,79365.0,11.37292,536
23,2023-10-26,11.18,11.37,10.86,11.01,55457.0,11.04873,357
24,2023-10-27,11.06,11.17,10.83,11.0,47080.0,10.98729,276
25,2023-10-30,10.99,11.0365,10.68,10.82,73005.0,10.8089,323
26,2023-10-31,10.69,10.8,10.6,10.66,52085.0,10.68681,226
27,2023-11-01,10.72,11.04,10.59,10.94,74963.0,10.87416,340
28,2023-11-02,11.0,11.27,11.0,11.25,50417.0,11.17295,264
29,2023-11-03,11.31,11.55,11.23,11.32,52568.0,11.36008,248
30,2023-11-06,11.3,11.39,11.13,11.21,40564.0,11.23878,214
31,2023-11-07,11.14,11.58,11.1033,11.46,65500.0,11.39216,331
32,2023-11-08,11.42,11.4969,11.29,11.43,53588.0,11.39196,263
33,2023-11-09,11.48,11.52,11.25,11.39,33641.0,11.39995,194
34,2023-11-10,11.38,11.7683,11.29,11.7,58276.0,11.58529,215
35,2023-11-13,11.7,11.7446,11.56,11.66,28536.0,11.66476,157
36,2023-11-14,11.92,11.92,11.6662,11.82,70999.0,11.79738,340
37,2023-11-15,11.76,12.11,11.535,12.05,75687.0,11.94776,420
38,2023-11-16,11.0,11.5,10.57,11.4,220973.0,11.1755,971
39,2023-11-17,11.48,11.9061,11.4003,11.81,62595.0,11.73421,268
40,2023-11-20,13.56,13.69,12.99,13.06,183308.0,13.3428,823
41,2023-11-21,12.82,13.165,12.44,12.69,102823.0,12.66981,484
42,2023-11-22,12.73,13.05,12.66,12.7,34187.0,12.84344,175
43,2023-11-24,12.7,13.5862,12.7,13.47,132824.0,13.29036,536
44,2023-11-27,13.59,15.4,13.59,15.02,427363.0,14.80031,1709
45,2023-11-28,15.07,15.22,14.7418,14.99,121051.0,14.95155,646
46,2023-11-29,15.05,15.05,14.64,15.01,77943.0,14.93601,330
47,2023-11-30,15.12,15.12,14.61,14.74,54724.0,14.81972,299
48,2023-12-01,14.7,14.96,14.61,14.9,68294.0,14.77368,350
49,2023-12-04,14.9,15.05,14.605,14.65,92492.0,14.85642,295
50,2023-12-05,14.6,15.055,14.5579,14.98,62570.0,14.95121,366
51,2023-12-06,14.92,15.0334,14.42,14.55,47242.0,14.622,225
52,2023-12-07,14.47,14.7099,14.26,14.49,39060.0,14.46487,143
53,2023-12-08,14.49,14.6,14.37,14.45,26249.0,14.47297,147
54,2023-12-11,14.38,14.58,14.21,14.26,38250.0,14.32331,186
55,2023-12-12,14.3,14.86,14.12,14.69,64268.0,14.58848,335
56,2023-12-13,14.58,15.19,14.54,15.17,80148.0,14.92894,430
57,2023-12-14,15.2,15.7399,14.98,15.63,162647.0,15.55579,767
58,2023-12-15,15.7,16.0,15.51,15.88,124666.0,15.81471,679
59,2023-12-18,15.79,16.5697,15.7,16.23,255945.0,16.13752,1224
60,2023-12-19,16.49,16.605,16.115,16.42,142005.0,16.3818,807
61,2023-12-20,16.45,16.45,15.785,15.84,100589.0,16.05833,558
62,2023-12-21,16.05,16.47,16.0,16.4,77604.0,16.22717,468
63,2023-12-22,16.4,16.9,16.275,16.63,104158.0,16.62473,522
64,2023-12-26,16.63,16.6942,16.3,16.51,67784.0,16.49211,346
65,2023-12-27,16.52,16.665,16.2001,16.22,56067.0,16.45476,298
66,2023-12-28,16.23,16.2956,15.89,16.17,37764.0,16.13763,217
67,2023-12-29,16.28,16.28,16.0,16.06,48484.0,16.10961,204
68,2024-01-02,16.1,16.175,15.79,15.85,50041.0,15.93129,237
69,2024-01-03,15.72,16.07,15.5,15.89,52334.0,15.86999,271
70,2024-01-04,15.8,16.1799,15.45,15.69,49015.0,15.86065,256
71,2024-01-05,15.55,16.11,15.53,15.79,67441.0,15.93303,412
72,2024-01-08,15.78,16.07,15.7001,15.75,192467.0,15.83129,915
73,2024-01-09,15.81,16.67,15.45,15.52,201463.0,15.93443,884
74,2024-01-10,15.5,16.32,15.5,16.1,82103.0,16.03499,435
75,2024-01-11,16.06,16.49,16.0,16.36,61877.0,16.27949,399
76,2024-01-12,16.5,16.53,16.3501,16.48,71434.0,16.46018,447
77,2024-01-16,16.4,16.4,15.95,16.21,85003.0,16.20161,502
78,2024-01-17,16.07,16.33,15.99,16.3,33566.0,16.17412,205
79,2024-01-18,16.31,16.31,15.82,16.25,83333.0,16.11242,443
80,2024-01-19,16.36,16.3975,15.71,15.97,70873.0,15.92894,384
81,2024-01-22,16.04,16.36,15.79,15.8,76594.0,16.04492,436
82,2024-01-23,15.86,15.98,15.51,15.78,117340.0,15.73304,694
83,2024-01-24,15.89,15.95,15.15,15.21,95513.0,15.35437,579
84,2024-01-25,15.56,15.84,15.49,15.65,64411.0,15.63315,390
85,2024-01-26,15.65,15.89,15.3303,15.88,65345.0,15.64334,344
86,2024-01-29,15.66,15.99,15.56,15.91,90260.0,15.84419,483
87,2024-01-30,15.87,16.08,15.695,16.02,75067.0,15.93375,421
88,2024-01-31,16.0,16.1708,15.72,15.75,91458.0,15.85113,650
89,2024-02-01,15.83,16.2,15.73,16.12,77106.0,16.05351,380
