,date,open,high,low,close,volume,average,barCount
0,2023-10-06,26.01,26.63,25.16,26.41,8401094.0,26.089,42780
1,2023-10-09,26.42,27.64,26.42,27.59,8625161.0,27.336,41107
2,2023-10-10,27.85,27.94,27.34,27.53,3968526.0,27.553,21657
3,2023-10-11,27.68,27.8,27.17,27.36,4091326.0,27.395,22757
4,2023-10-12,27.35,27.44,26.51,26.63,4822214.0,26.708,25115
5,2023-10-13,26.79,27.72,26.79,27.57,4613447.0,27.451,26603
6,2023-10-16,27.75,28.01,27.45,27.76,3766855.0,27.792,19882
7,2023-10-17,27.7,27.95,27.54,27.68,2637134.0,27.717,15194
8,2023-10-18,27.73,27.93,27.3,27.38,4164870.0,27.544,18964
9,2023-10-19,27.33,27.55,27.12,27.15,2739594.0,27.293,15767
10,2023-10-20,27.29,27.44,26.99,26.99,2277575.0,27.196,12612
11,2023-10-23,26.96,27.18,26.62,26.69,2879165.0,26.864,15942
12,2023-10-24,26.72,27.15,26.67,27.07,2915658.0,26.983,16217
13,2023-10-25,27.07,27.78,27.02,27.75,3575681.0,27.495,21153
14,2023-10-26,27.74,27.97,27.48,27.67,2957537.0,27.722,18174
15,2023-10-27,27.54,27.7,27.08,27.19,2373321.0,27.296,12906
16,2023-10-30,27.28,27.46,27.11,27.23,2331014.0,27.226,11989
17,2023-10-31,27.37,27.49,27.2,27.36,2666836.0,27.351,13856
18,2023-11-01,27.11,27.3,26.96,26.98,2449496.0,27.102,13818
19,2023-11-02,27.1,27.7,27.07,27.67,2852180.0,27.533,14619
20,2023-11-03,27.83,27.98,27.57,27.81,2398165.0,27.862,12597
21,2023-11-06,27.7,27.75,27.4,27.43,2178427.0,27.503,12372
22,2023-11-07,27.35,27.54,27.28,27.39,1784804.0,27.4,9220
23,2023-11-08,27.42,27.79,27.34,27.75,3619272.0,27.646,17445
24,2023-11-09,27.88,28.05,27.69,27.94,3469265.0,27.945,17262
25,2023-11-10,27.97,28.1,27.64,27.81,2378115.0,27.796,12242
26,2023-11-13,27.72,27.96,27.51,27.57,2105813.0,27.708,11190
27,2023-11-14,27.73,28.16,27.69,28.02,1747617.0,27.953,9372
28,2023-11-15,28.02,28.3,28.0,28.15,1987565.0,28.146,9803
29,2023-11-16,28.14,28.28,28.01,28.08,2132566.0,28.156,11616
30,2023-11-17,28.22,28.29,27.89,28.18,1716145.0,28.166,9476
31,2023-11-20,28.01,28.2,27.76,28.1,1935957.0,28.01,9806
32,2023-11-21,28.11,28.35,27.96,28.2,1710381.0,28.227,9547
33,2023-11-22,28.36,28.47,28.17,28.33,2105499.0,28.282,10877
34,2023-11-24,28.38,28.56,28.29,28.49,765625.0,28.441,4038
35,2023-11-27,28.46,28.55,28.12,28.19,1813831.0,28.207,9678
36,2023-11-28,28.18,28.32,28.08,28.22,1725598.0,28.189,9939
37,2023-11-29,28.11,28.22,27.95,28.02,2017563.0,28.067,10462
38,2023-11-30,28.06,28.33,27.87,28.29,2535980.0,28.132,12801
39,2023-12-01,28.32,28.39,28.11,28.36,2704151.0,28.292,13517
40,2023-12-04,28.3,29.07,28.3,28.96,2653849.0,28.847,12472
41,2023-12-05,29.04,29.06,28.74,28.76,2141139.0,28.843,11637
42,2023-12-06,28.9,29.49,28.84,29.4,2435801.0,29.341,13266
43,2023-12-07,29.49,29.95,29.22,29.79,2950364.0,29.718,16431
44,2023-12-08,29.81,29.89,29.46,29.52,2069865.0,29.605,11823
45,2023-12-11,29.23,29.62,29.14,29.46,2175926.0,29.432,11196
