,date,open,high,low,close,volume,average,barCount
0,2023-10-06,17.07,17.44,17.03,17.34,274712.0,17.292,2095
1,2023-10-09,17.18,17.51,17.02,17.45,196083.0,17.321,1531
2,2023-10-10,17.51,17.83,17.51,17.77,375779.0,17.741,2587
3,2023-10-11,17.78,17.93,17.68,17.79,408464.0,17.77,2550
4,2023-10-12,17.76,17.76,17.46,17.65,461282.0,17.607,2896
5,2023-10-13,17.69,17.8,17.35,17.37,550108.0,17.48,3720
6,2023-10-16,17.45,17.94,17.29,17.94,494837.0,17.75,3281
7,2023-10-17,17.87,18.02,17.78,17.88,394033.0,17.874,2653
8,2023-10-18,17.76,17.97,17.61,17.87,547597.0,17.823,3768
9,2023-10-19,17.89,18.33,17.88,17.93,636043.0,18.059,4578
10,2023-10-20,18.02,18.14,17.67,17.84,568430.0,17.93,3974
11,2023-10-23,17.67,18.25,17.65,17.87,540618.0,18.021,4199
12,2023-10-24,18.09,18.24,17.91,18.13,517026.0,18.087,3690
13,2023-10-25,18.06,18.14,17.35,17.4,711733.0,17.618,5241
14,2023-10-26,17.47,17.56,17.05,17.21,302714.0,17.229,2445
15,2023-10-27,17.29,17.44,16.9,17.0,315924.0,17.045,2445
16,2023-10-30,17.05,17.24,16.7,17.07,493752.0,16.964,2985
17,2023-10-31,17.11,17.5,17.1,17.23,374512.0,17.332,2764
18,2023-11-01,17.19,17.25,16.76,17.07,547088.0,16.997,4009
19,2023-11-02,17.18,17.81,17.18,17.8,431250.0,17.587,3266
20,2023-11-03,18.13,18.77,18.07,18.67,468729.0,18.577,3586
21,2023-11-06,18.62,18.74,18.25,18.5,374088.0,18.452,2801
22,2023-11-07,18.55,18.67,18.33,18.36,355910.0,18.484,2693
23,2023-11-08,19.71,20.11,18.86,19.16,1346313.0,19.446,8687
24,2023-11-09,19.21,19.38,18.64,18.74,807744.0,19.024,4475
25,2023-11-10,18.72,19.18,18.72,19.09,681993.0,19.03,4724
26,2023-11-13,19.08,19.39,18.83,19.07,734915.0,19.163,5082
27,2023-11-14,19.47,20.39,19.47,20.32,856584.0,20.036,6391
28,2023-11-15,20.42,21.16,20.42,20.64,608463.0,20.896,4830
29,2023-11-16,20.51,21.02,18.9,20.1,1884630.0,19.966,13226
30,2023-11-17,20.15,20.73,19.94,20.63,734427.0,20.499,5641
31,2023-11-20,20.58,21.13,20.02,20.96,530513.0,20.973,4437
32,2023-11-21,20.73,21.04,20.72,20.96,520702.0,20.94,3846
33,2023-11-22,21.16,21.51,20.62,21.15,376711.0,21.287,3094
34,2023-11-24,20.99,21.5,20.99,21.32,173956.0,21.31,1510
35,2023-11-27,21.12,21.79,21.12,21.44,465793.0,21.563,3919
