,date,open,high,low,close,volume,average,barCount
0,2023-10-06,272.7,272.82,267.52,269.69,104274.0,269.873,822
1,2023-10-09,268.16,273.46,268.16,272.43,88214.0,271.067,756
2,2023-10-10,273.11,278.83,273.11,276.43,92861.0,276.785,684
3,2023-10-11,277.22,278.21,271.27,271.89,62456.0,272.906,521
4,2023-10-12,273.47,273.47,265.84,266.37,95679.0,267.766,746
5,2023-10-13,266.84,268.95,262.54,266.48,97753.0,265.945,833
6,2023-10-16,268.68,271.17,267.62,268.57,79024.0,269.335,634
7,2023-10-17,268.56,275.0,268.21,274.07,111824.0,272.838,971
8,2023-10-18,274.44,274.78,268.63,269.01,98723.0,270.48,821
9,2023-10-19,269.28,269.28,263.12,264.06,105159.0,265.178,855
10,2023-10-20,264.05,267.34,261.71,261.98,106971.0,264.488,823
11,2023-10-23,261.03,266.78,260.13,264.76,99300.0,264.446,699
12,2023-10-24,265.72,268.0,264.39,265.99,119382.0,266.011,827
13,2023-10-25,265.65,270.86,265.65,268.86,128441.0,268.833,1060
14,2023-10-26,269.07,273.58,269.02,271.44,109636.0,271.974,963
15,2023-10-27,272.31,273.88,268.12,268.5,67973.0,270.186,587
16,2023-10-30,269.15,272.82,266.55,270.64,90239.0,270.879,775
17,2023-10-31,270.64,273.44,270.16,271.91,64086.0,271.902,546
18,2023-11-01,272.22,273.83,269.51,270.21,109621.0,271.056,881
19,2023-11-02,270.42,274.15,269.36,270.75,86733.0,271.186,553
20,2023-11-03,272.18,274.93,271.85,273.57,47902.0,273.714,403
21,2023-11-06,274.27,274.79,271.38,272.85,74637.0,273.065,678
22,2023-11-07,272.2,274.95,272.09,274.36,39294.0,273.811,343
23,2023-11-08,275.0,276.87,272.15,274.65,86068.0,274.56,733
24,2023-11-09,274.84,276.51,271.11,275.19,71745.0,275.077,633
25,2023-11-10,276.06,277.74,275.22,275.93,46521.0,276.448,395
26,2023-11-13,275.63,279.71,275.63,279.12,84398.0,278.68,779
27,2023-11-14,280.0,283.48,279.54,281.45,64475.0,281.528,529
28,2023-11-15,282.04,283.8,279.75,282.75,122378.0,281.914,985
29,2023-11-16,281.78,284.0,279.28,281.31,98075.0,281.372,772
30,2023-11-17,282.35,282.42,272.73,277.72,173340.0,276.854,1385
31,2023-11-20,278.16,283.0,277.37,281.62,92364.0,280.726,777
32,2023-11-21,281.49,283.83,279.44,282.89,60015.0,282.318,468
33,2023-11-22,284.75,286.62,282.33,284.6,74873.0,284.112,576
34,2023-11-24,284.96,285.17,281.44,282.13,38522.0,283.031,354
35,2023-11-27,282.25,283.19,279.5,282.64,55277.0,282.215,476
36,2023-11-28,282.1,282.64,276.89,279.42,92744.0,279.034,706
37,2023-11-29,279.82,280.6,273.27,273.75,97091.0,275.436,739
38,2023-11-30,274.71,276.04,272.98,275.4,108695.0,275.241,866
39,2023-12-01,276.13,277.9,274.92,276.31,56950.0,276.231,479
40,2023-12-04,275.52,280.31,275.52,276.98,74088.0,277.053,603
41,2023-12-05,276.65,277.97,275.5,275.57,55456.0,276.557,459
42,2023-12-06,275.57,276.62,273.35,274.68,110120.0,274.618,824
43,2023-12-07,277.01,280.99,273.87,274.65,58005.0,274.968,480
44,2023-12-08,271.01,272.41,267.87,268.01,144701.0,269.175,1117
45,2023-12-11,271.97,273.99,267.19,273.81,261867.0,271.154,1913
46,2023-12-12,270.64,284.49,266.56,272.67,269954.0,274.403,2082
47,2023-12-13,276.11,281.98,272.68,278.13,237827.0,278.403,1645
48,2023-12-14,278.25,278.25,266.57,271.33,206007.0,269.485,1658
49,2023-12-15,272.0,273.17,267.54,267.7,121963.0,269.238,723
50,2023-12-18,270.17,272.92,269.75,271.42,110402.0,271.709,853
51,2023-12-19,272.78,274.89,271.9,273.87,64058.0,273.351,478
52,2023-12-20,273.65,273.65,269.38,269.43,63112.0,271.944,407
53,2023-12-21,271.04,274.21,270.03,274.0,47940.0,272.651,353
54,2023-12-22,274.36,275.8,273.0,273.81,33179.0,274.229,249
55,2023-12-26,273.02,273.79,271.6,272.7,38122.0,272.456,294
56,2023-12-27,274.18,275.31,273.01,274.53,50385.0,274.307,408
57,2023-12-28,274.34,275.49,274.17,275.01,52783.0,274.904,444
58,2023-12-29,274.5,275.52,273.25,274.74,65297.0,274.918,588
59,2024-01-02,273.39,277.6,273.39,277.58,70642.0,275.715,555
60,2024-01-03,277.0,278.47,274.5,276.16,74579.0,276.074,560
61,2024-01-04,277.44,279.95,277.15,278.9,72711.0,278.98,580
62,2024-01-05,279.54,285.33,277.91,284.34,132223.0,282.224,1002
63,2024-01-08,285.27,287.91,283.83,285.59,89009.0,285.645,675
64,2024-01-09,285.6,286.67,283.0,283.02,44978.0,284.972,280
65,2024-01-10,282.29,284.06,279.91,282.98,104803.0,281.926,704
66,2024-01-11,283.54,287.2,281.26,287.12,68305.0,285.415,556
67,2024-01-12,287.74,289.68,287.27,287.52,35449.0,288.106,267
68,2024-01-16,288.76,289.97,286.98,288.58,87960.0,288.489,641
69,2024-01-17,288.41,291.51,286.79,287.04,96538.0,288.503,774
70,2024-01-18,286.11,287.17,282.24,285.21,65646.0,284.527,501
71,2024-01-19,284.61,287.52,282.59,285.58,71061.0,285.369,502
72,2024-01-22,286.94,287.63,284.65,286.09,69777.0,285.953,466
73,2024-01-23,286.58,288.53,285.0,285.73,80243.0,286.168,578
74,2024-01-24,286.36,287.08,281.75,282.17,72945.0,284.621,492
75,2024-01-25,282.51,284.87,281.23,283.83,81839.0,283.09,599
76,2024-01-26,283.46,284.65,274.06,275.45,115940.0,277.495,867
77,2024-01-29,274.82,275.03,268.07,273.25,215916.0,272.17,1348
78,2024-01-30,273.1,274.61,268.96,274.41,148172.0,272.629,1088
79,2024-01-31,272.98,274.01,269.6,271.36,109900.0,271.424,731
80,2024-02-01,271.16,276.29,269.35,274.74,90808.0,273.864,692
81,2024-02-02,274.87,276.82,272.56,275.06,113860.0,274.493,806
82,2024-02-05,275.64,275.64,269.5,273.52,109503.0,273.126,816
83,2024-02-06,273.91,276.62,272.46,276.11,89178.0,274.741,613
84,2024-02-07,277.77,280.35,274.81,275.2,97822.0,277.638,714
85,2024-02-08,275.27,285.43,275.27,285.02,121301.0,283.32,907
86,2024-02-09,284.58,286.61,281.59,286.44,71524.0,283.871,597
87,2024-02-12,285.0,287.98,281.68,285.07,77318.0,284.834,621
88,2024-02-13,285.16,287.11,279.99,280.66,73251.0,282.941,593
89,2024-02-14,282.43,282.89,280.05,280.67,19141.0,280.956,136
