,date,open,high,low,close,volume,average,barCount
0,2023-10-06,13.86,14.51,13.65,14.24,613041.0,14.1607,3401
1,2023-10-09,14.11,14.53,14.02,14.36,628680.0,14.32858,3765
2,2023-10-10,14.35,14.49,13.93,14.27,1169544.0,14.32339,4900
3,2023-10-11,14.3,14.47,13.07,13.5,1220654.0,13.42167,6591
4,2023-10-12,13.53,13.53,12.56,12.63,1259897.0,12.91716,6582
5,2023-10-13,12.6,13.7,12.32,13.48,1536276.0,13.26442,7942
6,2023-10-16,13.62,15.08,13.62,14.41,1542788.0,14.33452,6718
7,2023-10-17,14.38,14.78,14.1368,14.35,918649.0,14.40441,5272
8,2023-10-18,14.22,14.22,13.55,13.68,765404.0,13.81754,4756
9,2023-10-19,13.65,13.74,13.09,13.24,504218.0,13.31391,3795
10,2023-10-20,13.27,13.82,13.13,13.61,620904.0,13.52769,3845
11,2023-10-23,13.54,14.78,13.39,14.69,961801.0,14.41091,5522
12,2023-10-24,14.98,15.85,14.79,15.56,995860.0,15.45351,5454
13,2023-10-25,15.46,15.615,15.01,15.07,527180.0,15.30863,3364
14,2023-10-26,15.08,15.47,14.75,15.18,433715.0,15.20391,2809
15,2023-10-27,15.24,15.2798,14.74,15.26,1024092.0,15.08035,4027
16,2023-10-30,15.49,16.87,15.29,16.4,1462009.0,16.41076,7729
17,2023-10-31,16.4,16.6,15.85,16.38,898225.0,16.4018,5857
18,2023-11-01,16.4,16.65,16.14,16.4,750655.0,16.41526,4772
19,2023-11-02,16.78,16.78,16.22,16.4,749624.0,16.41893,5334
20,2023-11-03,16.56,16.74,16.21,16.36,2953568.0,16.49294,8459
21,2023-11-06,16.69,16.69,15.99,16.44,1109490.0,16.28213,7170
22,2023-11-07,16.36,16.61,16.15,16.44,1648600.0,16.41296,7492
23,2023-11-08,16.4,16.51,15.1801,15.7,801292.0,15.72495,4972
24,2023-11-09,15.73,16.0,14.2,14.86,1562180.0,14.94251,8694
25,2023-11-10,15.23,16.54,15.1,16.3,2133044.0,16.00698,11788
26,2023-11-13,16.0,16.98,15.5,16.87,1304869.0,16.51898,7413
27,2023-11-14,17.5,17.615,16.86,17.2,1715346.0,17.2029,7268
28,2023-11-15,17.16,18.55,16.95,18.0,1271702.0,17.96155,6223
29,2023-11-16,18.04,18.66,17.95,18.19,1180476.0,18.28121,6215
30,2023-11-17,18.27,18.47,17.97,18.36,637671.0,18.26419,3492
31,2023-11-20,18.36,18.81,17.77,18.66,1436442.0,18.35222,6790
32,2023-11-21,18.55,19.06,17.99,18.11,1165269.0,18.39364,6002
33,2023-11-22,18.26,18.4548,17.82,17.9,796775.0,17.98498,4719
34,2023-11-24,17.92,19.1,17.92,19.1,464821.0,18.79062,2515
35,2023-11-27,18.93,18.93,17.9412,18.2,1187591.0,18.12643,6548
36,2023-11-28,18.19,18.38,17.47,18.03,1976042.0,18.02239,12551
37,2023-11-29,18.01,19.02,17.9501,18.78,1863493.0,18.72446,13398
38,2023-11-30,18.89,19.79,18.89,19.13,2256386.0,19.43618,14352
39,2023-12-01,19.03,19.88,18.27,19.71,2512139.0,19.32704,15839
40,2023-12-04,19.5,20.7,19.44,20.36,2021585.0,20.30925,12170
41,2023-12-05,20.2,21.06,20.12,20.42,1228813.0,20.67556,7174
42,2023-12-06,20.7,20.87,20.22,20.86,745645.0,20.57271,4148
43,2023-12-07,20.88,21.92,20.6075,21.77,1238302.0,21.53537,6910
44,2023-12-08,21.62,21.88,20.715,20.88,1506431.0,21.18987,6536
45,2023-12-11,20.81,20.82,19.77,20.54,1369225.0,20.17264,7512
46,2023-12-12,20.55,21.25,20.0,21.17,864391.0,20.87359,4093
47,2023-12-13,21.11,21.42,20.5,21.37,1582706.0,20.99582,6872
48,2023-12-14,21.83,21.88,19.8601,21.64,2867472.0,20.6545,13809
49,2023-12-15,21.7,22.37,21.65,22.03,1669671.0,21.99802,9375
50,2023-12-18,21.65,22.86,20.925,22.63,1046721.0,22.25019,6630
51,2023-12-19,22.95,23.2499,22.47,22.63,636631.0,22.7341,3810
52,2023-12-20,22.51,22.75,22.07,22.18,900951.0,22.34003,5033
