,date,open,high,low,close,volume,average,barCount
0,2023-09-25,40.29,41.93,40.26,41.89,155495.0,41.465,1098
1,2023-09-26,41.4,42.48,41.31,41.34,172707.0,41.682,1232
2,2023-09-27,41.57,42.0,41.04,41.61,85512.0,41.614,655
3,2023-09-28,41.73,42.62,41.73,42.4,85265.0,42.292,654
4,2023-09-29,42.71,43.08,42.11,42.21,93071.0,42.435,776
5,2023-10-02,42.17,42.17,41.52,41.93,105071.0,41.818,820
6,2023-10-03,41.48,42.11,41.13,42.08,101285.0,41.775,720
7,2023-10-04,42.16,42.31,41.67,42.05,84345.0,41.993,649
8,2023-10-05,42.07,42.64,41.8,42.34,121539.0,42.209,953
9,2023-10-06,41.66,42.89,41.19,42.32,77249.0,42.311,578
10,2023-10-09,42.02,42.77,41.73,42.4,61873.0,42.429,460
11,2023-10-10,42.6,43.2,42.48,42.61,106241.0,42.801,713
12,2023-10-11,42.71,43.2,42.18,42.62,55184.0,42.654,467
13,2023-10-12,42.63,42.66,41.56,41.85,70983.0,41.884,530
14,2023-10-13,42.18,42.18,40.81,41.05,87002.0,41.3,715
15,2023-10-16,41.6,42.41,41.33,42.37,107466.0,42.129,761
16,2023-10-17,41.89,43.66,41.89,42.48,66111.0,42.807,555
17,2023-10-18,41.93,42.7,41.69,42.24,85036.0,42.245,655
18,2023-10-19,42.27,42.6,41.56,41.59,99681.0,41.914,723
19,2023-10-20,41.79,41.79,39.86,39.94,110267.0,40.594,685
20,2023-10-23,39.66,40.78,39.65,39.73,124176.0,40.106,843
21,2023-10-24,36.7,37.61,35.38,37.57,427719.0,36.936,2413
22,2023-10-25,37.1,38.15,36.42,37.82,190537.0,37.521,1419
23,2023-10-26,38.12,39.37,38.12,39.05,132530.0,38.992,1013
24,2023-10-27,38.95,39.08,37.99,38.65,94707.0,38.476,659
25,2023-10-30,38.9,39.68,38.53,39.27,99287.0,39.221,683
26,2023-10-31,39.1,40.07,39.1,39.95,139331.0,39.827,1011
27,2023-11-01,39.76,40.14,39.05,39.9,126669.0,39.721,952
28,2023-11-02,40.55,42.14,40.55,42.06,132419.0,41.651,944
29,2023-11-03,43.22,44.52,43.22,43.8,159196.0,44.086,1154
30,2023-11-06,43.5,43.91,43.22,43.77,86687.0,43.672,682
31,2023-11-07,43.58,43.58,42.63,42.7,110030.0,42.931,789
32,2023-11-08,42.75,42.75,42.12,42.38,71808.0,42.276,532
33,2023-11-09,42.38,42.63,40.96,41.35,103497.0,41.637,775
34,2023-11-10,41.6,41.74,40.87,41.25,99413.0,41.267,741
35,2023-11-13,40.95,41.51,40.74,41.39,50649.0,41.323,359
36,2023-11-14,43.21,45.25,42.0,44.87,131435.0,44.81,915
37,2023-11-15,44.66,45.85,44.66,45.23,92747.0,45.292,680
38,2023-11-16,45.15,45.24,44.45,44.91,61971.0,44.772,488
39,2023-11-17,45.2,45.98,45.18,45.51,124547.0,45.582,737
40,2023-11-20,45.38,45.6,44.68,45.41,67164.0,45.331,475
41,2023-11-21,45.17,45.61,44.68,44.83,58995.0,44.875,474
42,2023-11-22,45.43,45.49,44.64,44.9,65573.0,45.038,438
43,2023-11-24,44.92,45.03,44.53,44.73,26631.0,44.75,189
44,2023-11-27,44.45,44.67,44.01,44.55,56825.0,44.433,415
45,2023-11-28,44.46,44.47,43.76,44.46,97301.0,44.201,608
46,2023-11-29,44.99,45.61,44.66,44.81,56672.0,44.978,408
47,2023-11-30,45.04,45.26,43.76,44.36,120785.0,44.335,731
48,2023-12-01,44.19,47.27,43.84,46.93,113488.0,46.263,885
49,2023-12-04,46.4,48.24,46.4,47.9,116224.0,47.792,715
50,2023-12-05,47.61,47.68,46.84,47.43,88782.0,47.405,604
51,2023-12-06,47.99,49.27,47.28,47.41,76478.0,48.15,557
52,2023-12-07,47.66,48.41,47.21,48.38,47703.0,48.154,334
53,2023-12-08,48.33,48.97,47.98,48.76,59421.0,48.706,439
54,2023-12-11,48.42,48.85,48.36,48.71,58564.0,48.61,378
55,2023-12-12,48.64,49.23,48.25,48.37,78059.0,48.708,565
56,2023-12-13,48.4,51.47,48.25,51.11,131329.0,50.37,964
57,2023-12-14,51.12,53.13,50.9,51.86,139147.0,51.783,979
58,2023-12-15,51.86,52.64,51.06,51.76,316759.0,51.761,1187
59,2023-12-18,52.15,52.18,51.16,51.4,88676.0,51.637,579
60,2023-12-19,51.77,52.85,51.36,52.35,89698.0,52.526,631
61,2023-12-20,52.21,54.08,51.81,51.93,173963.0,52.956,1351
62,2023-12-21,52.29,52.87,51.81,52.71,95623.0,52.337,690
63,2023-12-22,53.13,53.7,52.66,53.09,138868.0,53.159,881
64,2023-12-26,53.42,53.84,52.84,53.67,85848.0,53.562,659
65,2023-12-27,53.63,53.96,53.0,53.19,124157.0,53.44,736
66,2023-12-28,52.7,53.28,52.62,52.84,65179.0,52.946,441
67,2023-12-29,52.84,52.84,51.92,52.11,103643.0,52.227,801
68,2024-01-02,51.81,53.48,51.81,52.61,89213.0,52.661,615
69,2024-01-03,52.38,52.38,50.06,50.37,183074.0,51.225,1326
70,2024-01-04,50.63,50.98,50.01,50.36,120188.0,50.325,852
71,2024-01-05,49.87,51.07,49.85,50.86,117680.0,50.725,840
72,2024-01-08,50.63,51.3,50.29,51.25,78756.0,51.069,568
73,2024-01-09,50.42,50.59,49.98,50.2,74924.0,50.275,519
74,2024-01-10,49.85,50.34,49.35,50.25,81114.0,50.022,595
75,2024-01-11,49.82,49.87,48.77,49.64,78287.0,49.441,573
76,2024-01-12,50.21,50.39,48.8,49.19,52938.0,49.351,410
77,2024-01-16,48.39,48.94,48.16,48.36,68397.0,48.487,431
78,2024-01-17,47.39,48.5,47.39,47.82,69270.0,47.739,512
79,2024-01-18,48.25,48.54,47.38,47.76,49076.0,47.816,352
80,2024-01-19,47.93,49.33,47.47,49.32,106057.0,48.664,706
81,2024-01-22,49.83,50.76,49.5,50.63,87662.0,50.272,726
82,2024-01-23,50.13,50.46,49.01,49.04,149803.0,49.597,1188
83,2024-01-24,49.62,50.18,48.29,48.33,416432.0,49.242,1104
84,2024-01-25,48.89,49.42,47.67,47.98,187965.0,47.997,1579
85,2024-01-26,48.46,48.97,48.14,48.66,509786.0,48.444,1281
86,2024-01-29,48.76,49.3,48.51,49.28,287087.0,48.824,1268
87,2024-01-30,48.87,49.12,48.19,48.21,85011.0,48.436,589
88,2024-01-31,47.31,47.92,45.6,45.77,118234.0,46.587,897
89,2024-02-01,46.14,46.54,43.58,45.38,140995.0,44.789,1049
