,date,open,high,low,close,volume,average,barCount
0,2023-10-06,210.45,211.22,209.04,209.55,621863.0,210.083,4489
1,2023-10-09,209.68,210.65,208.91,210.49,676397.0,209.898,4586
2,2023-10-10,210.86,211.32,208.04,209.67,716769.0,209.628,5322
3,2023-10-11,209.54,210.4,208.21,210.18,1061516.0,209.273,6186
4,2023-10-12,210.99,211.84,208.41,209.34,729790.0,209.44,4758
5,2023-10-13,209.72,212.74,209.72,210.94,882339.0,210.875,5628
6,2023-10-16,212.0,215.46,211.99,214.02,586647.0,213.74,4655
7,2023-10-17,214.51,216.91,214.14,216.13,533529.0,215.632,3770
8,2023-10-18,216.25,218.7,214.7,215.16,822977.0,216.364,5882
9,2023-10-19,215.13,215.86,209.94,210.55,977860.0,212.028,7245
10,2023-10-20,209.4,211.42,207.28,207.99,546234.0,209.157,3571
11,2023-10-23,206.75,207.81,205.64,206.52,531975.0,206.666,3952
12,2023-10-24,207.47,211.74,207.47,211.44,1401927.0,210.545,10501
13,2023-10-25,214.99,218.5,211.26,215.65,1730625.0,215.638,13273
14,2023-10-26,216.87,217.54,212.37,213.09,1446861.0,214.769,9666
15,2023-10-27,211.36,212.24,207.46,208.55,845550.0,208.852,6493
16,2023-10-30,210.25,214.37,210.25,213.7,1531271.0,212.393,7711
17,2023-10-31,215.05,215.67,212.82,214.62,1031595.0,214.101,7990
18,2023-11-01,215.88,221.65,215.31,220.31,1282733.0,219.198,9207
19,2023-11-02,219.48,221.4,215.54,218.6,1721348.0,217.563,8257
20,2023-11-03,219.64,219.99,216.43,218.79,1230008.0,218.862,6168
21,2023-11-06,219.91,219.95,217.66,219.55,606606.0,219.351,4196
22,2023-11-07,219.13,220.17,218.59,218.94,679138.0,219.238,4422
23,2023-11-08,219.69,220.94,217.4,219.01,663440.0,218.427,4887
24,2023-11-09,219.64,220.45,218.45,218.83,905055.0,219.201,5024
25,2023-11-10,220.17,222.62,218.83,222.44,1532994.0,220.275,8777
26,2023-11-13,222.96,224.29,221.31,222.0,658955.0,222.242,5179
27,2023-11-14,220.25,221.11,216.75,219.55,1474251.0,218.244,8986
28,2023-11-15,219.55,220.53,216.26,218.22,1357580.0,218.324,9793
29,2023-11-16,219.73,223.09,219.02,222.0,747993.0,221.923,5694
30,2023-11-17,222.0,223.91,221.52,222.63,639760.0,222.832,4449
31,2023-11-20,222.0,224.25,221.27,223.16,530015.0,223.152,3697
32,2023-11-21,224.58,226.41,223.25,225.29,692222.0,225.614,4986
33,2023-11-22,224.55,227.46,224.12,226.67,611964.0,226.389,4441
34,2023-11-24,227.4,228.96,226.45,227.04,373453.0,227.841,2740
35,2023-11-27,227.51,228.61,227.03,228.35,610855.0,227.806,4265
36,2023-11-28,227.94,228.06,224.69,224.99,687611.0,225.935,5044
37,2023-11-29,223.94,225.91,223.32,225.08,1429814.0,224.561,7202
38,2023-11-30,225.0,230.3,224.51,229.43,986107.0,228.58,7938
39,2023-12-01,228.34,229.71,227.73,228.66,666388.0,228.861,5253
40,2023-12-04,228.45,230.4,227.51,228.12,701851.0,228.854,5490
41,2023-12-05,227.68,228.73,226.46,226.88,838714.0,227.588,6299
42,2023-12-06,227.05,227.8,222.83,224.29,900027.0,224.664,6474
43,2023-12-07,225.0,225.29,222.92,223.13,1343651.0,223.522,6984
44,2023-12-08,222.9,223.45,221.64,222.91,1224327.0,222.442,6546
45,2023-12-11,223.91,225.16,222.25,224.47,1139140.0,224.394,8886
46,2023-12-12,225.52,227.98,224.77,227.07,939668.0,226.506,6515
47,2023-12-13,226.91,228.24,225.77,226.11,1283062.0,226.998,8030
48,2023-12-14,224.63,224.63,218.17,220.51,2779821.0,220.489,17751
49,2023-12-15,219.21,221.87,217.54,220.07,1858399.0,219.05,9804
50,2023-12-18,220.27,221.6,219.18,220.31,658533.0,220.361,4621
51,2023-12-19,220.27,221.87,219.46,221.81,678507.0,221.127,4905
52,2023-12-20,220.27,221.42,218.72,218.81,768752.0,219.939,5818
53,2023-12-21,218.08,220.17,216.9,220.02,614210.0,218.481,4063
54,2023-12-22,220.83,221.73,220.21,220.77,457426.0,220.852,3447
55,2023-12-26,220.23,222.45,220.23,222.07,405627.0,221.744,2753
56,2023-12-27,221.01,223.09,221.01,222.69,494216.0,222.494,3444
57,2023-12-28,224.4,225.62,224.08,224.43,661943.0,224.912,5132
58,2023-12-29,224.4,226.62,224.28,226.0,737865.0,225.838,5646
59,2024-01-02,226.37,228.48,226.29,227.35,1315446.0,227.067,8182
60,2024-01-03,229.08,229.49,226.35,226.41,854084.0,227.673,6408
61,2024-01-04,228.75,230.19,227.28,227.3,684383.0,228.403,4634
62,2024-01-05,228.72,229.12,226.63,227.7,682138.0,227.639,4984
63,2024-01-08,227.65,227.99,223.69,226.2,671290.0,225.095,4928
64,2024-01-09,226.2,226.2,222.85,225.31,546151.0,224.806,4007
65,2024-01-10,224.74,226.08,223.55,225.25,794182.0,224.735,5992
66,2024-01-11,226.0,228.09,224.74,227.71,785301.0,226.513,5070
67,2024-01-12,228.7,229.43,226.56,227.55,653838.0,227.284,4019
68,2024-01-16,227.82,228.64,226.06,227.73,519907.0,227.56,3756
69,2024-01-17,228.0,232.28,227.68,228.25,1253806.0,229.246,7904
70,2024-01-18,228.19,230.24,226.74,230.03,601728.0,228.664,4273
71,2024-01-19,232.92,238.04,232.36,237.32,2093069.0,236.006,11351
72,2024-01-22,237.67,240.33,237.67,239.0,1515412.0,238.84,7604
73,2024-01-23,240.0,242.13,239.73,240.35,1214866.0,240.463,7499
74,2024-01-24,241.74,244.34,241.26,241.58,1545157.0,242.734,8424
75,2024-01-25,241.7,243.19,239.17,241.21,1099364.0,240.465,7606
76,2024-01-26,241.05,241.54,240.12,241.24,852701.0,240.978,5829
77,2024-01-29,240.75,242.92,240.2,242.77,807763.0,241.521,5473
78,2024-01-30,243.59,243.99,242.13,243.17,1471167.0,242.936,10014
79,2024-01-31,247.2,248.55,244.21,245.0,1675463.0,246.112,12147
80,2024-02-01,244.73,245.87,242.36,244.95,1058388.0,244.376,7634
81,2024-02-02,245.82,248.19,245.82,246.69,1101024.0,246.907,8083
82,2024-02-05,246.32,249.62,245.82,249.25,1253580.0,248.483,9115
83,2024-02-06,249.09,249.62,247.12,247.67,742253.0,248.039,5194
84,2024-02-07,247.65,248.35,245.86,246.89,827050.0,246.669,6461
85,2024-02-08,246.05,246.83,242.4,244.34,794834.0,244.213,5852
86,2024-02-09,243.32,247.28,243.32,247.21,642837.0,245.98,4105
87,2024-02-12,247.35,249.2,246.5,248.01,504705.0,248.087,3661
88,2024-02-13,248.91,250.31,244.96,246.82,676819.0,246.837,4851
89,2024-02-14,247.0,248.79,246.47,248.28,723394.0,247.597,2702
