,date,open,high,low,close,volume,average,barCount
0,2023-10-06,37.3,38.19,36.9,37.68,4408015.0,37.747,21313
1,2023-10-09,37.92,37.92,36.14,37.36,3560683.0,37.138,18524
2,2023-10-10,37.5,38.32,37.49,37.75,3316462.0,37.857,19402
3,2023-10-11,37.68,37.73,36.34,37.22,4473580.0,36.915,22411
4,2023-10-12,37.44,37.47,35.79,36.18,3743149.0,36.445,21468
5,2023-10-13,36.41,36.76,35.77,36.41,4616740.0,36.166,27857
6,2023-10-16,36.6,36.81,35.8,36.18,3329090.0,36.189,17323
7,2023-10-17,36.07,38.23,35.98,37.67,5926055.0,37.505,31159
8,2023-10-18,37.89,38.38,37.4,37.87,3496531.0,37.768,20535
9,2023-10-19,37.68,39.01,36.91,38.34,4878723.0,38.36,27850
10,2023-10-20,38.59,38.81,37.49,38.19,4026603.0,38.172,21190
11,2023-10-23,37.78,38.67,37.06,38.27,2242510.0,38.031,13438
12,2023-10-24,38.54,39.43,38.18,38.81,3981729.0,38.784,17425
13,2023-10-25,39.26,39.77,38.73,39.25,3865397.0,39.24,22094
14,2023-10-26,39.0,39.27,37.43,38.35,5440644.0,38.323,22607
15,2023-10-27,38.61,38.83,37.81,37.93,2954974.0,38.139,16543
16,2023-10-30,38.25,38.7,37.14,37.86,3993598.0,37.729,24793
17,2023-10-31,39.79,41.51,39.0,40.91,11037131.0,40.795,60701
18,2023-11-01,41.46,41.69,40.32,41.05,4191095.0,40.946,25318
19,2023-11-02,41.47,43.11,41.36,42.84,5982362.0,42.575,31860
20,2023-11-03,42.85,43.02,41.76,41.95,4481286.0,42.369,29324
21,2023-11-06,42.26,42.33,40.71,40.81,3014365.0,41.058,17321
22,2023-11-07,40.5,41.52,39.65,41.16,3749559.0,40.962,20862
23,2023-11-08,41.09,41.38,40.07,40.45,4202053.0,40.544,22251
24,2023-11-09,40.94,42.73,40.81,42.22,4889801.0,42.222,26750
25,2023-11-10,42.32,42.82,41.64,42.5,3225759.0,42.425,20090
26,2023-11-13,42.51,44.35,42.51,43.73,4464585.0,43.716,25472
27,2023-11-14,43.97,44.17,42.7,44.07,3757111.0,43.669,22125
