,date,open,high,low,close,volume,average,barCount
0,2023-12-18,14.25,14.25,14.25,14.25,0.0,14.25,0
1,2023-12-19,16.52,17.5,16.52,17.5,2290.0,17.195,14
2,2023-12-20,17.1,17.6,17.0,17.3,381011.0,17.237,1575
3,2023-12-21,17.43,18.09,17.39,17.63,158730.0,17.518,774
4,2023-12-22,18.31,18.39,18.08,18.14,256312.0,18.211,1412
5,2023-12-26,18.1,18.2,17.89,18.2,23907.0,18.07,116
6,2023-12-27,18.27,18.48,18.26,18.33,41595.0,18.368,196
7,2023-12-28,18.61,18.64,18.32,18.53,149209.0,18.492,690
8,2023-12-29,18.5,18.5,18.32,18.4,9790.0,18.427,41
9,2024-01-02,18.13,18.19,17.67,17.8,157526.0,18.03,543
10,2024-01-03,17.92,18.02,17.76,17.89,231457.0,17.924,820
11,2024-01-04,18.8,18.8,17.94,18.1,343175.0,18.232,1832
12,2024-01-05,17.97,18.2,17.78,18.07,125968.0,18.064,615
13,2024-01-08,18.07,18.38,17.85,17.92,58922.0,18.113,327
14,2024-01-09,17.97,18.18,17.93,17.96,29537.0,18.069,155
15,2024-01-10,17.96,18.04,17.49,17.65,65565.0,17.803,284
16,2024-01-11,18.1,18.2,17.74,17.93,118795.0,17.963,541
17,2024-01-12,18.26,18.29,18.0,18.13,306062.0,18.149,1112
18,2024-01-16,18.35,18.39,17.62,17.66,221051.0,18.051,903
19,2024-01-17,18.05,18.09,17.81,17.98,71628.0,17.965,451
20,2024-01-18,17.97,18.09,17.83,17.98,11041.0,17.999,66
21,2024-01-19,18.37,18.39,17.94,18.22,84245.0,18.204,485
22,2024-01-22,18.03,18.3,17.92,17.99,56857.0,18.089,251
23,2024-01-23,18.0,18.03,17.75,17.78,35753.0,17.852,235
24,2024-01-24,17.94,17.99,17.74,17.75,23139.0,17.865,104
25,2024-01-25,18.0,18.02,17.51,17.69,40873.0,17.772,256
26,2024-01-26,17.98,18.02,17.86,17.9,41170.0,17.945,319
27,2024-01-29,18.02,18.46,18.02,18.45,138033.0,18.258,436
28,2024-01-30,18.45,18.48,18.09,18.32,52825.0,18.285,299
29,2024-01-31,18.44,18.49,18.05,18.08,98889.0,18.353,509
30,2024-02-01,18.39,18.45,18.12,18.28,100517.0,18.293,566
