,date,open,high,low,close,volume,average,barCount
0,2023-10-06,99.2,102.96,98.62,102.13,183457.0,101.552,1247
1,2023-10-09,103.74,109.08,103.38,107.67,322454.0,107.376,2100
2,2023-10-10,107.86,110.11,107.8,108.19,286461.0,108.753,2048
3,2023-10-11,106.53,107.82,104.8,106.53,241247.0,106.255,1756
4,2023-10-12,106.59,106.91,104.4,105.77,229953.0,105.473,1472
5,2023-10-13,107.58,109.61,106.5,107.38,160201.0,107.754,1146
6,2023-10-16,108.25,109.97,107.12,109.42,225344.0,109.112,1562
7,2023-10-17,109.01,112.49,109.01,111.08,235193.0,111.3,1525
8,2023-10-18,111.85,111.85,108.36,109.01,189878.0,109.457,1309
9,2023-10-19,108.4,108.5,105.75,106.47,225887.0,106.786,1488
10,2023-10-20,106.17,106.82,102.73,103.65,269735.0,104.048,1812
11,2023-10-23,103.0,105.15,102.33,104.02,178671.0,104.142,1332
12,2023-10-24,105.08,107.0,103.72,104.66,128270.0,105.226,903
13,2023-10-25,104.65,105.1,101.38,102.62,177084.0,102.795,1435
14,2023-10-26,100.79,102.95,100.02,100.72,163229.0,101.264,1209
15,2023-10-27,101.88,103.82,101.22,103.73,183121.0,102.913,1407
16,2023-10-30,104.0,104.95,99.48,102.17,316195.0,101.92,2064
17,2023-10-31,94.03,94.23,86.7,91.89,1142032.0,90.685,7162
18,2023-11-01,93.86,97.09,92.42,96.44,351053.0,95.999,2468
19,2023-11-02,97.5,98.68,95.55,97.92,300574.0,97.369,2132
20,2023-11-03,97.91,99.0,96.79,97.82,208647.0,97.895,1508
21,2023-11-06,98.1,98.1,94.45,96.24,170250.0,95.749,1116
22,2023-11-07,94.13,94.45,90.61,92.82,374243.0,92.694,2357
23,2023-11-08,91.7,93.38,91.0,92.79,222799.0,92.602,1540
24,2023-11-09,93.71,95.14,92.83,93.3,263779.0,93.694,1712
25,2023-11-10,94.77,96.7,93.87,95.54,169045.0,95.631,1250
26,2023-11-13,96.27,96.62,94.89,94.99,204479.0,95.658,1404
27,2023-11-14,96.24,100.36,95.23,99.57,237263.0,99.054,1662
28,2023-11-15,98.93,101.65,98.32,99.82,165680.0,100.163,1199
29,2023-11-16,99.82,101.71,97.3,98.08,177810.0,98.692,1157
30,2023-11-17,99.04,101.82,99.04,101.14,232215.0,100.731,1703
31,2023-11-20,101.65,102.22,100.25,100.96,134296.0,101.222,1067
32,2023-11-21,100.86,103.83,100.58,101.35,156955.0,102.098,1151
33,2023-11-22,99.76,104.38,98.23,103.88,144750.0,102.74,1116
34,2023-11-24,103.58,106.19,103.58,104.38,73564.0,105.105,525
35,2023-11-27,104.13,105.25,103.46,104.67,151888.0,104.352,1167
