,date,open,high,low,close,volume,average,barCount
0,2023-10-06,119.75,122.11,118.27,120.33,331711.0,120.731,2648
1,2023-10-09,119.29,121.68,117.69,120.97,394797.0,120.114,2624
2,2023-10-10,121.79,124.83,121.31,123.05,357111.0,123.572,2740
3,2023-10-11,122.72,124.68,122.59,124.09,288158.0,123.32,2053
4,2023-10-12,124.77,124.77,119.5,120.78,305555.0,121.243,2232
5,2023-10-13,121.56,122.74,119.21,119.45,387469.0,120.158,3064
6,2023-10-16,121.27,122.58,119.5,120.45,291313.0,121.001,2295
7,2023-10-17,119.12,123.1,119.12,122.21,311157.0,121.958,2210
8,2023-10-18,120.08,120.48,118.32,119.28,354196.0,119.409,2849
9,2023-10-19,118.73,120.12,116.44,116.65,301465.0,117.769,2404
10,2023-10-20,116.63,117.55,115.12,115.22,370883.0,116.074,2516
11,2023-10-23,114.16,115.57,113.05,113.1,350526.0,114.166,2536
12,2023-10-24,113.97,117.01,113.19,116.17,375253.0,116.112,3013
13,2023-10-25,115.47,116.33,112.71,112.94,342628.0,113.794,2566
14,2023-10-26,113.18,117.22,113.18,116.6,494501.0,115.785,3673
15,2023-10-27,116.26,116.75,112.99,113.5,268282.0,114.333,2029
16,2023-10-30,114.19,116.33,112.15,114.28,554542.0,113.278,2733
17,2023-10-31,114.97,115.22,113.98,114.51,375740.0,114.467,2827
18,2023-11-01,113.72,113.72,110.76,113.02,421712.0,111.995,3404
19,2023-11-02,114.5,116.14,114.31,115.57,439053.0,115.18,3065
20,2023-11-03,117.0,122.06,116.45,120.96,583818.0,120.591,4698
21,2023-11-06,121.06,121.92,119.33,120.03,520777.0,120.082,4131
22,2023-11-07,114.05,120.11,114.05,116.57,649849.0,116.916,4776
23,2023-11-08,115.6,118.1,115.51,117.99,390592.0,117.298,3073
24,2023-11-09,119.04,119.59,115.92,116.39,398170.0,117.064,2342
25,2023-11-10,117.12,118.8,115.76,118.51,377742.0,117.508,2465
26,2023-11-13,117.45,119.23,117.27,117.85,502726.0,118.064,3193
27,2023-11-14,119.78,126.33,119.78,125.79,527320.0,125.074,4041
28,2023-11-15,125.68,130.21,125.25,127.29,640310.0,127.786,4356
