,date,open,high,low,close,volume,average,barCount
0,2023-10-06,111.01,112.97,110.33,111.88,122705.0,112.112,1026
1,2023-10-09,110.73,111.14,107.94,110.84,152203.0,109.968,1201
2,2023-10-10,110.95,113.85,110.95,112.8,169045.0,112.849,1313
3,2023-10-11,114.36,115.31,112.52,113.69,155477.0,114.118,1155
4,2023-10-12,114.18,114.18,108.81,109.84,125932.0,110.287,1025
5,2023-10-13,109.59,110.33,108.84,110.01,114163.0,109.718,997
6,2023-10-16,111.31,114.01,111.23,112.69,225735.0,112.839,1576
7,2023-10-17,112.39,115.15,112.38,113.78,144358.0,114.209,1148
8,2023-10-18,113.06,113.88,111.77,111.92,131064.0,112.552,970
9,2023-10-19,111.4,113.41,110.42,112.2,150543.0,112.202,1285
10,2023-10-20,112.18,112.53,110.5,110.88,95405.0,111.184,736
11,2023-10-23,110.21,112.27,109.69,110.86,119728.0,111.488,959
12,2023-10-24,111.17,112.72,110.65,111.45,135314.0,111.782,1036
13,2023-10-25,109.75,109.75,107.09,108.43,276694.0,108.592,2234
14,2023-10-26,112.71,114.91,107.37,108.06,284142.0,108.863,2175
15,2023-10-27,108.01,110.55,106.45,108.5,185799.0,109.075,1438
16,2023-10-30,109.27,109.87,107.37,108.98,179046.0,108.32,1400
17,2023-10-31,108.98,110.09,108.18,109.84,110961.0,109.521,879
18,2023-11-01,109.84,110.53,107.82,108.91,126243.0,108.968,1087
19,2023-11-02,110.61,114.56,108.0,114.43,199401.0,113.655,1646
20,2023-11-03,116.0,119.96,115.98,118.67,280703.0,118.773,1952
21,2023-11-06,119.07,119.39,117.09,118.84,134789.0,118.381,904
22,2023-11-07,118.68,118.75,117.24,117.93,115861.0,117.78,935
23,2023-11-08,118.28,118.87,116.05,116.75,122333.0,117.065,972
24,2023-11-09,116.98,116.98,114.51,116.45,104896.0,116.068,934
25,2023-11-10,116.47,119.06,115.58,118.94,85386.0,117.996,721
26,2023-11-13,118.73,119.61,118.16,118.27,83239.0,118.654,690
27,2023-11-14,121.14,122.92,120.53,122.58,102318.0,122.232,854
28,2023-11-15,122.5,124.72,121.39,121.76,133757.0,122.856,806
29,2023-11-16,121.84,122.51,119.65,119.98,59768.0,120.405,464
30,2023-11-17,121.08,121.51,119.88,120.75,87170.0,120.72,605
31,2023-11-20,121.1,122.16,120.27,121.41,78622.0,121.522,647
32,2023-11-21,121.02,121.26,119.78,120.13,111280.0,120.27,817
33,2023-11-22,120.93,121.44,120.05,120.35,71108.0,120.743,578
34,2023-11-24,120.11,121.14,120.11,120.72,40611.0,120.888,350
35,2023-11-27,120.09,120.09,118.83,118.98,81467.0,119.244,596
36,2023-11-28,118.59,118.89,117.69,117.99,126265.0,118.198,752
37,2023-11-29,119.04,119.04,115.07,115.42,88039.0,116.178,754
38,2023-11-30,114.91,115.84,113.93,115.77,133349.0,115.096,1108
39,2023-12-01,115.98,118.08,115.89,117.83,153716.0,116.987,1251
40,2023-12-04,117.4,120.66,117.4,119.58,212643.0,119.432,1493
41,2023-12-05,118.83,119.43,115.31,115.56,161761.0,116.243,1045
42,2023-12-06,115.93,117.67,114.8,115.0,109740.0,115.447,857
43,2023-12-07,115.47,117.1,115.47,116.7,104181.0,116.531,800
44,2023-12-08,116.27,120.27,116.27,119.89,83697.0,119.293,653
45,2023-12-11,120.0,123.53,120.0,123.49,98592.0,122.804,701
46,2023-12-12,123.84,125.41,123.08,124.91,140151.0,124.467,926
47,2023-12-13,124.72,129.25,124.72,128.7,153783.0,127.267,1213
48,2023-12-14,129.91,132.47,129.07,130.14,125923.0,130.315,1003
49,2023-12-15,130.13,130.68,128.74,128.95,133896.0,129.618,640
50,2023-12-18,128.96,130.43,128.32,129.97,82257.0,129.617,614
51,2023-12-19,132.92,134.9,132.21,134.35,77738.0,134.159,616
52,2023-12-20,133.55,134.79,130.39,130.47,258438.0,132.45,1576
53,2023-12-21,131.93,133.7,130.9,132.86,119415.0,131.937,724
54,2023-12-22,133.12,134.91,132.78,134.35,87160.0,134.175,623
55,2023-12-26,134.4,135.09,133.55,134.7,59591.0,134.491,397
56,2023-12-27,134.87,135.99,133.59,135.57,51806.0,135.232,458
57,2023-12-28,135.59,136.36,135.39,135.6,55794.0,135.929,426
58,2023-12-29,135.2,136.29,134.35,134.93,89169.0,135.009,704
59,2024-01-02,133.56,136.09,132.8,133.89,106848.0,134.426,864
60,2024-01-03,132.17,133.4,129.33,129.34,121216.0,130.557,935
61,2024-01-04,129.19,129.6,128.1,128.27,69600.0,128.891,552
62,2024-01-05,125.82,128.77,125.82,127.13,113868.0,127.156,835
63,2024-01-08,126.93,128.64,126.73,127.85,105051.0,127.673,761
64,2024-01-09,126.4,126.4,124.01,125.13,97025.0,124.898,717
65,2024-01-10,124.92,126.5,123.9,124.0,52650.0,124.564,430
66,2024-01-11,123.48,124.85,122.6,124.2,83007.0,124.073,682
67,2024-01-12,124.85,125.19,123.06,124.07,84868.0,123.961,577
68,2024-01-16,123.5,124.07,121.87,122.41,152739.0,122.393,1164
69,2024-01-17,120.86,124.08,120.59,123.91,91884.0,123.486,620
70,2024-01-18,125.04,126.12,123.44,124.94,112654.0,124.642,786
71,2024-01-19,125.19,126.33,124.2,125.16,166065.0,125.357,773
72,2024-01-22,125.63,126.44,123.74,124.51,52432.0,124.497,366
73,2024-01-23,125.54,125.6,123.5,124.1,109947.0,124.146,894
74,2024-01-24,125.75,125.99,121.33,121.61,108723.0,122.671,814
75,2024-01-25,123.12,124.07,121.4,122.31,69100.0,122.029,483
76,2024-01-26,122.41,123.57,120.95,121.14,66762.0,121.806,518
77,2024-01-29,121.2,123.03,120.35,123.0,83291.0,121.952,674
78,2024-01-30,122.33,123.32,121.75,122.82,126533.0,122.757,930
79,2024-01-31,123.11,123.45,120.96,120.97,97783.0,122.279,659
80,2024-02-01,121.35,122.5,120.07,122.3,89497.0,121.659,700
81,2024-02-02,121.68,122.58,119.58,121.86,130875.0,121.439,898
82,2024-02-05,120.29,120.29,118.41,118.87,102120.0,118.977,544
83,2024-02-06,119.44,121.63,118.9,120.83,84240.0,120.727,680
84,2024-02-07,121.74,122.59,120.6,121.98,56703.0,122.163,406
85,2024-02-08,122.38,124.4,122.38,123.0,92733.0,123.167,732
86,2024-02-09,123.97,124.6,122.85,123.75,164697.0,123.513,1209
87,2024-02-12,123.33,124.57,122.29,122.41,52042.0,122.843,384
88,2024-02-13,119.99,120.28,118.0,119.12,74163.0,119.134,578
89,2024-02-14,119.71,120.77,119.04,120.33,32753.0,120.059,194
