,date,open,high,low,close,volume,average,barCount
0,2023-10-06,2.41,2.685,2.41,2.67,971824.0,2.60978,2909
1,2023-10-09,2.55,2.6699,2.455,2.55,1227261.0,2.53927,4898
2,2023-10-10,2.55,2.66,2.5299,2.59,600027.0,2.58945,2775
3,2023-10-11,2.58,2.63,2.4,2.47,558858.0,2.46109,1770
4,2023-10-12,2.41,2.465,2.36,2.4,431631.0,2.4054,1618
5,2023-10-13,2.42,2.44,2.36,2.4,350848.0,2.39551,1303
6,2023-10-16,2.47,2.77,2.46,2.66,1671633.0,2.61372,5103
7,2023-10-17,2.57,2.83,2.57,2.79,1088258.0,2.75335,3975
8,2023-10-18,2.75,2.86,2.6,2.63,765422.0,2.65122,2774
9,2023-10-19,2.62,2.64,2.5,2.57,1150251.0,2.56059,4694
10,2023-10-20,2.73,2.77,2.53,2.6,1252117.0,2.61746,4527
11,2023-10-23,2.69,2.72,2.5601,2.67,2170619.0,2.65058,6447
12,2023-10-24,2.96,3.15,2.7,3.14,4540536.0,2.95999,17276
13,2023-10-25,3.09,3.57,3.0101,3.54,2324374.0,3.38256,7758
14,2023-10-26,3.47,3.64,3.4,3.52,1403709.0,3.52084,4704
15,2023-10-27,3.53,3.64,3.23,3.32,1603279.0,3.35377,5287
16,2023-10-30,3.43,3.749,3.32,3.49,1916606.0,3.51709,6018
17,2023-10-31,3.4,3.418,3.14,3.33,1111611.0,3.2977,3369
18,2023-11-01,3.34,3.56,3.31,3.495,1086998.0,3.46349,3220
19,2023-11-02,3.69,4.04,3.67,3.95,2315342.0,3.89522,7436
20,2023-11-03,3.86,4.2676,3.86,4.1,1789459.0,4.1085,6202
21,2023-11-06,4.23,4.23,3.785,3.88,1969677.0,3.95435,5742
22,2023-11-07,3.82,3.905,3.64,3.85,1400019.0,3.78905,4551
23,2023-11-08,4.04,4.04,3.54,3.57,1944674.0,3.66095,6475
24,2023-11-09,3.8,3.8,2.895,3.12,9293134.0,3.14204,21716
25,2023-11-10,3.01,3.1869,2.95,2.98,1325475.0,3.01303,4165
26,2023-11-13,2.99,2.99,2.74,2.88,2339001.0,2.85109,6796
27,2023-11-14,2.85,2.94,2.76,2.85,1884959.0,2.83484,7147
28,2023-11-15,2.88,3.1,2.815,2.88,3969263.0,2.95655,10853
29,2023-11-16,2.82,2.825,2.5,2.5,2464658.0,2.64144,6992
30,2023-11-17,2.61,2.61,2.46,2.475,1357684.0,2.51903,4018
31,2023-11-20,2.45,2.63,2.44,2.49,4441377.0,2.52678,8859
32,2023-11-21,2.53,2.53,2.4,2.44,1327966.0,2.45995,3362
33,2023-11-22,2.45,2.56,2.4122,2.55,1149437.0,2.49163,2946
34,2023-11-24,2.61,2.705,2.525,2.69,1140674.0,2.64738,2526
35,2023-11-27,2.6,2.71,2.58,2.62,1748999.0,2.6485,4944
36,2023-11-28,2.68,2.73,2.62,2.69,2429866.0,2.68697,7082
37,2023-11-29,2.8,2.8,2.65,2.74,1897177.0,2.73734,5552
38,2023-11-30,2.79,2.8699,2.715,2.77,2040618.0,2.80345,5135
39,2023-12-01,2.8,3.005,2.74,2.94,6874026.0,2.90205,18082
40,2023-12-04,3.2,3.23,2.98,2.99,11621824.0,3.04686,22324
41,2023-12-05,3.01,3.125,2.765,2.79,5988592.0,2.93922,15097
42,2023-12-06,2.88,2.92,2.69,2.74,3003284.0,2.78993,8659
43,2023-12-07,2.66,2.71,2.55,2.62,2547673.0,2.63544,7162
44,2023-12-08,2.61,2.93,2.61,2.91,3948421.0,2.8402,11407
45,2023-12-11,2.85,2.85,2.43,2.45,3039714.0,2.59069,7178
46,2023-12-12,2.53,2.535,2.32,2.33,2980053.0,2.37273,7098
47,2023-12-13,2.36,2.49,2.29,2.46,4438107.0,2.4179,12469
48,2023-12-14,2.57,2.66,2.52,2.58,3744503.0,2.59709,9656
49,2023-12-15,2.6,2.62,2.53,2.6,4170664.0,2.57813,9991
50,2023-12-18,2.55,3.21,2.53,3.14,14512337.0,3.04441,29599
51,2023-12-19,3.37,3.855,3.32,3.59,18296282.0,3.61319,40186
