,date,open,high,low,close,volume,average,barCount
0,2023-09-25,15.42,15.76,15.36,15.71,35581.0,15.624,253
1,2023-09-26,15.52,16.0,15.52,15.56,25510.0,15.63,199
2,2023-09-27,15.58,15.68,15.42,15.46,27615.0,15.514,235
3,2023-09-28,15.5,15.72,15.5,15.58,21265.0,15.631,163
4,2023-09-29,15.65,15.77,15.53,15.71,41926.0,15.681,336
5,2023-10-02,15.67,15.79,15.41,15.5,25479.0,15.49,229
6,2023-10-03,15.39,15.54,15.24,15.27,32087.0,15.322,279
7,2023-10-04,15.24,15.59,15.09,15.55,34047.0,15.393,275
8,2023-10-05,15.53,16.14,15.51,16.04,40636.0,15.929,331
9,2023-10-06,15.93,16.31,15.01,16.1,25537.0,16.018,210
10,2023-10-09,16.09,16.22,15.95,16.0,24205.0,16.036,150
11,2023-10-10,16.06,16.22,15.96,15.98,12709.0,16.04,101
12,2023-10-11,16.21,16.28,15.91,16.02,19735.0,16.056,146
13,2023-10-12,16.04,16.05,15.74,15.88,30304.0,15.881,200
14,2023-10-13,15.94,15.97,15.55,15.59,26097.0,15.665,217
15,2023-10-16,15.66,16.08,15.66,16.07,28194.0,15.94,205
16,2023-10-17,15.97,16.43,15.97,16.26,32805.0,16.292,242
17,2023-10-18,16.13,16.27,15.91,15.97,18675.0,15.989,132
18,2023-10-19,15.95,16.16,15.88,15.9,37567.0,16.017,208
19,2023-10-20,15.96,15.96,15.58,15.59,32369.0,15.771,209
20,2023-10-23,15.52,15.88,15.52,15.68,46835.0,15.711,328
21,2023-10-24,15.79,15.81,15.53,15.61,28494.0,15.616,228
22,2023-10-25,15.45,15.81,15.45,15.7,26282.0,15.671,213
23,2023-10-26,15.84,16.4,15.76,16.07,32829.0,16.015,293
24,2023-10-27,16.04,16.17,15.91,16.04,25860.0,16.014,226
25,2023-10-30,16.2,16.24,16.04,16.1,17511.0,16.127,145
26,2023-10-31,16.13,16.24,16.02,16.1,13953.0,16.123,113
27,2023-11-01,16.1,16.32,16.05,16.3,33964.0,16.219,297
28,2023-11-02,16.37,16.75,16.37,16.72,36853.0,16.522,284
29,2023-11-03,16.9,17.25,16.9,16.97,42268.0,17.096,275
30,2023-11-06,16.95,16.95,16.55,16.71,13370.0,16.683,95
31,2023-11-07,16.6,16.79,16.44,16.68,8001.0,16.682,61
32,2023-11-08,16.66,16.66,16.31,16.5,17428.0,16.454,114
33,2023-11-09,16.52,16.52,16.1,16.17,24714.0,16.293,197
34,2023-11-10,16.28,16.29,16.1,16.19,13078.0,16.225,94
35,2023-11-13,16.09,16.5,15.89,16.45,24684.0,16.244,202
36,2023-11-14,16.94,17.9,15.9,17.85,110740.0,17.653,644
37,2023-11-15,17.86,17.91,17.6,17.81,28014.0,17.743,229
38,2023-11-16,17.8,17.8,17.41,17.42,19829.0,17.517,176
39,2023-11-17,17.55,17.76,17.45,17.62,33426.0,17.57,140
