,date,open,high,low,close,volume,average,barCount
0,2023-09-25,7.39,7.54,7.35,7.46,104565.0,7.457,642
1,2023-09-26,7.45,7.46,7.34,7.4,234326.0,7.388,1204
2,2023-09-27,7.4,7.63,7.38,7.55,341113.0,7.484,1764
3,2023-09-28,7.56,7.62,7.45,7.56,251788.0,7.543,1511
4,2023-09-29,7.64,7.79,7.57,7.65,233872.0,7.653,1193
5,2023-10-02,7.66,7.76,7.44,7.58,346383.0,7.576,1569
6,2023-10-03,7.58,7.58,7.38,7.46,301812.0,7.448,1544
7,2023-10-04,7.47,7.56,7.38,7.5,162359.0,7.488,962
8,2023-10-05,7.48,7.57,7.39,7.49,188396.0,7.482,963
9,2023-10-06,7.47,7.58,7.42,7.58,173933.0,7.527,1012
10,2023-10-09,7.5,7.53,7.27,7.36,232841.0,7.379,1272
11,2023-10-10,7.36,7.66,7.36,7.46,309031.0,7.514,1652
12,2023-10-11,7.46,7.55,7.29,7.36,213247.0,7.385,1374
13,2023-10-12,7.34,7.35,7.02,7.09,252597.0,7.167,1464
14,2023-10-13,7.08,7.1,6.95,7.02,343665.0,7.007,1728
15,2023-10-16,7.0,7.22,6.98,7.2,224384.0,7.156,1271
16,2023-10-17,7.18,7.31,7.16,7.3,194935.0,7.246,1110
17,2023-10-18,7.29,7.3,7.16,7.23,238288.0,7.234,1253
18,2023-10-19,7.23,7.31,7.1,7.15,285053.0,7.197,1931
19,2023-10-20,7.14,7.14,6.93,6.95,272224.0,6.994,1581
20,2023-10-23,6.89,6.96,6.71,6.88,222172.0,6.909,1307
21,2023-10-24,6.87,7.03,6.83,7.0,230329.0,6.972,1250
22,2023-10-25,6.95,6.95,6.72,6.8,570521.0,6.797,2378
23,2023-10-26,6.8,6.84,6.67,6.71,1263471.0,6.748,4100
24,2023-10-27,6.61,6.72,6.36,6.45,550448.0,6.492,2284
25,2023-10-30,6.53,6.68,6.51,6.65,262358.0,6.586,1424
26,2023-10-31,6.62,6.68,6.55,6.68,167278.0,6.641,939
27,2023-11-01,6.66,6.87,6.64,6.85,229852.0,6.759,1419
28,2023-11-02,6.97,6.99,6.85,6.9,286864.0,6.899,1501
