,date,open,high,low,close,volume,average,barCount
0,2023-09-19,8.1,8.12,8.05,8.06,1010303.0,8.073,2250
1,2023-09-20,8.06,8.14,8.06,8.08,986177.0,8.097,2363
2,2023-09-21,8.02,8.06,8.0,8.03,904048.0,8.033,2548
3,2023-09-22,8.08,8.09,8.01,8.04,1031526.0,8.049,2641
4,2023-09-25,8.02,8.03,7.97,7.99,1174642.0,8.002,2655
5,2023-09-26,7.97,7.98,7.71,7.81,2096134.0,7.833,4784
6,2023-09-27,7.9,7.9,7.71,7.8,1339375.0,7.788,3893
7,2023-09-28,7.81,7.97,7.8,7.97,1015744.0,7.894,3619
8,2023-09-29,8.08,8.12,7.98,8.05,1154445.0,8.053,2519
9,2023-10-02,8.01,8.05,7.95,7.99,1488763.0,8.006,4130
10,2023-10-03,7.98,8.03,7.86,7.9,1000891.0,7.917,2423
11,2023-10-04,7.84,7.9,7.8,7.81,1154002.0,7.833,2535
12,2023-10-05,7.81,7.85,7.75,7.79,809735.0,7.785,1803
13,2023-10-06,7.7,7.91,7.66,7.88,1229525.0,7.779,2480
14,2023-10-09,7.88,7.93,7.83,7.93,1183503.0,7.88,2716
15,2023-10-10,7.98,8.0,7.8,7.85,1649580.0,7.912,4210
16,2023-10-11,7.9,7.91,7.8,7.88,1051538.0,7.851,2188
17,2023-10-12,7.89,7.89,7.79,7.8,1419655.0,7.843,2704
18,2023-10-13,7.65,7.7,7.55,7.62,1846642.0,7.623,3752
19,2023-10-16,7.62,7.63,7.2,7.32,3226504.0,7.404,6782
20,2023-10-17,7.24,7.29,7.0,7.06,4102013.0,7.126,8495
21,2023-10-18,6.95,6.99,6.47,6.62,7498826.0,6.655,16440
22,2023-10-19,6.57,7.08,6.54,7.0,3247853.0,6.853,8410
23,2023-10-20,6.98,7.17,6.91,6.92,1501753.0,7.035,3968
24,2023-10-23,6.93,6.95,6.54,6.67,1883860.0,6.691,5428
25,2023-10-24,6.67,6.78,6.52,6.63,1711539.0,6.63,4226
26,2023-10-25,6.63,6.63,6.39,6.42,2129120.0,6.461,5573
27,2023-10-26,6.31,6.43,6.25,6.29,2200077.0,6.319,6507
28,2023-10-27,6.33,6.48,6.25,6.33,1406206.0,6.34,3852
29,2023-10-30,6.4,6.52,6.27,6.52,1859632.0,6.391,4034
30,2023-10-31,6.64,6.81,6.6,6.78,1557331.0,6.712,3554
31,2023-11-01,6.92,7.19,6.84,7.11,2500795.0,7.063,6215
32,2023-11-02,7.29,7.35,7.16,7.3,1974110.0,7.275,4644
33,2023-11-03,7.26,7.43,7.21,7.28,1775370.0,7.344,4571
34,2023-11-06,7.34,7.35,7.07,7.11,1421758.0,7.231,2903
35,2023-11-07,7.08,7.28,7.06,7.16,1208556.0,7.161,2286
36,2023-11-08,7.2,7.25,7.14,7.25,914918.0,7.188,2195
37,2023-11-09,7.28,7.33,7.2,7.24,918990.0,7.269,2491
38,2023-11-10,7.29,7.3,7.15,7.23,1236285.0,7.213,2562
39,2023-11-13,7.22,7.25,7.18,7.21,2187448.0,7.214,3618
40,2023-11-14,7.14,7.21,7.09,7.19,1728232.0,7.156,3786
41,2023-11-15,7.15,7.18,7.08,7.14,1614856.0,7.116,3123
42,2023-11-16,7.09,7.13,7.03,7.07,1209734.0,7.059,2303
43,2023-11-17,7.07,7.22,7.07,7.2,1057035.0,7.131,3006
44,2023-11-20,7.19,7.22,7.16,7.21,1214126.0,7.194,3001
45,2023-11-21,7.18,7.2,7.15,7.17,814979.0,7.167,1685
46,2023-11-22,7.15,7.25,7.15,7.25,827148.0,7.189,2114
47,2023-11-24,7.25,7.26,7.22,7.25,369765.0,7.241,885
48,2023-11-27,7.21,7.27,7.19,7.23,859771.0,7.233,1988
49,2023-11-28,7.23,7.29,7.23,7.25,783453.0,7.254,1630
50,2023-11-29,7.24,7.3,7.24,7.28,607129.0,7.275,1273
51,2023-11-30,7.3,7.35,7.23,7.29,868378.0,7.287,1717
52,2023-12-01,7.27,7.45,7.26,7.4,1538123.0,7.359,3566
53,2023-12-04,7.36,7.4,7.33,7.36,1024452.0,7.354,2365
54,2023-12-05,7.35,7.41,7.33,7.37,719008.0,7.373,1593
55,2023-12-06,7.41,7.43,7.32,7.37,911093.0,7.364,2038
56,2023-12-07,7.39,7.45,7.37,7.41,1069918.0,7.407,2522
57,2023-12-08,7.39,7.45,7.36,7.42,828032.0,7.414,1770
58,2023-12-11,7.41,7.5,7.4,7.49,1116755.0,7.459,2143
59,2023-12-12,7.48,7.54,7.45,7.52,1033070.0,7.509,2046
60,2023-12-13,7.5,7.52,7.42,7.49,1765038.0,7.488,4171
61,2023-12-14,7.35,7.42,7.27,7.31,1636489.0,7.334,3443
62,2023-12-15,7.28,7.31,7.22,7.23,1447168.0,7.254,3299
63,2023-12-18,7.22,7.27,7.18,7.25,1472445.0,7.226,3081
64,2023-12-19,7.25,7.3,7.23,7.27,1374630.0,7.262,3352
65,2023-12-20,7.26,7.28,7.15,7.16,1368970.0,7.226,3125
66,2023-12-21,7.22,7.22,7.16,7.22,1038580.0,7.194,2740
67,2023-12-22,7.2,7.27,7.18,7.22,1234389.0,7.221,3141
68,2023-12-26,7.24,7.24,7.16,7.2,2015478.0,7.187,5040
69,2023-12-27,7.16,7.19,7.14,7.16,1640104.0,7.163,3001
70,2023-12-28,7.15,7.2,7.15,7.19,1203662.0,7.181,2603
71,2023-12-29,7.19,7.22,7.18,7.19,1319563.0,7.202,2454
72,2024-01-02,7.17,7.28,7.15,7.22,1474805.0,7.216,3626
73,2024-01-03,7.23,7.23,7.15,7.15,1172586.0,7.182,2278
74,2024-01-04,7.17,7.22,7.17,7.22,968189.0,7.203,2239
75,2024-01-05,7.21,7.25,7.17,7.2,968192.0,7.199,2841
76,2024-01-08,7.22,7.23,7.2,7.21,1484712.0,7.218,3315
77,2024-01-09,7.23,7.28,7.22,7.28,1784211.0,7.252,3557
78,2024-01-10,7.28,7.28,7.25,7.26,1505824.0,7.266,2971
79,2024-01-11,7.28,7.28,7.18,7.19,1943827.0,7.22,5001
80,2024-01-12,7.09,7.12,7.02,7.06,2119677.0,7.069,4701
81,2024-01-16,7.03,7.07,7.01,7.06,2099405.0,7.046,4572
82,2024-01-17,7.02,7.04,6.96,6.97,1329461.0,7.007,2626
83,2024-01-18,7.0,7.09,7.0,7.08,965767.0,7.052,1735
84,2024-01-19,7.12,7.2,7.07,7.2,1244017.0,7.133,2147
