,date,open,high,low,close,volume,average,barCount
0,2023-09-25,7.16,7.24,6.95,7.18,5262945.0,7.141,17147
1,2023-09-26,7.08,7.21,7.0,7.03,8450919.0,7.066,19464
2,2023-09-27,7.09,7.26,7.0,7.22,7013431.0,7.148,19690
3,2023-09-28,7.29,7.29,6.69,6.73,7403669.0,6.856,29051
4,2023-09-29,6.79,6.92,6.69,6.71,5329538.0,6.767,22598
5,2023-10-02,6.68,6.76,6.6,6.75,3557265.0,6.704,13556
6,2023-10-03,6.64,6.68,6.19,6.2,4258223.0,6.309,15905
7,2023-10-04,6.18,6.52,6.07,6.48,3586093.0,6.36,13970
8,2023-10-05,6.45,6.56,6.41,6.5,2479170.0,6.508,10069
9,2023-10-06,6.42,6.53,6.39,6.49,2407568.0,6.478,10306
10,2023-10-09,6.4,6.49,6.26,6.38,2523468.0,6.403,9437
11,2023-10-10,6.43,6.78,6.39,6.75,3459027.0,6.696,13019
12,2023-10-11,6.74,6.97,6.74,6.78,5087167.0,6.856,14263
13,2023-10-12,6.84,6.88,6.68,6.75,2746028.0,6.744,9869
14,2023-10-13,6.71,6.8,6.71,6.77,1901302.0,6.756,8212
15,2023-10-16,6.87,7.35,6.85,7.18,3888854.0,7.162,15242
16,2023-10-17,7.14,7.26,6.79,6.99,8618509.0,6.889,17411
17,2023-10-18,6.95,6.96,6.74,6.77,2063178.0,6.784,8394
18,2023-10-19,6.78,6.86,6.7,6.72,3249524.0,6.765,12564
19,2023-10-20,6.69,6.77,6.61,6.75,2684259.0,6.728,10834
20,2023-10-23,6.6,6.82,6.49,6.53,3627709.0,6.669,15331
21,2023-10-24,6.63,6.76,6.53,6.64,4378185.0,6.636,17361
22,2023-10-25,6.52,6.58,6.37,6.49,3920187.0,6.477,14906
23,2023-10-26,6.51,6.6,6.34,6.49,4083375.0,6.479,14594
24,2023-10-27,6.55,6.58,6.34,6.36,1882416.0,6.427,9081
25,2023-10-30,6.44,6.47,6.29,6.38,2665587.0,6.367,10672
26,2023-10-31,6.42,6.47,6.34,6.38,2574365.0,6.39,10266
27,2023-11-01,6.38,6.44,6.17,6.26,2249159.0,6.275,9458
28,2023-11-02,6.45,6.68,6.34,6.63,5632795.0,6.561,21018
29,2023-11-03,6.79,7.05,6.76,6.87,4476674.0,6.889,18048
30,2023-11-06,6.87,6.93,6.72,6.76,5827676.0,6.769,15126
31,2023-11-07,7.15,7.44,6.83,6.96,7788086.0,7.091,29808
32,2023-11-08,7.07,7.27,6.77,6.88,6542275.0,6.925,25134
33,2023-11-09,6.91,6.92,6.44,6.49,4523462.0,6.628,19856
34,2023-11-10,6.47,6.59,6.26,6.57,4293188.0,6.463,16355
35,2023-11-13,6.44,6.55,6.27,6.49,5798455.0,6.45,20518
36,2023-11-14,6.81,7.32,6.76,7.24,11004331.0,7.201,35610
37,2023-11-15,7.19,7.52,7.05,7.25,6212973.0,7.304,21749
38,2023-11-16,7.26,7.34,7.03,7.24,3495339.0,7.175,14594
