,date,open,high,low,close,volume,average,barCount
0,2023-09-25,11.07,11.27,10.94,11.17,63286.0,11.136,399
1,2023-09-26,11.06,11.16,10.81,10.83,79671.0,10.915,501
2,2023-09-27,10.94,11.13,10.83,11.11,209055.0,11.051,881
3,2023-09-28,10.89,11.08,10.82,11.04,109339.0,10.984,833
4,2023-09-29,11.11,11.19,10.96,11.08,99525.0,11.06,651
5,2023-10-02,11.06,11.09,10.87,11.01,190239.0,11.007,1149
6,2023-10-03,10.89,10.99,10.53,10.68,107662.0,10.703,768
7,2023-10-04,10.66,10.82,10.33,10.74,107349.0,10.641,741
8,2023-10-05,10.71,11.23,10.69,11.21,111926.0,11.064,787
9,2023-10-06,11.13,11.35,11.01,11.16,89284.0,11.198,649
10,2023-10-09,11.16,11.46,11.16,11.28,77810.0,11.316,565
11,2023-10-10,11.27,11.29,11.13,11.2,86196.0,11.223,558
12,2023-10-11,11.26,11.59,11.22,11.58,58832.0,11.443,349
13,2023-10-12,11.62,11.62,11.33,11.52,76860.0,11.467,535
14,2023-10-13,11.63,11.63,11.17,11.19,54674.0,11.326,356
15,2023-10-16,11.34,11.48,11.22,11.34,57785.0,11.32,413
16,2023-10-17,11.24,11.64,11.23,11.53,78159.0,11.539,538
17,2023-10-18,11.4,11.4,11.17,11.3,58468.0,11.279,447
18,2023-10-19,11.21,11.29,10.95,10.96,73621.0,11.07,506
19,2023-10-20,11.05,11.12,10.65,10.73,208916.0,10.795,952
20,2023-10-23,10.67,10.69,10.36,10.4,62478.0,10.521,436
21,2023-10-24,10.41,10.56,10.33,10.46,57834.0,10.454,421
22,2023-10-25,10.36,10.36,10.15,10.19,71184.0,10.236,447
23,2023-10-26,10.27,10.45,10.15,10.36,48190.0,10.337,355
24,2023-10-27,10.36,10.37,10.06,10.12,58925.0,10.16,428
25,2023-10-30,10.3,10.39,10.08,10.35,48515.0,10.286,365
26,2023-10-31,10.43,10.5,10.29,10.43,59756.0,10.396,361
27,2023-11-01,10.22,10.22,9.6,10.06,130653.0,9.984,830
28,2023-11-02,10.22,10.52,9.99,10.51,72842.0,10.405,483
29,2023-11-03,10.84,10.96,10.62,10.88,79835.0,10.881,550
30,2023-11-06,10.84,10.84,10.51,10.53,54938.0,10.614,375
31,2023-11-07,10.54,10.56,10.43,10.55,43987.0,10.51,304
32,2023-11-08,10.64,10.71,10.48,10.71,36697.0,10.635,238
33,2023-11-09,10.84,10.88,10.52,10.57,40647.0,10.682,305
34,2023-11-10,10.55,10.77,10.53,10.65,66165.0,10.677,374
35,2023-11-13,10.55,10.68,10.45,10.63,33510.0,10.6,217
36,2023-11-14,11.18,11.66,11.1,11.64,129097.0,11.535,805
37,2023-11-15,11.58,11.86,11.55,11.73,107543.0,11.717,783
38,2023-11-16,11.78,11.78,11.42,11.48,39387.0,11.53,305
39,2023-11-17,11.58,12.0,11.56,11.84,306924.0,11.747,1520
40,2023-11-20,11.81,11.81,11.65,11.68,78573.0,11.691,515
41,2023-11-21,11.61,11.63,11.48,11.57,64178.0,11.543,463
42,2023-11-22,11.75,11.84,11.62,11.77,72898.0,11.734,502
43,2023-11-24,11.74,12.02,11.73,11.96,31299.0,11.931,243
44,2023-11-27,11.85,11.97,11.78,11.86,102977.0,11.892,750
45,2023-11-28,11.9,11.93,11.7,11.79,68564.0,11.823,456
46,2023-11-29,12.03,12.2,11.97,12.1,73705.0,12.088,505
47,2023-11-30,12.1,12.38,12.0,12.21,177671.0,12.269,1154
48,2023-12-01,12.09,12.73,11.94,12.65,216651.0,12.444,1476
49,2023-12-04,12.67,12.94,12.66,12.93,147457.0,12.822,1025
50,2023-12-05,12.95,13.0,12.78,12.79,138868.0,12.841,1004
51,2023-12-06,12.93,12.98,12.43,12.55,198155.0,12.667,1420
52,2023-12-07,12.65,12.85,12.54,12.85,182574.0,12.703,1377
53,2023-12-08,12.85,12.97,12.74,12.92,202398.0,12.89,1469
54,2023-12-11,12.89,13.04,12.85,12.96,169257.0,12.983,1042
55,2023-12-12,12.9,13.12,12.77,13.04,154533.0,13.036,939
56,2023-12-13,13.11,13.8,13.0,13.72,272417.0,13.42,2015
57,2023-12-14,14.0,14.61,13.93,14.41,1430701.0,14.277,8643
58,2023-12-15,14.48,15.25,14.35,14.54,1843679.0,14.842,8936
59,2023-12-18,14.69,14.69,14.07,14.16,129515.0,14.258,1008
