,date,open,high,low,close,volume,average,barCount
0,2023-09-25,650.75,656.89,650.37,654.0,3094.0,653.321,14
1,2023-09-26,653.49,653.92,642.7,646.0,3303.0,649.465,25
2,2023-09-27,646.0,648.7,630.05,636.6,3735.0,637.229,28
3,2023-09-28,638.99,648.55,638.99,643.43,3671.0,643.518,30
4,2023-09-29,646.77,646.77,635.25,636.32,1693.0,638.697,14
5,2023-10-02,637.72,643.45,630.02,636.4,2281.0,635.71,19
6,2023-10-03,633.45,636.2,627.75,633.92,4785.0,632.378,38
7,2023-10-04,635.3,648.36,630.0,645.0,2807.0,641.784,25
8,2023-10-05,648.78,648.78,631.25,632.29,5922.0,637.389,45
9,2023-10-06,632.29,645.52,624.14,642.12,5769.0,639.024,51
10,2023-10-09,643.0,643.0,632.0,640.26,6171.0,639.49,53
11,2023-10-10,645.93,666.45,645.93,658.21,12423.0,657.5,94
12,2023-10-11,660.0,670.0,647.08,659.63,13861.0,653.88,109
13,2023-10-12,659.81,659.81,621.48,627.69,15982.0,633.378,118
14,2023-10-13,632.05,632.05,614.22,621.53,11858.0,619.45,97
15,2023-10-16,629.38,636.45,628.22,632.65,6528.0,632.55,42
16,2023-10-17,631.01,639.96,631.01,632.76,5003.0,635.798,43
17,2023-10-18,633.0,639.73,633.0,634.42,4366.0,636.689,34
18,2023-10-19,634.42,635.56,624.93,625.67,2903.0,632.215,19
19,2023-10-20,629.05,632.67,621.18,622.67,4857.0,628.119,30
20,2023-10-23,621.95,630.24,621.95,623.97,3224.0,626.166,29
21,2023-10-24,628.51,650.65,625.77,646.94,8353.0,639.556,46
22,2023-10-25,643.45,650.0,640.0,642.32,2596.0,642.997,23
23,2023-10-26,642.82,650.0,635.24,639.96,4083.0,641.617,36
24,2023-10-27,637.52,643.6,628.4,634.08,5253.0,633.618,33
25,2023-10-30,639.8,645.55,639.37,640.89,2872.0,641.24,25
26,2023-10-31,645.0,645.0,630.54,636.41,4496.0,637.274,35
27,2023-11-01,638.54,643.35,630.0,640.92,4940.0,637.884,44
28,2023-11-02,647.5,652.48,628.0,643.32,18804.0,645.541,129
29,2023-11-03,640.76,656.36,640.76,653.0,10293.0,647.095,78
30,2023-11-06,653.35,664.85,653.35,664.34,4194.0,659.842,36
31,2023-11-07,664.98,684.99,662.31,673.92,19076.0,670.961,137
32,2023-11-08,678.0,679.85,662.32,673.78,5692.0,670.26,51
33,2023-11-09,678.42,682.0,670.92,676.3,35997.0,677.535,80
34,2023-11-10,676.3,682.43,668.46,680.0,7310.0,676.623,65
35,2023-11-13,680.0,682.0,672.47,680.36,11757.0,679.67,62
36,2023-11-14,685.0,700.0,681.98,689.54,15026.0,689.214,103
37,2023-11-15,691.4,694.67,686.75,690.99,10416.0,690.662,71
38,2023-11-16,690.0,696.64,688.5,696.5,18445.0,692.936,147
39,2023-11-17,698.51,710.55,695.97,710.0,18720.0,703.106,139
40,2023-11-20,712.0,718.72,705.5,716.36,11597.0,713.168,69
41,2023-11-21,717.01,733.54,715.42,720.0,30523.0,724.315,161
42,2023-11-22,725.99,735.99,723.79,728.01,9398.0,730.789,37
43,2023-11-24,725.15,734.99,723.99,725.01,4778.0,727.742,36
44,2023-11-27,720.84,725.9,719.0,725.0,7731.0,720.956,51
45,2023-11-28,725.0,726.62,716.8,719.51,13145.0,721.255,84
46,2023-11-29,720.0,726.57,718.0,725.78,18489.0,721.982,147
47,2023-11-30,724.78,735.51,720.55,734.52,18710.0,729.869,135
48,2023-12-01,733.26,734.0,725.0,726.58,24535.0,729.325,127
49,2023-12-04,726.58,747.91,726.58,746.14,15720.0,740.943,120
50,2023-12-05,747.54,759.55,743.01,755.0,10559.0,749.241,75
51,2023-12-06,759.67,786.48,754.9,785.0,16602.0,772.683,123
52,2023-12-07,789.81,815.6,789.81,809.2,22330.0,804.536,165
53,2023-12-08,809.9,821.96,795.6,806.26,13694.0,811.214,108
54,2023-12-11,810.49,831.9,810.49,824.95,8912.0,820.301,70
