,date,open,high,low,close,volume,average,barCount
0,2023-10-06,10.18,10.64,10.16,10.55,4164840.0,10.434,17659
1,2023-10-09,10.48,10.56,10.22,10.47,2269214.0,10.403,9832
2,2023-10-10,10.38,10.58,10.38,10.39,2677477.0,10.446,11360
3,2023-10-11,10.42,10.45,9.73,9.91,7117369.0,9.938,25304
4,2023-10-12,9.82,9.86,9.39,9.43,5164699.0,9.52,18974
5,2023-10-13,9.4,9.71,9.33,9.67,3749913.0,9.606,16516
6,2023-10-16,9.72,9.85,9.66,9.75,2924268.0,9.741,12640
7,2023-10-17,9.61,10.02,9.51,9.95,2874505.0,9.924,12938
8,2023-10-18,9.91,9.97,9.76,9.77,2275344.0,9.832,10818
9,2023-10-19,9.79,9.94,9.58,9.63,3871739.0,9.709,15912
10,2023-10-20,9.64,9.68,9.44,9.49,3474777.0,9.535,13236
11,2023-10-23,9.46,9.59,9.31,9.44,4337030.0,9.492,15455
12,2023-10-24,9.5,9.69,9.42,9.63,3408421.0,9.585,15169
13,2023-10-25,9.64,9.81,9.49,9.67,4484157.0,9.701,21177
14,2023-10-26,9.68,9.75,9.34,9.38,4370431.0,9.432,15606
15,2023-10-27,9.41,9.46,9.09,9.14,3750093.0,9.209,15883
16,2023-10-30,9.26,9.35,9.11,9.23,5426642.0,9.207,20319
17,2023-10-31,9.26,9.44,9.21,9.37,2493850.0,9.347,12097
18,2023-11-01,9.15,9.34,9.01,9.32,5084619.0,9.226,17489
19,2023-11-02,9.59,9.68,9.46,9.63,3690548.0,9.582,16797
20,2023-11-03,9.81,9.94,9.71,9.81,3650813.0,9.808,17318
21,2023-11-06,9.82,9.91,9.69,9.85,4000412.0,9.836,18389
22,2023-11-07,9.81,10.0,9.74,9.91,3257775.0,9.901,16338
23,2023-11-08,9.66,10.39,9.41,10.03,4726915.0,10.065,22451
24,2023-11-09,10.03,10.06,9.62,9.77,5032995.0,9.846,19298
25,2023-11-10,9.78,9.84,9.66,9.79,1516391.0,9.76,6602
26,2023-11-13,9.72,9.95,9.7,9.87,1712634.0,9.852,8828
27,2023-11-14,10.15,10.85,10.14,10.81,6694415.0,10.682,30301
28,2023-11-15,10.8,11.0,10.72,10.83,3337175.0,10.831,14622
29,2023-11-16,10.64,10.95,10.61,10.82,3651071.0,10.837,14543
30,2023-11-17,10.94,11.16,10.83,11.06,3389690.0,11.071,15190
31,2023-11-20,11.06,11.07,10.85,10.93,3502860.0,10.952,14560
