,date,open,high,low,close,volume,average,barCount
0,2023-10-06,51.35,51.72,51.33,51.57,1270184.0,51.509,6060
1,2023-10-09,51.43,51.61,51.36,51.49,625416.0,51.485,3942
2,2023-10-10,51.66,51.68,51.04,51.15,1090809.0,51.344,6284
3,2023-10-11,51.22,52.19,51.06,52.02,4170577.0,51.859,15095
4,2023-10-12,52.0,52.0,51.18,51.18,1319309.0,51.516,8391
5,2023-10-13,51.5,51.61,51.28,51.6,876849.0,51.461,5720
6,2023-10-16,51.76,51.8,51.38,51.63,581009.0,51.585,3708
7,2023-10-17,51.56,52.06,51.51,51.9,1282082.0,51.855,8263
8,2023-10-18,51.9,51.99,51.23,51.45,980776.0,51.508,4332
9,2023-10-19,51.31,51.46,50.99,51.24,796244.0,51.185,5028
10,2023-10-20,51.13,51.35,51.0,51.06,599468.0,51.128,3902
11,2023-10-23,51.0,51.45,50.77,51.08,651464.0,51.168,4112
12,2023-10-24,51.19,51.28,50.87,51.15,987468.0,51.141,5477
13,2023-10-25,51.5,51.73,51.15,51.25,1374666.0,51.352,6012
14,2023-10-26,51.2,51.38,50.95,50.96,782950.0,51.135,4494
15,2023-10-27,51.22,51.25,50.84,50.93,620756.0,50.981,3869
16,2023-10-30,50.94,51.46,50.94,51.14,406477.0,51.226,2739
17,2023-10-31,51.11,51.26,51.03,51.18,570008.0,51.154,3006
18,2023-11-01,51.1,51.2,50.63,50.63,1085543.0,50.862,6630
19,2023-11-02,50.83,50.96,50.71,50.75,657654.0,50.794,3505
20,2023-11-03,50.89,51.16,50.76,51.05,1002594.0,51.007,5501
21,2023-11-06,51.09,51.18,50.56,50.66,753865.0,50.784,3812
22,2023-11-07,48.86,49.23,48.47,48.82,3073515.0,48.72,15610
23,2023-11-08,48.95,49.0,48.2,48.21,1955507.0,48.496,10815
24,2023-11-09,48.5,48.75,48.14,48.19,1295638.0,48.506,6847
25,2023-11-10,46.7,47.9,46.59,47.11,2314022.0,47.176,12183
26,2023-11-13,47.0,47.17,46.8,46.88,1110728.0,46.919,6866
27,2023-11-14,47.49,47.73,46.96,47.51,1271291.0,47.463,7992
28,2023-11-15,47.79,48.4,47.63,48.16,904682.0,48.191,5798
29,2023-11-16,48.2,48.27,47.93,48.0,926019.0,48.121,5573
30,2023-11-17,48.32,48.45,48.1,48.36,844273.0,48.338,5094
31,2023-11-20,48.42,48.42,48.11,48.21,476209.0,48.208,2712
32,2023-11-21,48.3,48.94,48.25,48.84,966814.0,48.807,5846
33,2023-11-22,48.75,49.33,48.61,48.91,526486.0,49.091,3521
34,2023-11-24,48.99,49.38,48.92,49.25,209166.0,49.212,1412
35,2023-11-27,49.22,49.4,48.9,49.15,433735.0,49.124,2569
36,2023-11-28,49.29,49.56,49.1,49.16,521204.0,49.32,3187
37,2023-11-29,49.31,49.44,48.87,48.92,802971.0,49.144,4394
38,2023-11-30,48.9,49.05,48.31,48.44,1311235.0,48.665,5331
39,2023-12-01,48.45,48.91,48.22,48.42,653656.0,48.523,3837
40,2023-12-04,48.5,48.97,48.46,48.73,681023.0,48.663,3420
41,2023-12-05,48.6,48.71,48.32,48.49,404970.0,48.54,2408
42,2023-12-06,48.69,48.75,47.93,47.97,399054.0,48.165,2445
43,2023-12-07,48.0,48.31,47.95,48.21,237424.0,48.18,1527
44,2023-12-08,48.18,48.61,48.1,48.44,182045.0,48.358,1295
45,2023-12-11,48.62,48.7,48.43,48.54,304704.0,48.588,1821
46,2023-12-12,49.2,49.53,49.1,49.38,1029734.0,49.355,5670
47,2023-12-13,49.0,49.47,48.9,49.37,708845.0,49.198,3750
48,2023-12-14,49.71,49.88,49.56,49.57,988684.0,49.727,4725
49,2023-12-15,49.57,49.77,49.28,49.28,666599.0,49.442,3571
50,2023-12-18,49.5,49.52,49.26,49.28,388168.0,49.361,2239
51,2023-12-19,49.4,49.8,49.4,49.68,466129.0,49.63,2646
52,2023-12-20,49.57,50.29,49.53,49.65,579807.0,49.893,3489
53,2023-12-21,49.76,50.19,49.65,49.93,273292.0,49.928,1668
54,2023-12-22,49.73,50.13,49.6,50.08,282036.0,49.946,1558
55,2023-12-26,50.15,50.38,50.13,50.34,311755.0,50.257,1810
56,2023-12-27,50.35,50.52,50.25,50.42,310661.0,50.375,1877
57,2023-12-28,50.39,50.47,50.27,50.44,392239.0,50.378,2289
58,2023-12-29,50.48,50.58,50.11,50.24,504845.0,50.274,2890
59,2024-01-02,50.07,50.55,50.01,50.31,540672.0,50.224,3047
60,2024-01-03,50.17,50.34,50.05,50.15,309420.0,50.169,2148
61,2024-01-04,50.05,50.38,49.91,50.24,434247.0,50.176,2390
62,2024-01-05,50.2,50.73,50.19,50.69,631824.0,50.445,3448
63,2024-01-08,50.55,50.77,50.38,50.49,347282.0,50.605,1960
64,2024-01-09,50.49,50.53,50.22,50.39,581579.0,50.328,2871
65,2024-01-10,51.0,51.16,50.45,51.03,1271250.0,50.869,6465
66,2024-01-11,51.25,51.25,50.58,50.96,768387.0,50.85,3403
67,2024-01-12,51.11,51.11,50.54,50.66,792982.0,50.747,4105
68,2024-01-16,50.5,50.84,50.1,50.73,399448.0,50.497,2228
69,2024-01-17,50.52,50.78,50.38,50.64,515325.0,50.603,3177
70,2024-01-18,50.79,50.79,50.39,50.5,458181.0,50.521,2345
71,2024-01-19,50.51,50.62,50.13,50.22,709814.0,50.295,3463
72,2024-01-22,50.5,50.51,49.87,50.05,610216.0,50.045,3201
73,2024-01-23,50.2,50.27,49.44,49.49,1318763.0,49.721,5181
74,2024-01-24,49.49,49.66,48.9,48.99,1635172.0,49.21,7532
75,2024-01-25,49.0,49.21,48.5,48.52,1001016.0,48.775,4233
76,2024-01-26,48.75,48.86,48.45,48.71,522861.0,48.651,3278
77,2024-01-29,48.7,49.43,48.54,49.42,720740.0,49.022,3848
78,2024-01-30,49.28,49.36,49.08,49.25,304385.0,49.216,1900
79,2024-01-31,49.2,49.2,48.73,48.74,589144.0,48.889,3460
80,2024-02-01,48.92,49.05,46.34,47.45,3169524.0,47.444,15135
81,2024-02-02,47.6,47.7,47.05,47.57,971233.0,47.396,4061
82,2024-02-05,47.32,47.4,46.71,47.0,964415.0,47.029,5389
83,2024-02-06,47.0,47.01,46.4,46.58,967227.0,46.716,6119
84,2024-02-07,46.91,47.07,46.0,46.22,1632145.0,46.603,8254
85,2024-02-08,47.11,47.8,46.98,47.54,1441996.0,47.476,7797
86,2024-02-09,46.64,46.9,45.85,46.83,1465792.0,46.424,7649
87,2024-02-12,46.81,47.61,46.63,47.5,740951.0,47.133,4418
88,2024-02-13,46.8,47.36,46.74,47.04,711689.0,47.046,4387
89,2024-02-14,47.21,47.44,47.07,47.42,121027.0,47.304,679
