,date,open,high,low,close,volume,average,barCount
0,2023-09-25,55.25,56.68,55.0,56.63,245754.0,56.216,1812
1,2023-09-26,56.06,56.51,55.54,56.3,211405.0,56.053,1518
2,2023-09-27,57.48,58.44,57.12,57.74,238693.0,57.757,1785
3,2023-09-28,57.42,58.19,57.18,57.83,296960.0,57.636,2067
4,2023-09-29,57.8,57.8,55.71,56.01,619437.0,56.201,3332
5,2023-10-02,56.16,56.31,53.81,54.4,444067.0,54.449,3056
6,2023-10-03,54.34,54.92,54.01,54.62,215915.0,54.539,1564
7,2023-10-04,53.81,53.84,52.3,52.69,441906.0,52.831,3201
8,2023-10-05,52.23,53.61,52.15,52.5,409491.0,52.606,2797
9,2023-10-06,52.8,54.44,52.8,53.8,265655.0,53.855,2042
10,2023-10-09,55.16,55.63,54.55,55.11,305911.0,55.155,2283
11,2023-10-10,55.01,55.37,54.8,54.82,234649.0,55.078,1924
12,2023-10-11,54.14,54.98,53.58,54.91,211954.0,54.494,1766
13,2023-10-12,55.32,55.54,54.1,54.47,256318.0,54.513,1612
14,2023-10-13,55.77,55.85,54.62,54.63,190976.0,55.157,1126
15,2023-10-16,55.06,55.55,54.34,55.4,268831.0,55.275,1892
16,2023-10-17,55.37,56.51,55.37,55.58,294475.0,55.853,1962
17,2023-10-18,55.93,55.98,54.63,55.04,808922.0,55.179,1864
18,2023-10-19,54.47,55.98,54.03,55.21,393036.0,55.292,1706
19,2023-10-20,55.18,55.24,54.03,54.26,148249.0,54.555,942
20,2023-10-23,53.48,54.02,53.17,53.48,197206.0,53.599,1423
21,2023-10-24,53.99,53.99,52.93,53.01,105883.0,53.243,887
22,2023-10-25,52.85,53.28,52.62,53.02,102913.0,52.963,777
23,2023-10-26,52.53,53.31,51.6,52.99,152681.0,52.653,1219
24,2023-10-27,52.97,52.97,51.66,52.04,248744.0,52.071,1775
25,2023-10-30,52.42,52.93,51.55,52.35,329394.0,51.975,2185
26,2023-10-31,52.52,53.03,51.85,52.59,184095.0,52.674,1228
27,2023-11-01,52.72,53.25,51.92,52.29,225738.0,52.427,1733
28,2023-11-02,52.46,53.13,51.26,52.5,558968.0,52.362,2924
29,2023-11-03,52.5,52.84,51.32,51.85,444864.0,51.847,3170
30,2023-11-06,51.78,51.99,50.71,50.73,266673.0,51.068,1823
31,2023-11-07,49.96,50.39,49.01,50.01,269591.0,49.611,2043
32,2023-11-08,49.92,50.66,49.71,50.12,295967.0,50.098,2028
33,2023-11-09,50.48,51.19,50.29,50.68,256642.0,50.674,1841
34,2023-11-10,51.14,51.51,50.31,50.32,356587.0,50.733,2069
35,2023-11-13,50.46,50.65,50.1,50.38,194260.0,50.419,1445
36,2023-11-14,51.02,52.04,50.79,52.04,208965.0,51.81,1605
37,2023-11-15,51.7,52.84,51.7,51.78,197934.0,52.068,1309
38,2023-11-16,51.46,51.55,50.35,51.28,195330.0,51.053,1486
39,2023-11-17,51.78,52.69,51.68,52.41,245105.0,52.266,1435
40,2023-11-20,52.63,52.85,51.71,51.88,184147.0,52.091,1351
41,2023-11-21,51.76,52.17,51.2,51.6,90770.0,51.69,687
42,2023-11-22,50.48,51.7,49.79,51.16,178153.0,51.218,1106
43,2023-11-24,50.98,52.43,50.98,51.74,77321.0,51.918,543
44,2023-11-27,51.27,51.55,50.83,51.49,181601.0,51.206,1053
45,2023-11-28,51.67,52.1,51.36,51.51,85919.0,51.654,659
46,2023-11-29,51.83,51.89,50.8,51.48,198228.0,51.315,1476
47,2023-11-30,51.57,52.35,50.99,51.21,265269.0,51.525,1859
48,2023-12-01,51.19,52.3,51.19,51.72,222271.0,51.836,1413
49,2023-12-04,51.24,51.6,50.83,51.33,242815.0,51.103,1908
50,2023-12-05,51.43,51.43,50.5,50.57,166776.0,50.705,1260
51,2023-12-06,50.25,50.63,49.16,49.19,244200.0,49.551,1704
52,2023-12-07,49.34,49.65,48.67,49.12,1124212.0,48.809,2485
53,2023-12-08,49.62,50.63,49.47,50.19,306914.0,50.14,2164
54,2023-12-11,49.79,50.69,49.46,50.45,256259.0,50.354,1954
55,2023-12-12,49.88,49.88,48.75,49.04,490153.0,49.184,3582
56,2023-12-13,49.3,50.11,48.59,50.08,500517.0,49.378,3087
57,2023-12-14,50.93,51.56,50.64,51.5,407658.0,51.244,3041
58,2023-12-15,51.48,52.06,51.38,51.97,681763.0,51.722,3977
59,2023-12-18,52.78,53.25,52.31,52.97,312949.0,52.86,2428
60,2023-12-19,53.0,54.75,52.8,54.74,333638.0,54.06,2224
61,2023-12-20,55.02,56.07,53.83,54.07,440182.0,55.166,3352
62,2023-12-21,54.28,54.81,53.74,54.73,185904.0,54.403,1470
63,2023-12-22,54.95,55.12,53.89,54.3,220963.0,54.346,1741
64,2023-12-26,54.75,55.88,54.43,55.63,226122.0,55.308,1833
65,2023-12-27,55.55,56.05,55.4,55.87,181637.0,55.768,1354
66,2023-12-28,55.69,55.92,54.9,54.94,170046.0,55.193,1326
67,2023-12-29,54.93,54.98,54.41,54.68,103306.0,54.699,820
68,2024-01-02,54.84,55.61,53.77,54.0,316285.0,54.69,2210
69,2024-01-03,53.6,54.62,53.0,53.97,245844.0,54.019,1910
70,2024-01-04,54.63,54.63,52.08,52.09,290147.0,52.746,2193
71,2024-01-05,51.4,51.7,50.83,51.57,374770.0,51.396,2700
72,2024-01-08,50.74,52.24,50.19,52.05,326114.0,51.379,1931
73,2024-01-09,51.93,51.93,50.62,51.67,396546.0,51.401,2368
74,2024-01-10,51.7,51.96,50.78,51.09,153324.0,51.152,1203
75,2024-01-11,51.17,51.47,50.69,51.26,168017.0,51.167,1265
76,2024-01-12,52.41,52.67,51.38,51.68,160658.0,51.744,1135
77,2024-01-16,51.53,51.99,50.05,50.31,203351.0,50.723,1484
78,2024-01-17,49.6,50.52,49.6,50.11,148281.0,50.152,1098
79,2024-01-18,50.27,50.55,49.63,50.44,197295.0,50.158,1500
80,2024-01-19,50.42,50.67,49.8,50.56,170512.0,50.322,1251
81,2024-01-22,50.54,50.76,50.08,50.54,286595.0,50.474,2377
82,2024-01-23,50.48,50.96,50.11,50.25,181113.0,50.539,1278
83,2024-01-24,50.79,51.15,50.4,51.09,158142.0,50.849,1200
84,2024-01-25,51.68,51.68,50.97,51.53,524316.0,51.213,2485
85,2024-01-26,51.66,51.75,50.44,50.87,164699.0,50.95,1354
86,2024-01-29,50.85,51.16,50.23,51.03,288153.0,50.725,1978
87,2024-01-30,50.39,51.02,50.34,50.69,451830.0,50.79,3414
88,2024-01-31,50.7,50.7,47.65,47.68,512641.0,48.765,3389
89,2024-02-01,48.05,48.54,47.03,47.54,402663.0,47.651,2829
