,date,open,high,low,close,volume,average,barCount
0,2023-10-06,55.58,57.4,55.51,56.58,2325082.0,56.499,15276
1,2023-10-09,56.14,57.16,55.95,56.83,1967364.0,56.494,13423
2,2023-10-10,57.57,58.62,57.42,57.5,2323504.0,57.875,14928
3,2023-10-11,58.13,59.23,57.55,59.22,2817820.0,58.528,16615
4,2023-10-12,59.38,59.42,57.63,58.12,2549999.0,58.655,14967
5,2023-10-13,58.3,58.52,57.49,57.53,1987563.0,57.777,11807
6,2023-10-16,57.88,58.75,57.85,58.59,1953205.0,58.42,11563
7,2023-10-17,57.63,58.71,57.49,57.99,1975513.0,58.169,12328
8,2023-10-18,57.0,57.07,55.16,55.52,2452691.0,55.716,14347
9,2023-10-19,55.19,55.58,53.8,54.57,4300641.0,54.564,21548
10,2023-10-20,54.63,55.56,54.28,54.99,1598424.0,54.919,9915
11,2023-10-23,54.17,55.29,54.17,54.81,1562113.0,54.85,9978
12,2023-10-24,54.73,55.11,54.35,54.44,1630012.0,54.692,10406
13,2023-10-25,53.89,54.34,53.48,53.5,1661834.0,53.848,11021
14,2023-10-26,53.49,54.19,52.16,52.29,3727898.0,52.905,21297
15,2023-10-27,52.32,52.84,51.59,52.35,1949797.0,52.324,12158
16,2023-10-30,53.17,53.86,53.05,53.49,1492167.0,53.495,9451
17,2023-10-31,53.67,53.99,53.42,53.57,1778696.0,53.723,10964
18,2023-11-01,54.09,56.77,54.02,56.73,3249149.0,55.68,20070
19,2023-11-02,57.43,57.66,56.39,56.76,2257459.0,56.9,14855
20,2023-11-03,57.45,57.72,56.86,56.88,1750314.0,57.269,9475
21,2023-11-06,57.02,58.22,56.88,57.69,1683128.0,57.709,10960
22,2023-11-07,57.91,58.29,57.45,58.12,1800927.0,57.911,11049
23,2023-11-08,58.0,59.34,58.0,58.92,2021582.0,58.874,12406
24,2023-11-09,59.32,59.86,58.12,58.39,2553622.0,59.108,16987
25,2023-11-10,58.84,59.87,58.54,59.86,2002260.0,59.277,11261
26,2023-11-13,59.38,60.29,59.32,59.71,2148934.0,59.746,14865
27,2023-11-14,60.82,61.47,60.06,60.13,4351905.0,60.81,24828
28,2023-11-15,60.66,60.69,58.97,59.11,3548711.0,59.493,20404
29,2023-11-16,59.8,60.13,58.95,59.19,2959511.0,59.374,15958
30,2023-11-17,59.3,60.47,59.3,60.21,2068769.0,60.057,12952
31,2023-11-20,59.75,59.79,58.57,58.74,3702425.0,59.17,22285
32,2023-11-21,60.19,61.36,59.98,61.13,6076091.0,60.979,27106
33,2023-11-22,60.9,61.68,60.83,61.23,4074922.0,61.327,21503
34,2023-11-24,61.52,62.11,61.45,61.76,2015277.0,61.863,9038
35,2023-11-27,61.68,62.35,61.64,61.97,3752454.0,62.078,15352
36,2023-11-28,62.07,62.24,61.5,61.67,3747235.0,61.957,16053
37,2023-11-29,61.84,62.91,61.84,62.52,2202708.0,62.504,12179
38,2023-11-30,62.6,63.55,62.45,62.75,2984159.0,62.948,16261
39,2023-12-01,62.89,64.83,62.86,64.49,3846190.0,64.215,21395
40,2023-12-04,63.86,64.25,62.96,62.96,2642417.0,63.461,15193
41,2023-12-05,63.28,63.79,62.9,63.09,1803134.0,63.352,11025
42,2023-12-06,63.76,64.15,62.89,62.95,2030389.0,63.6,12453
43,2023-12-07,63.05,63.99,62.8,63.99,2063275.0,63.519,12612
44,2023-12-08,63.72,65.15,63.72,64.95,2303735.0,64.703,14999
45,2023-12-11,65.25,65.81,65.13,65.34,2953394.0,65.493,18406
46,2023-12-12,65.4,65.82,65.06,65.63,1843463.0,65.487,11540
47,2023-12-13,65.96,67.22,65.69,67.14,1889784.0,66.365,11968
48,2023-12-14,67.24,68.27,67.07,67.24,2597273.0,67.49,16714
49,2023-12-15,67.5,67.7,66.79,66.9,2532988.0,67.202,16778
50,2023-12-18,66.99,67.13,65.9,66.77,2303087.0,66.605,13623
51,2023-12-19,67.66,68.31,67.32,68.27,3043346.0,67.792,17037
52,2023-12-20,67.96,68.3,67.06,67.08,2462358.0,67.94,14703
53,2023-12-21,68.23,68.37,67.7,68.29,2143452.0,68.047,13464
54,2023-12-22,68.54,68.77,68.0,68.27,1782358.0,68.225,11381
55,2023-12-26,68.25,68.96,68.21,68.86,920113.0,68.703,6874
56,2023-12-27,68.53,69.16,68.48,69.03,1116198.0,68.861,8371
57,2023-12-28,68.97,69.3,68.71,68.92,1329147.0,68.978,9793
58,2023-12-29,68.91,69.47,68.91,69.16,1094072.0,69.239,8059
59,2024-01-02,68.2,68.89,67.94,68.28,2254158.0,68.237,13581
60,2024-01-03,66.77,66.85,65.91,66.34,3166981.0,66.345,18898
61,2024-01-04,66.39,66.9,65.84,66.19,2767420.0,66.438,15047
62,2024-01-05,65.78,67.28,65.74,66.87,2050510.0,66.926,13356
63,2024-01-08,67.64,68.94,67.28,68.9,2118691.0,68.228,14282
64,2024-01-09,67.83,69.23,67.83,69.09,3063981.0,68.698,18811
65,2024-01-10,68.89,69.33,68.81,69.32,3392551.0,69.119,17704
66,2024-01-11,69.18,69.59,68.49,68.72,3184740.0,68.892,16999
67,2024-01-12,69.24,69.25,68.54,68.67,1712286.0,68.843,11271
68,2024-01-16,67.69,68.28,66.96,67.29,2330753.0,67.592,14681
69,2024-01-17,66.42,68.25,66.41,68.04,2483720.0,67.67,16084
70,2024-01-18,68.5,69.55,68.15,69.28,2055109.0,68.888,13704
71,2024-01-19,69.5,69.87,68.55,69.86,2485617.0,69.266,15071
