,date,open,high,low,close,volume,average,barCount
0,2023-10-06,200.48,208.27,199.89,207.36,2613138.0,205.964,18487
1,2023-10-09,204.89,208.28,204.69,207.22,1518899.0,206.581,10118
2,2023-10-10,207.64,209.22,206.26,206.88,2199738.0,207.742,16182
3,2023-10-11,207.23,209.2,204.41,206.85,2083577.0,206.337,15218
4,2023-10-12,207.83,208.58,203.27,205.68,1651811.0,206.281,12305
5,2023-10-13,205.11,207.14,203.21,204.59,1772687.0,205.043,12028
6,2023-10-16,205.71,209.49,205.04,208.53,1580820.0,208.409,11062
7,2023-10-17,206.49,211.94,206.0,209.84,2211750.0,209.984,16228
8,2023-10-18,208.88,209.63,204.19,204.83,1893287.0,205.749,12814
9,2023-10-19,206.45,210.95,205.53,208.32,2785269.0,208.774,19354
10,2023-10-20,207.36,208.11,202.12,203.73,2901710.0,204.719,19342
11,2023-10-23,199.9,203.57,197.85,202.0,2738539.0,201.257,18117
12,2023-10-24,203.73,204.64,200.92,204.22,2331445.0,203.179,14613
13,2023-10-25,203.2,203.74,195.43,197.06,2545765.0,198.044,17752
14,2023-10-26,197.42,199.66,193.68,196.25,3032311.0,196.341,21579
15,2023-10-27,197.3,198.31,195.41,196.57,1677416.0,196.67,11759
16,2023-10-30,199.0,200.58,197.08,199.27,1894406.0,199.103,13148
17,2023-10-31,200.42,201.91,198.66,200.83,1663646.0,200.796,11126
18,2023-11-01,200.92,204.49,200.49,203.91,1653672.0,202.972,11997
19,2023-11-02,206.31,208.26,205.95,208.11,2445638.0,207.39,16630
20,2023-11-03,209.39,210.18,207.2,207.47,1992458.0,208.396,13455
21,2023-11-06,208.21,208.48,204.69,207.42,1928669.0,206.335,13412
22,2023-11-07,209.25,213.34,208.95,211.84,3368065.0,211.806,19560
23,2023-11-08,212.42,212.52,209.65,211.47,1746795.0,211.286,11595
24,2023-11-09,213.57,213.58,209.07,210.01,2625857.0,210.67,15229
25,2023-11-10,209.4,214.27,208.84,213.63,1938929.0,212.49,13512
26,2023-11-13,212.57,216.14,211.76,215.28,1681009.0,214.707,9880
27,2023-11-14,219.0,221.25,217.95,221.18,2607349.0,220.071,16651
28,2023-11-15,220.75,221.37,217.66,219.42,2528113.0,219.447,15411
29,2023-11-16,220.0,222.77,218.94,221.45,1866336.0,220.908,12387
30,2023-11-17,221.17,222.79,220.38,221.22,1843806.0,221.353,12390
31,2023-11-20,221.43,226.1,220.62,225.13,2308735.0,224.283,14854
32,2023-11-21,224.0,225.97,223.54,224.32,1825158.0,224.604,12273
33,2023-11-22,224.3,225.69,223.21,223.84,2102730.0,224.325,15008
34,2023-11-24,224.36,224.49,222.12,224.38,1118675.0,223.954,6066
35,2023-11-27,225.5,226.22,224.25,224.79,2533479.0,225.211,18447
36,2023-11-28,223.61,225.53,222.23,224.92,2991458.0,224.371,20527
37,2023-11-29,228.61,231.5,227.26,230.35,6180690.0,230.115,40535
