,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.45,14.72,14.18,14.62,130018.0,14.604,915
1,2023-09-26,14.47,14.5,14.27,14.31,139323.0,14.353,1015
2,2023-09-27,14.42,14.62,14.23,14.37,92232.0,14.407,706
3,2023-09-28,14.37,14.6,14.28,14.47,100327.0,14.475,752
4,2023-09-29,14.59,14.74,14.46,14.53,133696.0,14.554,966
5,2023-10-02,14.5,14.64,14.15,14.28,133862.0,14.275,991
6,2023-10-03,14.16,14.28,14.0,14.09,115721.0,14.105,863
7,2023-10-04,14.09,14.36,14.04,14.29,112080.0,14.206,855
8,2023-10-05,14.29,14.4,14.09,14.15,161089.0,14.177,995
9,2023-10-06,14.06,14.32,13.98,14.23,125624.0,14.221,877
10,2023-10-09,14.1,14.17,13.88,14.02,207424.0,14.032,1476
11,2023-10-10,14.07,14.39,13.95,13.99,266275.0,14.108,1928
12,2023-10-11,14.0,14.23,13.92,13.94,131347.0,14.024,1029
13,2023-10-12,13.9,14.08,13.57,13.73,206406.0,13.804,1618
14,2023-10-13,13.72,13.9,13.41,13.53,176606.0,13.531,1295
15,2023-10-16,13.55,13.61,13.28,13.47,169632.0,13.391,1217
16,2023-10-17,13.32,13.77,13.2,13.6,179456.0,13.562,1275
17,2023-10-18,13.48,13.51,13.31,13.33,171532.0,13.404,992
18,2023-10-19,13.29,13.39,13.02,13.08,125436.0,13.175,970
19,2023-10-20,13.05,13.2,12.95,12.98,180650.0,13.031,1404
20,2023-10-23,12.95,12.98,12.64,12.65,168487.0,12.81,1144
21,2023-10-24,12.86,13.43,12.85,13.37,588585.0,13.342,2269
22,2023-10-25,13.22,13.42,13.09,13.11,147343.0,13.223,1079
23,2023-10-26,13.09,13.16,12.76,12.83,126897.0,12.914,996
24,2023-10-27,12.88,13.02,12.67,12.71,143348.0,12.804,1050
25,2023-10-30,12.78,12.95,12.62,12.72,132212.0,12.714,996
26,2023-10-31,12.67,12.86,12.62,12.79,269127.0,12.78,1422
27,2023-11-01,12.74,12.74,12.33,12.55,339317.0,12.49,2022
28,2023-11-02,12.64,12.85,12.41,12.5,561331.0,12.525,3237
29,2023-11-03,12.6,13.29,12.6,13.1,299729.0,13.129,2012
30,2023-11-06,13.07,13.16,12.8,12.95,267703.0,12.969,1893
31,2023-11-07,12.94,13.1,12.74,12.74,337749.0,12.958,2071
32,2023-11-08,12.37,12.37,11.45,12.1,993472.0,11.949,6190
33,2023-11-09,12.2,12.42,12.05,12.12,521081.0,12.198,2240
34,2023-11-10,12.23,12.44,12.05,12.29,246073.0,12.24,1495
35,2023-11-13,12.17,12.29,12.03,12.22,262097.0,12.212,1738
36,2023-11-14,12.48,13.12,12.48,13.12,372975.0,12.939,2363
37,2023-11-15,13.18,13.41,13.01,13.13,253501.0,13.208,1760
38,2023-11-16,13.04,13.08,12.7,12.97,157704.0,12.889,1175
39,2023-11-17,12.97,13.09,12.83,13.07,201629.0,12.988,1277
40,2023-11-20,13.08,13.3,13.08,13.13,191917.0,13.183,1332
41,2023-11-21,12.99,12.99,12.45,12.51,446674.0,12.557,2727
42,2023-11-22,12.57,12.86,12.54,12.55,169195.0,12.656,1051
43,2023-11-24,12.49,12.74,12.39,12.74,76103.0,12.614,522
44,2023-11-27,12.65,12.78,12.5,12.7,142861.0,12.673,944
45,2023-11-28,12.65,12.78,12.51,12.52,283714.0,12.594,1770
46,2023-11-29,12.59,12.97,12.57,12.62,177331.0,12.664,1151
47,2023-11-30,12.63,12.92,12.53,12.91,183383.0,12.756,1258
48,2023-12-01,12.8,13.14,12.65,13.1,243667.0,12.959,1456
49,2023-12-04,12.95,13.18,12.86,13.08,183665.0,13.071,1318
50,2023-12-05,13.0,13.05,12.77,12.91,159790.0,12.925,1071
51,2023-12-06,12.98,13.2,12.84,12.85,165537.0,13.008,1113
52,2023-12-07,12.8,13.29,12.78,13.28,202508.0,13.105,1308
53,2023-12-08,13.36,13.92,13.31,13.73,414415.0,13.749,2577
54,2023-12-11,13.7,13.96,13.59,13.95,297954.0,13.854,1808
55,2023-12-12,13.98,14.31,13.89,14.11,373909.0,14.153,2177
56,2023-12-13,14.06,14.4,13.65,14.34,255341.0,14.094,1793
57,2023-12-14,14.53,14.87,14.51,14.8,281508.0,14.714,2024
58,2023-12-15,14.87,15.07,14.61,14.63,433982.0,14.823,2100
59,2023-12-18,14.66,14.86,14.39,14.8,301975.0,14.606,1945
60,2023-12-19,14.88,14.99,14.63,14.79,213722.0,14.771,1494
61,2023-12-20,14.72,14.8,14.24,14.24,160905.0,14.5,1077
62,2023-12-21,14.41,14.56,14.16,14.55,206885.0,14.393,1276
63,2023-12-22,14.55,14.71,14.28,14.37,201849.0,14.463,1160
64,2023-12-26,14.43,14.66,14.35,14.52,170165.0,14.532,1001
65,2023-12-27,14.52,14.59,14.3,14.34,181898.0,14.39,1204
66,2023-12-28,14.3,14.38,14.17,14.38,255771.0,14.283,1822
67,2023-12-29,14.34,14.45,14.07,14.1,174816.0,14.211,1064
68,2024-01-02,14.02,14.04,13.67,13.84,254355.0,13.847,1658
69,2024-01-03,13.7,13.7,13.45,13.48,176456.0,13.569,1211
70,2024-01-04,13.46,13.61,13.22,13.57,153614.0,13.505,1055
71,2024-01-05,13.45,13.74,13.45,13.59,131609.0,13.599,1004
72,2024-01-08,13.61,14.01,13.55,13.98,171634.0,13.905,903
73,2024-01-09,13.78,13.82,13.39,13.42,132464.0,13.545,897
74,2024-01-10,13.46,13.83,13.45,13.79,210819.0,13.713,1438
75,2024-01-11,13.77,13.81,13.48,13.77,237307.0,13.707,1613
76,2024-01-12,13.94,13.94,13.49,13.56,123659.0,13.615,936
77,2024-01-16,13.39,13.48,13.2,13.29,176889.0,13.325,1225
78,2024-01-17,13.06,13.11,12.79,12.97,256508.0,12.945,1724
79,2024-01-18,13.15,13.26,12.97,13.24,125589.0,13.122,895
80,2024-01-19,13.3,13.51,13.12,13.51,152578.0,13.358,1083
81,2024-01-22,13.59,13.98,13.52,13.76,166680.0,13.738,1125
82,2024-01-23,13.85,14.1,13.7,13.72,163535.0,13.837,1175
83,2024-01-24,13.87,13.88,13.55,13.55,159085.0,13.666,1042
84,2024-01-25,13.73,13.8,13.55,13.62,104271.0,13.641,706
85,2024-01-26,13.67,13.83,13.45,13.46,138791.0,13.611,920
86,2024-01-29,13.4,13.44,13.27,13.41,160158.0,13.363,985
87,2024-01-30,13.31,13.39,13.07,13.07,137244.0,13.202,829
88,2024-01-31,13.03,13.14,12.72,12.73,183195.0,12.914,1241
89,2024-02-01,12.79,12.95,12.61,12.85,152765.0,12.793,1181
