,date,open,high,low,close,volume,average,barCount
0,2023-09-25,51.23,51.6,50.99,51.26,72394.0,51.32,545
1,2023-09-26,51.14,51.26,50.01,50.96,116466.0,50.864,829
2,2023-09-27,51.0,52.52,50.92,51.34,63781.0,51.37,569
3,2023-09-28,51.54,53.48,51.04,51.42,89123.0,51.53,751
4,2023-09-29,51.59,51.95,51.01,51.12,57982.0,51.252,469
5,2023-10-02,50.83,52.55,50.67,52.25,109976.0,51.906,1014
6,2023-10-03,52.2,52.3,50.98,51.25,59565.0,51.417,504
7,2023-10-04,51.36,52.55,50.82,51.38,38327.0,51.303,331
8,2023-10-05,51.56,52.81,50.66,50.7,66782.0,50.99,578
9,2023-10-06,50.53,51.83,50.44,51.45,88590.0,51.369,724
10,2023-10-09,51.1,52.56,50.67,52.37,339240.0,52.071,3026
11,2023-10-10,52.6,53.32,52.21,52.79,343688.0,52.817,3072
12,2023-10-11,52.99,53.27,51.56,52.77,314624.0,52.792,2853
13,2023-10-12,52.7,52.85,50.87,51.38,370645.0,51.295,3170
14,2023-10-13,51.34,51.79,50.01,50.98,349317.0,50.657,3051
15,2023-10-16,51.42,52.69,51.05,51.59,46820.0,51.445,424
16,2023-10-17,51.5,52.69,51.36,52.16,51003.0,52.17,452
17,2023-10-18,52.06,52.49,51.79,52.11,43566.0,52.159,394
18,2023-10-19,52.05,52.3,50.47,51.26,91553.0,51.604,763
19,2023-10-20,51.36,51.55,51.07,51.12,96959.0,51.242,349
20,2023-10-23,50.83,50.9,49.53,49.53,70033.0,50.083,640
21,2023-10-24,49.82,50.46,48.96,49.78,192554.0,49.301,725
22,2023-10-25,49.46,50.1,48.6,48.8,118170.0,48.949,932
23,2023-10-26,49.04,49.33,48.15,48.36,61405.0,48.588,549
24,2023-10-27,48.2,48.2,46.56,46.63,105579.0,47.093,891
25,2023-10-30,47.05,47.09,46.19,46.85,110629.0,46.634,751
26,2023-10-31,46.99,47.56,46.65,46.86,54988.0,47.063,468
27,2023-11-01,46.69,47.92,46.23,46.6,90415.0,46.596,791
28,2023-11-02,49.52,50.35,47.36,48.44,236476.0,48.452,1940
29,2023-11-03,49.06,50.33,48.39,49.61,91257.0,49.275,678
30,2023-11-06,49.54,50.41,49.33,50.34,63750.0,50.051,504
31,2023-11-07,50.07,50.88,49.91,50.76,72927.0,50.622,508
32,2023-11-08,50.94,50.94,49.92,50.35,58395.0,50.281,464
33,2023-11-09,49.98,50.16,49.15,49.61,110612.0,49.551,542
34,2023-11-10,49.6,50.15,49.08,49.86,68932.0,49.769,555
35,2023-11-13,49.58,50.3,49.04,50.0,74234.0,49.97,614
36,2023-11-14,51.16,51.27,50.46,51.14,84745.0,50.884,523
37,2023-11-15,51.03,51.9,50.46,51.34,44751.0,51.482,366
38,2023-11-16,51.03,51.15,50.49,51.04,44959.0,50.867,402
39,2023-11-17,51.22,51.7,50.55,50.86,59814.0,50.974,357
40,2023-11-20,50.99,51.7,50.85,51.65,40576.0,51.49,296
41,2023-11-21,51.6,51.78,51.13,51.27,44628.0,51.442,297
42,2023-11-22,51.51,52.0,51.07,51.36,43908.0,51.371,293
43,2023-11-24,51.31,51.45,51.11,51.17,23150.0,51.226,208
44,2023-11-27,50.96,51.56,50.84,51.21,98550.0,51.211,568
45,2023-11-28,51.04,51.33,50.8,50.92,46799.0,51.069,421
46,2023-11-29,51.32,52.04,49.8,49.89,65337.0,50.511,540
47,2023-11-30,49.76,49.79,48.8,49.19,116714.0,49.313,905
48,2023-12-01,49.85,52.87,49.39,52.76,137352.0,51.631,894
