,date,open,high,low,close,volume,average,barCount
0,2023-09-25,177.63,181.89,176.54,179.44,10364.0,180.011,77
1,2023-09-26,178.29,180.03,174.68,175.25,41174.0,175.671,366
2,2023-09-27,176.04,178.95,174.98,178.37,25238.0,177.195,238
3,2023-09-28,177.87,179.94,175.75,176.21,11923.0,177.532,98
4,2023-09-29,176.61,176.88,174.54,175.24,18018.0,175.23,176
5,2023-10-02,174.24,175.49,173.14,174.72,43152.0,174.446,287
6,2023-10-03,173.6,174.45,170.97,172.12,5445.0,172.217,51
7,2023-10-04,172.01,176.47,171.68,175.94,31857.0,174.481,166
8,2023-10-05,176.75,177.95,175.24,176.75,17501.0,176.48,156
9,2023-10-06,175.26,179.0,175.26,177.75,4991.0,177.746,32
10,2023-10-09,177.44,180.15,177.4,178.86,5636.0,179.064,50
11,2023-10-10,179.74,182.65,178.12,178.79,15002.0,181.41,108
12,2023-10-11,179.27,182.2,179.03,181.36,7199.0,181.043,58
13,2023-10-12,181.26,181.26,175.58,176.96,5512.0,177.171,50
14,2023-10-13,174.77,176.67,174.21,176.28,19043.0,175.258,116
15,2023-10-16,178.07,178.24,173.22,175.2,20900.0,174.878,175
16,2023-10-17,173.78,178.28,173.78,175.04,10014.0,176.458,88
17,2023-10-18,173.2,174.67,170.89,173.79,35733.0,173.173,279
18,2023-10-19,174.45,174.55,171.18,172.89,23550.0,173.42,164
19,2023-10-20,173.77,175.14,172.05,174.1,44958.0,174.095,154
20,2023-10-23,174.8,175.52,173.34,173.67,36384.0,174.613,236
21,2023-10-24,175.65,177.41,167.94,173.21,32235.0,172.127,198
22,2023-10-25,173.06,174.49,170.03,173.62,80175.0,173.328,310
23,2023-10-26,174.67,179.19,174.36,177.77,24928.0,176.902,145
24,2023-10-27,177.29,178.55,172.78,177.0,15780.0,176.986,148
25,2023-10-30,177.23,179.11,176.56,176.9,36153.0,178.007,115
26,2023-10-31,177.23,181.06,176.07,177.26,25437.0,178.743,223
27,2023-11-01,176.36,179.02,173.49,175.0,68775.0,175.204,561
28,2023-11-02,179.72,181.5,170.94,171.62,41722.0,176.801,342
29,2023-11-03,174.38,178.97,173.58,174.5,31771.0,175.705,286
30,2023-11-06,173.27,174.06,169.12,169.6,28878.0,170.669,230
31,2023-11-07,170.45,173.56,168.0,172.2,40811.0,170.901,325
32,2023-11-08,173.5,173.99,168.5,169.41,5982.0,170.204,49
33,2023-11-09,170.94,171.53,167.27,167.75,16352.0,168.647,145
34,2023-11-10,169.2,170.0,167.82,169.16,12721.0,169.362,119
35,2023-11-13,167.77,172.62,167.77,169.82,10739.0,170.485,87
36,2023-11-14,171.0,179.73,171.0,179.73,37140.0,175.044,272
37,2023-11-15,178.19,180.87,174.0,174.0,6220.0,176.964,53
38,2023-11-16,173.9,177.52,172.8,172.97,19076.0,175.751,141
39,2023-11-17,173.96,175.54,172.73,172.99,24916.0,173.71,117
40,2023-11-20,172.62,173.08,168.82,169.04,11558.0,170.234,102
41,2023-11-21,169.0,176.73,167.81,173.73,43930.0,173.099,323
42,2023-11-22,173.21,176.16,172.78,175.55,20574.0,174.264,124
43,2023-11-24,175.19,178.39,175.19,177.6,7327.0,177.475,63
44,2023-11-27,176.37,177.52,174.88,175.81,27178.0,176.353,162
