,date,open,high,low,close,volume,average,barCount
0,2023-10-06,480.03,495.37,479.99,493.26,277036.0,491.024,2300
1,2023-10-09,491.5,502.46,490.4,502.22,154636.0,499.003,1369
2,2023-10-10,502.62,509.65,498.99,506.64,168540.0,506.125,1380
3,2023-10-11,507.13,513.48,507.13,512.51,107444.0,510.887,829
4,2023-10-12,519.18,525.37,511.26,514.99,198548.0,516.721,1462
5,2023-10-13,517.6,518.79,510.97,512.63,77854.0,513.276,644
6,2023-10-16,517.83,520.94,514.94,516.68,93794.0,517.249,766
7,2023-10-17,516.68,516.68,511.2,514.27,121080.0,513.275,1018
8,2023-10-18,514.21,514.47,507.57,508.19,84454.0,511.504,696
9,2023-10-19,508.8,510.15,500.77,502.82,84536.0,504.679,707
10,2023-10-20,503.14,503.84,497.15,498.19,149113.0,500.196,1050
11,2023-10-23,498.88,503.65,498.88,499.48,92124.0,500.835,725
12,2023-10-24,501.14,506.55,499.3,505.82,151480.0,502.903,1325
13,2023-10-25,503.83,508.17,500.72,501.51,122730.0,503.396,1049
14,2023-10-26,500.56,506.37,498.5,498.62,159581.0,501.169,1332
15,2023-10-27,499.42,499.91,494.58,496.41,174867.0,496.917,1528
16,2023-10-30,500.0,505.03,496.29,502.81,103373.0,501.235,899
17,2023-10-31,502.97,508.84,502.48,507.12,69261.0,506.46,584
18,2023-11-01,508.72,511.9,504.65,509.0,89314.0,507.783,743
19,2023-11-02,509.51,514.23,506.95,511.09,173556.0,510.746,1422
20,2023-11-03,514.0,520.97,513.54,518.45,108688.0,517.318,851
21,2023-11-06,520.59,520.93,515.69,518.71,115578.0,517.409,902
22,2023-11-07,519.84,528.22,516.61,526.26,109503.0,524.913,905
23,2023-11-08,527.56,528.96,524.05,527.21,98508.0,526.961,787
24,2023-11-09,528.63,530.68,524.96,526.33,66980.0,527.569,534
25,2023-11-10,529.76,534.07,525.46,533.48,80115.0,530.286,639
26,2023-11-13,532.9,537.6,530.6,536.27,78034.0,535.542,630
27,2023-11-14,543.58,548.26,540.26,546.54,83390.0,545.347,611
28,2023-11-15,548.92,551.58,546.35,547.24,208426.0,548.852,1541
29,2023-11-16,549.98,557.08,546.73,553.44,177396.0,552.381,1435
30,2023-11-17,555.98,556.87,547.43,547.97,88145.0,551.256,539
31,2023-11-20,548.02,552.95,546.01,550.84,78008.0,549.498,552
32,2023-11-21,552.38,555.06,550.66,553.24,64392.0,552.815,565
33,2023-11-22,556.0,559.01,553.77,554.82,58245.0,555.753,473
34,2023-11-24,550.96,556.06,547.52,554.9,34104.0,552.891,242
35,2023-11-27,555.48,558.45,554.41,554.76,48033.0,556.156,393
36,2023-11-28,554.9,559.94,552.73,554.35,55788.0,555.553,427
37,2023-11-29,556.07,556.07,548.16,549.08,89472.0,550.278,731
38,2023-11-30,550.55,553.89,547.54,553.25,57079.0,550.981,454
39,2023-12-01,553.25,559.06,553.11,558.25,52625.0,557.021,443
40,2023-12-04,553.06,557.79,551.64,555.05,65960.0,553.681,516
41,2023-12-05,551.52,553.95,547.8,551.08,83221.0,551.002,680
42,2023-12-06,555.1,556.82,548.23,550.93,66656.0,550.748,533
43,2023-12-07,552.93,555.51,547.48,553.75,108460.0,553.07,854
