,date,open,high,low,close,volume,average,barCount
0,2023-10-06,49.67,50.49,49.44,50.05,1085764.0,50.074,7245
1,2023-10-09,49.89,50.61,49.44,50.59,1624152.0,50.275,9778
2,2023-10-10,50.73,51.19,50.45,50.52,1391752.0,50.761,8546
3,2023-10-11,50.47,50.53,48.59,49.88,2595528.0,49.419,15118
4,2023-10-12,50.19,50.19,49.13,49.44,1160956.0,49.482,7603
5,2023-10-13,49.46,49.84,49.05,49.55,1387327.0,49.425,8465
6,2023-10-16,49.87,50.04,49.37,49.81,1072043.0,49.793,6472
7,2023-10-17,49.68,51.58,49.65,51.56,1899248.0,51.151,11376
8,2023-10-18,51.42,51.93,51.11,51.23,2288465.0,51.383,13822
9,2023-10-19,51.34,51.92,50.85,50.96,1721995.0,51.271,10283
10,2023-10-20,51.48,51.63,50.25,50.26,1448813.0,50.901,8943
11,2023-10-23,47.4,49.29,47.38,48.77,3575055.0,48.686,19961
12,2023-10-24,48.45,48.79,48.09,48.41,2328425.0,48.421,14529
13,2023-10-25,48.53,49.16,48.41,48.63,1188094.0,48.645,7786
14,2023-10-26,49.02,49.32,48.61,48.71,1006538.0,48.873,6383
15,2023-10-27,47.5,48.2,47.21,47.82,3975831.0,47.78,21412
16,2023-10-30,48.17,48.35,47.52,48.22,2016568.0,48.114,13270
17,2023-10-31,48.03,48.34,47.33,48.14,2188000.0,47.949,13385
18,2023-11-01,48.14,48.3,47.43,47.74,2800118.0,47.676,15976
19,2023-11-02,47.92,49.59,47.92,49.56,1352274.0,49.183,9242
20,2023-11-03,49.8,50.65,49.69,50.23,1672477.0,50.334,9279
21,2023-11-06,50.17,50.26,49.73,49.97,1616047.0,49.998,8934
22,2023-11-07,49.53,49.85,49.13,49.28,1567741.0,49.348,9404
23,2023-11-08,49.32,49.59,48.58,48.62,1605819.0,48.805,10401
24,2023-11-09,49.67,49.67,44.29,44.51,4665840.0,45.522,25330
25,2023-11-10,44.37,44.66,43.35,43.55,3403481.0,43.709,17007
26,2023-11-13,43.43,45.35,43.22,45.29,5677981.0,44.518,23678
27,2023-11-14,45.49,46.99,45.49,46.28,2817398.0,46.4,13200
28,2023-11-15,46.38,47.25,46.38,46.73,1501708.0,46.78,8929
29,2023-11-16,47.3,47.95,46.33,46.97,2067426.0,46.819,12245
30,2023-11-17,47.2,47.59,46.8,47.32,2293321.0,47.29,11255
31,2023-11-20,47.31,47.31,46.63,46.86,2328079.0,46.919,10848
32,2023-11-21,46.84,47.05,46.24,46.27,1893790.0,46.483,10069
33,2023-11-22,46.29,46.46,45.49,46.36,1236329.0,46.183,8313
34,2023-11-24,46.2,47.3,46.09,46.67,850977.0,46.925,4835
35,2023-11-27,45.92,46.27,45.59,45.73,2014677.0,45.802,11762
36,2023-11-28,45.65,46.28,45.3,45.5,3163527.0,45.674,17350
37,2023-11-29,45.75,46.04,45.28,45.5,2303167.0,45.574,14795
38,2023-11-30,45.46,45.55,45.02,45.2,4015646.0,45.277,20235
39,2023-12-01,45.36,46.43,45.08,46.2,4197740.0,46.109,17990
40,2023-12-04,45.9,46.22,45.17,45.22,2638019.0,45.444,14779
41,2023-12-05,44.94,45.18,43.89,43.89,2797051.0,44.231,15591
42,2023-12-06,44.09,44.6,43.98,44.15,2249342.0,44.26,13796
43,2023-12-07,44.25,44.7,44.1,44.5,2956968.0,44.435,15908
44,2023-12-08,44.62,45.32,44.5,45.15,4116518.0,45.085,20188
45,2023-12-11,45.57,45.9,45.26,45.8,3787696.0,45.662,19165
46,2023-12-12,45.66,45.66,44.72,44.81,2802098.0,45.061,14211
47,2023-12-13,45.14,45.73,44.71,45.54,5795703.0,45.278,32937
48,2023-12-14,45.91,47.52,45.91,46.54,4483453.0,46.923,22347
49,2023-12-15,46.38,46.71,46.06,46.55,5866203.0,46.394,22739
50,2023-12-18,46.88,47.4,46.4,47.18,3794999.0,47.155,15784
51,2023-12-19,47.53,48.18,47.44,47.86,4012030.0,47.878,19406
52,2023-12-20,47.78,47.88,46.46,46.59,2720918.0,47.125,13249
53,2023-12-21,46.91,47.36,46.79,47.29,2107844.0,47.136,12315
54,2023-12-22,47.45,47.7,47.19,47.46,1745975.0,47.484,10461
55,2023-12-26,47.5,48.12,47.3,48.0,1257540.0,47.787,7416
56,2023-12-27,47.88,48.33,47.6,47.98,1139282.0,47.905,6662
57,2023-12-28,47.88,48.22,47.78,48.09,1103177.0,48.031,7010
58,2023-12-29,47.96,48.23,47.52,47.92,1088297.0,47.884,6947
59,2024-01-02,47.74,48.84,47.74,48.56,1537620.0,48.49,8599
60,2024-01-03,48.28,48.47,47.85,48.08,1572853.0,48.18,10004
61,2024-01-04,48.1,48.23,47.41,47.6,1385852.0,47.657,8844
62,2024-01-05,47.6,47.76,46.92,47.33,1463291.0,47.25,9455
63,2024-01-08,47.02,47.24,46.28,47.01,1387249.0,46.902,7952
64,2024-01-09,46.69,46.75,46.0,46.51,2024057.0,46.411,10195
65,2024-01-10,45.97,46.32,45.86,46.05,1688487.0,46.051,9737
66,2024-01-11,46.26,46.57,45.83,46.03,3078811.0,46.136,10777
67,2024-01-12,46.42,46.55,45.84,46.11,2280617.0,46.028,12043
68,2024-01-16,46.02,46.06,45.26,45.49,4141133.0,45.638,17547
69,2024-01-17,45.0,45.63,44.67,44.84,2375818.0,45.105,11898
70,2024-01-18,44.69,44.74,44.07,44.41,2743737.0,44.385,13874
71,2024-01-19,44.17,45.64,44.01,45.6,3511342.0,44.926,14642
72,2024-01-22,45.16,45.56,44.8,44.97,3404506.0,45.146,15977
73,2024-01-23,45.48,45.88,45.05,45.43,1658402.0,45.383,9096
74,2024-01-24,45.61,45.67,44.91,45.41,1490688.0,45.387,8659
75,2024-01-25,45.75,45.83,45.01,45.24,2779939.0,45.18,15997
76,2024-01-26,45.66,45.94,45.25,45.86,1389932.0,45.751,8197
77,2024-01-29,45.74,45.94,45.3,45.93,1202276.0,45.624,6892
78,2024-01-30,45.62,46.15,45.58,45.83,1557343.0,45.857,9193
79,2024-01-31,46.01,46.35,45.46,45.48,3593220.0,45.873,20501
80,2024-02-01,56.69,57.76,52.36,54.06,8486923.0,53.667,45525
81,2024-02-02,54.3,54.5,52.89,53.04,3020856.0,53.295,19437
82,2024-02-05,52.5,52.5,51.65,51.8,3291751.0,51.967,18779
83,2024-02-06,51.75,52.42,51.31,52.09,2839662.0,52.085,16637
84,2024-02-07,52.34,54.19,52.34,54.07,4661346.0,53.59,25522
85,2024-02-08,53.99,54.33,52.65,53.24,3588949.0,53.333,17919
86,2024-02-09,53.04,53.92,52.88,53.6,1771677.0,53.486,10514
87,2024-02-12,54.63,55.31,54.46,55.04,2144792.0,54.959,11150
88,2024-02-13,54.58,54.99,53.35,53.63,2198757.0,53.771,13332
89,2024-02-14,54.11,54.31,53.65,53.85,508859.0,54.009,3482
