,date,open,high,low,close,volume,average,barCount
0,2023-09-25,20.13,20.15,19.64,19.91,612861.0,19.867,2859
1,2023-09-26,19.75,19.9,19.46,19.46,457659.0,19.675,2792
2,2023-09-27,19.57,19.84,19.46,19.72,492415.0,19.592,2102
3,2023-09-28,19.71,19.97,19.52,19.64,583178.0,19.766,2334
4,2023-09-29,19.82,19.97,19.3,19.34,723547.0,19.669,2214
5,2023-10-02,19.29,19.47,19.21,19.38,512287.0,19.335,2979
6,2023-10-03,19.32,19.55,19.09,19.1,829180.0,19.302,3468
7,2023-10-04,19.12,19.23,18.87,19.14,1504846.0,19.069,4736
8,2023-10-05,19.14,19.89,19.14,19.89,570510.0,19.692,2474
9,2023-10-06,19.72,20.35,19.72,20.18,499535.0,20.141,2571
10,2023-10-09,20.04,20.16,19.81,20.11,236198.0,20.062,1454
11,2023-10-10,20.12,20.6,20.06,20.41,302554.0,20.407,1788
12,2023-10-11,20.5,20.74,20.39,20.56,300242.0,20.575,2094
13,2023-10-12,20.56,20.73,20.03,20.24,333837.0,20.31,1619
14,2023-10-13,20.42,20.42,19.28,19.54,553237.0,19.82,2445
15,2023-10-16,19.68,19.82,19.44,19.74,447878.0,19.653,2436
16,2023-10-17,19.64,20.3,19.61,20.01,282542.0,20.073,1502
17,2023-10-18,19.98,20.07,19.45,19.45,215659.0,19.568,1468
18,2023-10-19,19.58,19.93,19.39,19.5,358713.0,19.644,2419
19,2023-10-20,19.47,19.47,18.86,18.95,548655.0,19.087,3161
20,2023-10-23,18.91,19.42,18.81,19.11,861522.0,19.221,4944
21,2023-10-24,19.25,19.65,19.22,19.4,498419.0,19.479,2245
22,2023-10-25,19.27,19.34,18.72,18.72,330756.0,18.92,2085
23,2023-10-26,18.83,18.87,18.36,18.5,648633.0,18.525,3242
24,2023-10-27,18.54,18.57,18.11,18.19,185890.0,18.244,1143
25,2023-10-30,18.33,18.34,17.97,18.0,494349.0,18.111,1735
26,2023-10-31,17.99,18.22,17.93,18.08,554422.0,18.07,2797
27,2023-11-01,17.98,18.26,17.65,17.93,464173.0,17.912,2984
28,2023-11-02,18.19,19.41,18.19,18.61,805411.0,18.81,4590
29,2023-11-03,18.61,19.01,18.46,18.53,775561.0,18.721,3588
30,2023-11-06,18.81,18.9,17.88,18.16,890492.0,18.114,3859
31,2023-11-07,18.37,19.0,18.05,18.74,7113004.0,18.77,30671
32,2023-11-08,18.75,19.23,18.71,19.2,1869872.0,18.937,7678
33,2023-11-09,19.19,19.26,18.94,19.0,803923.0,19.031,4454
34,2023-11-10,19.0,19.31,19.0,19.24,611310.0,19.189,3591
35,2023-11-13,19.26,20.09,19.25,20.04,2059545.0,19.553,5000
36,2023-11-14,20.39,21.26,20.21,21.15,1337645.0,20.871,6325
37,2023-11-15,21.15,21.77,21.1,21.23,1130055.0,21.374,5041
38,2023-11-16,21.19,21.33,20.96,21.17,443090.0,21.203,2236
39,2023-11-17,21.17,21.39,20.97,21.21,614746.0,21.168,3445
40,2023-11-20,21.33,21.53,21.09,21.2,539620.0,21.309,2688
41,2023-11-21,21.1,21.14,20.81,20.87,520533.0,20.915,2960
42,2023-11-22,21.05,21.05,20.73,20.85,345126.0,20.859,2235
43,2023-11-24,20.78,21.08,20.69,21.06,225207.0,20.925,1342
44,2023-11-27,21.0,21.1,20.83,21.01,335491.0,20.979,2049
45,2023-11-28,20.93,21.27,20.81,21.12,488535.0,21.013,2929
46,2023-11-29,21.34,21.89,21.03,21.31,804099.0,21.398,3979
47,2023-11-30,21.39,21.48,20.99,21.31,594872.0,21.22,2916
48,2023-12-01,19.6,19.92,19.38,19.76,6694541.0,19.67,26364
49,2023-12-04,19.61,19.62,18.72,19.16,2286566.0,19.098,10942
50,2023-12-05,19.12,19.12,18.55,18.95,1114857.0,18.817,6339
51,2023-12-06,19.0,19.44,18.91,19.2,1020514.0,19.22,5299
52,2023-12-07,19.15,19.15,18.74,18.94,1204703.0,18.937,6345
53,2023-12-08,18.92,19.36,18.81,19.25,362930.0,19.224,2144
54,2023-12-11,19.17,19.35,19.1,19.17,421933.0,19.208,2393
55,2023-12-12,19.17,19.32,18.96,19.25,538729.0,19.184,3326
56,2023-12-13,19.28,19.42,19.08,19.35,431598.0,19.246,2698
57,2023-12-14,19.43,19.74,19.07,19.7,1905134.0,19.531,4039
58,2023-12-15,19.84,19.84,19.37,19.81,1173547.0,19.64,4998
59,2023-12-18,19.8,19.96,19.58,19.67,839655.0,19.779,4079
60,2023-12-19,19.69,19.8,19.49,19.79,823070.0,19.675,5034
61,2023-12-20,19.68,20.39,19.59,19.7,1448236.0,20.11,5925
62,2023-12-21,19.77,19.97,19.51,19.77,561395.0,19.712,3635
63,2023-12-22,19.82,20.17,19.74,20.05,835261.0,20.013,3769
64,2023-12-26,20.1,20.18,19.97,20.08,373412.0,20.073,1598
65,2023-12-27,20.05,20.31,19.84,19.97,282138.0,19.97,1760
66,2023-12-28,19.98,20.16,19.89,20.1,764976.0,20.035,3045
67,2023-12-29,20.14,20.32,19.94,20.03,394156.0,20.091,2537
68,2024-01-02,19.65,19.65,19.04,19.48,891641.0,19.351,5933
69,2024-01-03,19.35,19.8,19.01,19.38,1455234.0,19.444,8050
70,2024-01-04,19.38,19.69,19.31,19.34,692043.0,19.474,3924
71,2024-01-05,19.21,19.63,19.12,19.55,943860.0,19.439,4209
72,2024-01-08,19.63,19.9,19.51,19.57,631580.0,19.648,3768
73,2024-01-09,19.49,19.87,19.39,19.6,556180.0,19.668,3329
74,2024-01-10,19.65,19.88,19.37,19.84,599570.0,19.682,3092
75,2024-01-11,19.86,19.86,19.64,19.65,346379.0,19.702,1972
76,2024-01-12,19.79,20.2,19.7,20.09,712849.0,20.034,3088
77,2024-01-16,20.0,20.18,19.72,19.97,492812.0,19.956,3147
78,2024-01-17,19.75,19.8,19.58,19.62,252207.0,19.669,1652
79,2024-01-18,19.69,19.72,19.31,19.38,887859.0,19.494,3674
80,2024-01-19,19.48,19.48,18.62,18.65,1572380.0,18.84,7677
81,2024-01-22,18.83,19.06,18.65,19.03,1371563.0,18.91,6826
82,2024-01-23,19.02,19.43,18.61,18.77,374298.0,18.793,2360
83,2024-01-24,18.99,19.0,18.36,18.39,803941.0,18.676,3699
84,2024-01-25,18.49,18.87,18.3,18.86,839702.0,18.713,4078
85,2024-01-26,18.85,19.25,18.82,19.11,908352.0,18.997,3427
86,2024-01-29,19.27,19.66,19.21,19.58,502855.0,19.456,2925
87,2024-01-30,19.52,19.63,19.02,19.15,365200.0,19.246,2474
88,2024-01-31,19.08,19.36,18.82,18.85,731627.0,19.158,3184
89,2024-02-01,18.88,19.22,18.72,19.19,624873.0,19.002,3026
