,date,open,high,low,close,volume,average,barCount
0,2023-09-25,47.99,48.43,47.81,48.3,84938.0,48.153,600
1,2023-09-26,48.12,48.34,46.96,47.06,96996.0,47.352,753
2,2023-09-27,47.12,47.28,46.65,46.66,99995.0,46.922,772
3,2023-09-28,46.83,47.17,46.31,46.91,240513.0,46.761,1920
4,2023-09-29,47.31,47.6,46.88,47.31,159591.0,47.193,1362
5,2023-10-02,47.07,47.07,45.83,46.28,210199.0,46.243,1813
6,2023-10-03,46.0,46.5,45.44,46.43,190796.0,46.088,1278
7,2023-10-04,46.76,47.0,46.05,46.95,100323.0,46.669,848
8,2023-10-05,46.95,48.38,46.7,48.22,120978.0,47.909,1016
9,2023-10-06,47.67,48.55,47.37,48.31,83595.0,48.24,564
10,2023-10-09,48.08,49.04,48.08,48.74,70231.0,48.693,480
11,2023-10-10,48.76,49.11,48.46,48.6,60884.0,48.809,459
12,2023-10-11,48.78,48.94,48.35,48.9,64993.0,48.745,443
13,2023-10-12,48.89,48.89,47.59,48.08,90235.0,48.117,583
14,2023-10-13,48.38,48.38,47.68,47.95,89360.0,48.002,541
15,2023-10-16,48.2,49.36,47.93,49.33,146678.0,48.861,1108
16,2023-10-17,49.1,49.74,48.86,48.95,99520.0,49.192,777
17,2023-10-18,48.73,48.94,47.73,48.16,67723.0,48.09,566
18,2023-10-19,47.87,48.37,47.57,47.62,75480.0,47.865,609
19,2023-10-20,47.7,48.05,47.07,47.1,70220.0,47.551,397
20,2023-10-23,46.68,47.47,46.58,46.79,108287.0,47.083,762
21,2023-10-24,47.18,47.67,47.06,47.06,133225.0,47.331,893
22,2023-10-25,46.01,46.63,46.01,46.34,135831.0,46.373,1050
23,2023-10-26,48.3,48.89,46.41,48.67,135354.0,48.395,1095
24,2023-10-27,48.78,49.16,48.07,48.44,165148.0,48.578,1203
25,2023-10-30,48.83,49.21,48.32,48.38,149335.0,48.657,1205
26,2023-10-31,48.6,48.85,47.94,48.68,106684.0,48.538,821
27,2023-11-01,48.61,49.73,48.42,49.59,104768.0,49.268,887
28,2023-11-02,49.9,50.81,49.75,50.75,119490.0,50.56,1014
29,2023-11-03,51.45,53.13,50.98,52.48,135196.0,52.527,1112
30,2023-11-06,52.2,52.42,51.55,51.57,66664.0,51.85,482
31,2023-11-07,51.66,51.66,50.79,50.93,35332.0,51.028,290
32,2023-11-08,50.87,51.14,49.33,49.75,92482.0,49.728,741
33,2023-11-09,49.96,50.0,49.17,49.41,61324.0,49.468,482
34,2023-11-10,49.83,49.83,48.97,49.01,52780.0,49.159,440
35,2023-11-13,48.8,49.11,48.49,48.73,81988.0,48.832,650
36,2023-11-14,50.31,51.93,49.86,51.9,196611.0,50.905,1634
37,2023-11-15,51.75,52.41,51.19,51.3,96084.0,51.555,768
38,2023-11-16,51.7,51.7,51.01,51.03,63396.0,51.349,474
39,2023-11-17,51.41,51.66,51.11,51.44,130898.0,51.396,765
40,2023-11-20,51.29,51.29,50.23,50.35,71682.0,50.517,583
41,2023-11-21,50.24,50.33,49.59,50.14,50982.0,50.095,355
42,2023-11-22,50.54,50.9,50.23,50.77,45695.0,50.681,377
43,2023-11-24,50.78,51.16,50.68,51.15,22606.0,50.984,181
44,2023-11-27,51.11,51.33,50.45,50.93,46405.0,51.02,384
45,2023-11-28,50.7,51.03,50.29,50.57,38408.0,50.735,296
46,2023-11-29,50.88,50.92,49.97,50.14,33492.0,50.295,259
47,2023-11-30,50.21,50.74,49.91,50.57,65745.0,50.512,494
48,2023-12-01,50.32,51.72,49.87,51.69,76613.0,51.12,631
49,2023-12-04,51.29,53.07,51.29,53.05,86773.0,52.653,640
50,2023-12-05,53.06,53.58,52.45,52.83,58488.0,53.015,480
51,2023-12-06,53.27,53.51,52.7,52.73,86938.0,53.033,635
52,2023-12-07,52.58,52.82,52.01,52.75,45115.0,52.594,376
53,2023-12-08,52.82,53.43,52.08,52.33,57993.0,52.562,480
54,2023-12-11,52.09,52.51,51.79,52.5,74589.0,52.152,557
55,2023-12-12,52.67,52.68,51.81,52.55,46986.0,52.31,375
56,2023-12-13,52.46,54.3,52.1,53.91,105007.0,53.366,813
57,2023-12-14,54.6,54.85,53.65,53.82,94759.0,54.254,642
58,2023-12-15,53.55,53.69,52.4,52.64,231756.0,53.183,753
59,2023-12-18,52.89,52.99,52.23,52.25,129796.0,52.498,925
60,2023-12-19,52.65,53.79,52.5,53.59,73348.0,53.417,578
61,2023-12-20,53.45,53.95,52.2,52.21,171825.0,53.221,1059
62,2023-12-21,52.48,52.76,51.78,52.13,101760.0,52.113,748
63,2023-12-22,52.56,53.0,52.1,52.29,67393.0,52.34,602
64,2023-12-26,52.39,52.83,52.13,52.55,69497.0,52.613,544
65,2023-12-27,52.53,52.77,52.12,52.35,62253.0,52.433,494
66,2023-12-28,51.86,52.55,51.86,52.51,56118.0,52.353,440
67,2023-12-29,52.42,52.42,51.47,51.87,66622.0,51.807,515
68,2024-01-02,51.62,52.34,51.3,51.89,84845.0,51.787,698
69,2024-01-03,52.06,52.14,50.93,51.23,81689.0,51.609,489
70,2024-01-04,51.68,51.68,50.0,50.04,99474.0,50.479,726
71,2024-01-05,49.86,50.16,49.08,49.17,76852.0,49.542,576
72,2024-01-08,49.01,49.59,48.7,49.59,122234.0,49.229,685
73,2024-01-09,48.96,49.76,48.66,49.23,98579.0,49.216,644
74,2024-01-10,49.26,49.77,49.14,49.7,62614.0,49.568,522
75,2024-01-11,49.58,49.58,48.0,48.33,69596.0,48.374,523
76,2024-01-12,48.9,49.01,48.55,48.71,74477.0,48.743,619
77,2024-01-16,48.49,48.94,47.86,47.91,106802.0,48.393,782
78,2024-01-17,47.43,47.8,46.81,47.12,157680.0,47.271,1135
79,2024-01-18,47.1,47.64,46.64,47.58,339714.0,47.15,1111
80,2024-01-19,47.87,47.87,46.8,47.3,320021.0,47.185,960
81,2024-01-22,47.48,48.25,47.48,47.76,131962.0,47.937,1014
82,2024-01-23,48.19,48.49,47.1,47.25,112156.0,47.396,924
83,2024-01-24,47.59,47.66,45.29,45.34,147924.0,45.929,933
84,2024-01-25,46.0,46.43,45.24,45.82,201215.0,45.806,1051
85,2024-01-26,46.28,46.33,45.27,45.38,102597.0,45.567,743
86,2024-01-29,45.33,46.06,44.84,45.86,94754.0,45.647,737
87,2024-01-30,45.58,45.93,45.26,45.76,116684.0,45.615,899
88,2024-01-31,46.03,46.58,45.16,45.27,129761.0,45.849,1029
89,2024-02-01,45.35,45.99,45.18,45.93,71394.0,45.702,552
