,date,open,high,low,close,volume,average,barCount
0,2023-10-06,192.48,195.11,191.8,193.92,59682.0,194.006,451
1,2023-10-09,196.78,202.01,194.26,200.72,65420.0,200.271,524
2,2023-10-10,201.68,203.0,199.87,202.76,74373.0,202.213,538
3,2023-10-11,203.59,206.13,202.75,205.78,41470.0,205.301,342
4,2023-10-12,206.69,207.58,203.6,204.63,28365.0,205.594,227
5,2023-10-13,205.88,206.89,204.26,205.62,59653.0,205.663,451
6,2023-10-16,206.71,210.0,205.91,206.02,50017.0,207.544,407
7,2023-10-17,205.91,210.21,205.91,208.44,63948.0,208.231,466
8,2023-10-18,207.73,208.96,205.17,205.2,49687.0,206.825,392
9,2023-10-19,205.04,206.84,202.64,203.3,65075.0,204.04,473
10,2023-10-20,204.17,205.41,200.98,201.5,105043.0,202.903,765
11,2023-10-23,201.0,201.77,199.6,199.66,90990.0,200.65,513
12,2023-10-24,201.08,201.08,198.35,198.36,22723.0,199.292,170
13,2023-10-25,199.17,199.91,197.95,198.03,61134.0,198.798,492
14,2023-10-26,197.99,201.06,197.84,198.62,68459.0,199.632,551
15,2023-10-27,197.59,198.48,194.46,195.67,99994.0,195.792,806
16,2023-10-30,195.68,198.12,195.14,196.17,53441.0,196.111,442
17,2023-10-31,197.0,199.14,196.1,198.81,79783.0,198.258,618
18,2023-11-01,199.06,201.23,198.08,200.4,79765.0,199.88,651
19,2023-11-02,200.4,205.43,198.44,204.28,56495.0,203.374,438
20,2023-11-03,206.19,207.24,203.65,203.75,72594.0,204.821,571
21,2023-11-06,203.75,207.74,203.22,207.55,93879.0,206.09,576
22,2023-11-07,207.43,208.99,206.02,208.4,75409.0,208.151,594
23,2023-11-08,209.2,209.49,203.6,204.72,27887.0,205.054,232
24,2023-11-09,205.69,208.22,205.33,205.83,78687.0,206.536,622
25,2023-11-10,206.48,207.5,204.49,207.48,49034.0,206.945,366
26,2023-11-13,208.01,214.97,208.01,213.37,110524.0,212.523,786
27,2023-11-14,213.95,216.55,213.95,214.66,49802.0,214.609,373
28,2023-11-15,214.09,215.0,211.64,212.99,50038.0,212.909,397
29,2023-11-16,213.21,215.75,210.85,211.0,66617.0,212.058,520
30,2023-11-17,211.89,213.22,210.2,210.32,54547.0,211.103,415
31,2023-11-20,210.32,212.79,210.04,211.65,142593.0,211.639,1070
32,2023-11-21,211.05,212.77,210.55,212.23,47792.0,211.871,380
33,2023-11-22,211.89,215.63,211.89,214.04,52140.0,213.949,372
34,2023-11-24,214.33,215.13,213.7,214.11,13460.0,214.381,104
35,2023-11-27,213.88,215.07,212.5,213.83,39612.0,213.578,310
36,2023-11-28,213.83,213.83,209.7,210.05,76941.0,210.854,361
37,2023-11-29,211.47,212.39,209.01,210.57,62169.0,210.845,453
38,2023-11-30,211.41,214.43,211.41,213.9,46742.0,213.256,391
39,2023-12-01,214.07,219.15,212.33,219.05,142585.0,215.787,661
40,2023-12-04,219.05,221.24,215.95,217.62,103355.0,217.424,654
41,2023-12-05,217.36,217.53,215.37,215.95,29401.0,216.658,233
42,2023-12-06,215.98,218.09,213.89,214.61,30542.0,214.694,233
43,2023-12-07,214.95,215.15,212.75,214.75,70842.0,213.827,399
44,2023-12-08,214.75,216.6,213.73,215.59,49600.0,215.538,338
45,2023-12-11,215.6,217.52,215.33,216.62,78863.0,217.015,578
46,2023-12-12,216.68,221.91,216.12,221.17,125062.0,219.642,825
47,2023-12-13,221.05,224.74,220.75,222.48,82835.0,222.585,635
48,2023-12-14,222.78,223.45,216.96,218.19,108624.0,219.052,764
49,2023-12-15,217.7,221.19,217.7,219.69,77299.0,218.813,445
50,2023-12-18,219.9,220.96,218.47,219.63,28907.0,219.357,195
51,2023-12-19,219.63,221.5,219.33,221.18,31043.0,220.728,226
52,2023-12-20,221.84,221.84,216.64,217.42,93752.0,219.302,584
53,2023-12-21,218.8,219.45,215.91,219.0,109968.0,218.033,777
54,2023-12-22,220.25,222.15,219.6,220.94,48543.0,220.776,383
55,2023-12-26,220.87,222.13,220.02,221.26,25745.0,221.386,195
56,2023-12-27,221.13,221.86,220.57,221.67,9151.0,221.381,73
57,2023-12-28,220.87,224.11,220.7,221.55,21928.0,221.529,168
58,2023-12-29,221.87,223.89,221.57,222.79,26787.0,222.835,182
59,2024-01-02,222.79,224.45,221.74,222.36,26221.0,222.774,202
60,2024-01-03,221.78,221.78,218.12,218.39,60329.0,219.58,434
61,2024-01-04,219.26,220.25,216.83,217.27,43749.0,218.419,337
62,2024-01-05,216.58,218.15,215.8,217.73,45797.0,217.209,376
63,2024-01-08,216.83,216.83,213.28,215.64,83998.0,214.686,610
64,2024-01-09,214.64,214.92,212.05,214.42,41783.0,214.156,331
65,2024-01-10,215.19,218.58,214.86,218.54,55870.0,216.954,439
66,2024-01-11,218.42,219.07,217.19,218.47,37627.0,218.266,295
67,2024-01-12,220.23,222.61,219.21,222.5,35099.0,221.483,241
68,2024-01-16,221.74,221.89,218.08,220.39,53674.0,219.67,441
69,2024-01-17,219.32,221.9,217.56,220.43,48544.0,220.482,345
70,2024-01-18,221.19,224.28,220.97,223.82,42542.0,222.836,305
71,2024-01-19,224.5,224.5,222.01,222.77,32786.0,222.735,250
72,2024-01-22,222.96,227.0,222.96,226.13,33190.0,226.039,263
73,2024-01-23,227.18,227.2,224.52,225.52,31611.0,225.672,247
74,2024-01-24,226.21,227.73,222.83,223.22,50670.0,224.933,352
75,2024-01-25,224.64,225.55,221.82,224.26,101878.0,223.282,446
76,2024-01-26,225.25,226.43,224.08,225.73,27034.0,225.34,228
77,2024-01-29,226.03,226.91,223.55,226.09,29099.0,225.065,199
78,2024-01-30,225.91,226.5,224.9,225.45,32785.0,225.638,260
79,2024-01-31,226.03,226.03,221.89,222.57,22830.0,223.678,181
80,2024-02-01,223.62,224.51,221.76,224.34,85456.0,223.244,476
81,2024-02-02,223.41,226.39,222.03,225.88,45630.0,224.944,363
82,2024-02-05,224.2,226.48,220.9,225.95,37562.0,224.45,301
83,2024-02-06,226.03,227.04,224.35,226.9,33497.0,226.038,228
