,date,open,high,low,close,volume,average,barCount
0,2023-10-06,155.91,168.91,155.91,167.19,293581.0,164.908,2159
1,2023-10-09,160.26,169.47,152.03,168.09,801445.0,162.887,5007
2,2023-10-10,168.27,169.2,163.43,166.94,429116.0,165.684,3048
3,2023-10-11,165.99,168.37,160.76,163.77,357199.0,163.791,2568
4,2023-10-12,164.5,167.2,161.07,164.92,237125.0,164.325,1770
5,2023-10-13,164.92,165.0,161.06,162.43,202668.0,162.438,1673
6,2023-10-16,162.6,168.85,161.62,164.92,287554.0,165.816,2095
7,2023-10-17,168.98,171.62,166.4,170.87,378294.0,170.048,2833
8,2023-10-18,170.48,171.33,168.15,168.48,170720.0,169.509,1214
9,2023-10-19,170.92,171.13,165.23,168.04,259105.0,168.689,1665
10,2023-10-20,167.17,167.17,159.11,163.6,361809.0,162.712,2075
11,2023-10-23,162.74,165.52,160.33,162.73,222033.0,163.17,1666
12,2023-10-24,163.98,169.11,163.98,167.15,258948.0,166.684,2108
13,2023-10-25,166.02,166.5,158.43,158.68,230360.0,161.352,1655
14,2023-10-26,158.53,160.49,154.76,157.52,219276.0,157.303,1772
15,2023-10-27,158.73,158.91,154.89,156.36,131763.0,156.435,951
16,2023-10-30,157.67,159.87,155.72,158.89,223257.0,157.898,1823
17,2023-10-31,159.79,164.71,156.78,163.64,297356.0,162.336,2467
18,2023-11-01,164.71,165.74,159.04,161.73,329692.0,161.176,2575
19,2023-11-02,170.0,177.12,167.13,173.49,879451.0,174.413,6142
20,2023-11-03,174.0,182.71,172.41,180.19,644279.0,177.488,4194
21,2023-11-06,180.19,180.5,174.04,178.49,268168.0,177.255,2098
22,2023-11-07,179.72,183.1,179.26,182.64,293402.0,181.701,2073
23,2023-11-08,182.13,186.28,181.67,183.37,260382.0,183.772,1793
24,2023-11-09,184.86,185.59,181.02,181.87,164261.0,182.824,1337
25,2023-11-10,182.93,184.12,181.45,183.95,173312.0,182.982,1190
26,2023-11-13,183.28,183.95,181.11,182.77,111832.0,182.233,932
27,2023-11-14,187.01,187.87,184.37,187.13,319627.0,186.385,1914
28,2023-11-15,187.29,188.77,185.08,186.03,260950.0,186.954,2059
29,2023-11-16,183.53,188.24,183.28,187.74,199777.0,186.738,1385
30,2023-11-17,187.89,190.3,185.04,189.27,213208.0,189.034,1503
31,2023-11-20,188.94,193.47,188.94,190.4,204141.0,191.321,1245
32,2023-11-21,189.91,191.92,186.96,190.99,172153.0,189.559,1419
33,2023-11-22,191.36,193.53,189.44,191.53,178088.0,192.228,1185
34,2023-11-24,192.0,194.08,191.25,193.49,49980.0,192.49,386
35,2023-11-27,191.56,195.45,191.56,194.73,184241.0,194.328,1439
36,2023-11-28,193.64,196.36,192.56,194.54,382165.0,194.488,1799
37,2023-11-29,196.86,200.71,196.86,199.26,298072.0,199.092,2175
38,2023-11-30,198.27,200.44,193.91,199.27,517844.0,196.819,2526
39,2023-12-01,197.19,204.04,195.49,201.39,312021.0,200.641,2325
40,2023-12-04,201.12,206.06,200.58,204.23,260363.0,202.882,1824
41,2023-12-05,202.28,205.75,200.44,203.9,265803.0,202.996,1949
42,2023-12-06,205.0,205.58,199.93,200.56,222037.0,201.911,1660
43,2023-12-07,202.26,202.98,199.4,202.01,154814.0,201.552,1056
44,2023-12-08,202.41,203.73,200.76,201.06,128391.0,201.92,806
45,2023-12-11,199.63,205.34,198.96,200.61,250763.0,202.076,1744
46,2023-12-12,200.31,205.44,200.31,202.92,319030.0,203.578,2539
47,2023-12-13,202.92,204.99,199.26,204.53,315989.0,202.058,2380
48,2023-12-14,205.5,207.31,198.01,201.25,396254.0,201.637,3056
49,2023-12-15,205.99,207.28,202.2,205.93,281890.0,205.419,2346
50,2023-12-18,207.57,211.94,207.0,210.18,267571.0,209.95,1929
51,2023-12-19,210.0,215.2,209.2,214.2,443905.0,213.601,3424
52,2023-12-20,213.52,219.19,211.7,213.15,375831.0,216.2,2764
