,date,open,high,low,close,volume,average,barCount
0,2023-10-06,43.09,45.1,42.92,44.6,1386092.0,44.309,9038
1,2023-10-09,43.77,45.0,42.32,44.72,1511511.0,43.694,8297
2,2023-10-10,45.1,46.49,45.1,45.76,1137476.0,45.991,8076
3,2023-10-11,46.37,47.76,46.35,47.01,2219500.0,47.067,14320
4,2023-10-12,46.72,46.78,43.66,43.98,2341288.0,44.564,14512
5,2023-10-13,43.64,44.3,41.9,42.38,1817087.0,42.581,11185
6,2023-10-16,42.92,43.95,42.4,43.61,1461406.0,43.455,9851
7,2023-10-17,43.16,44.84,43.16,43.87,1272575.0,44.209,9103
8,2023-10-18,43.31,43.73,42.28,42.52,1931066.0,42.755,11615
9,2023-10-19,42.95,43.5,41.74,41.91,2390909.0,42.499,16440
10,2023-10-20,41.87,42.06,40.79,41.34,1535270.0,41.446,9857
11,2023-10-23,41.1,42.63,40.86,41.36,1855237.0,41.933,12709
12,2023-10-24,41.88,42.41,41.52,41.66,1161114.0,41.872,7357
13,2023-10-25,40.25,40.61,38.5,38.54,3582080.0,39.314,22122
14,2023-10-26,38.66,39.81,38.33,38.76,2104713.0,38.913,14133
15,2023-10-27,39.16,40.12,38.6,39.14,2175664.0,39.429,14882
16,2023-10-30,39.99,40.41,38.85,40.09,2839878.0,39.626,17824
17,2023-10-31,40.07,40.54,39.62,39.89,2776989.0,40.04,15704
18,2023-11-01,40.88,41.42,38.57,39.47,6023330.0,39.777,31667
19,2023-11-02,40.45,42.63,40.36,40.63,3730341.0,41.231,21865
20,2023-11-03,42.35,44.65,41.94,44.4,3564756.0,43.963,20476
21,2023-11-06,44.52,44.58,43.47,43.9,2206359.0,44.017,15361
22,2023-11-07,43.95,44.29,43.29,43.64,990064.0,43.699,7469
23,2023-11-08,44.37,44.97,43.83,44.08,1366124.0,44.171,9649
24,2023-11-09,44.61,44.7,41.99,42.12,1435967.0,42.715,10637
25,2023-11-10,41.73,43.37,41.59,43.3,1609978.0,42.785,11049
26,2023-11-13,42.69,42.78,41.96,42.05,1471254.0,42.237,9975
27,2023-11-14,43.91,45.73,43.8,45.5,2004886.0,45.142,12837
28,2023-11-15,45.73,47.11,45.66,46.51,2323497.0,46.368,16161
29,2023-11-16,46.21,46.62,45.36,45.64,1353216.0,45.737,10270
30,2023-11-17,46.24,46.34,44.94,45.91,1458405.0,45.764,9155
31,2023-11-20,46.34,46.6,45.85,46.27,933172.0,46.265,5832
32,2023-11-21,45.86,45.88,45.06,45.55,795911.0,45.551,5587
33,2023-11-22,46.32,46.65,45.87,46.19,844576.0,46.332,6394
34,2023-11-24,46.21,46.34,45.79,46.06,314312.0,46.08,2480
35,2023-11-27,45.81,46.29,45.53,45.98,764575.0,45.996,5397
36,2023-11-28,45.74,45.9,45.07,45.23,1358950.0,45.292,10297
37,2023-11-29,45.87,46.5,44.9,45.03,1505878.0,45.549,10264
38,2023-11-30,45.21,45.25,44.25,44.72,1926506.0,44.694,14136
39,2023-12-01,44.72,46.97,44.48,46.75,4694084.0,45.996,25405
40,2023-12-04,46.65,47.48,45.51,46.24,1837888.0,46.182,13343
41,2023-12-05,45.6,45.82,43.39,43.41,2159274.0,44.031,13560
42,2023-12-06,44.06,44.81,43.04,43.41,1887611.0,43.838,11143
43,2023-12-07,43.45,43.78,42.49,42.95,2868354.0,43.013,14916
