,date,open,high,low,close,volume,average,barCount
0,2023-09-25,56.33,59.25,55.38,58.52,317420.0,58.1,2263
1,2023-09-26,58.42,59.06,57.67,57.97,345953.0,58.489,1538
2,2023-09-27,57.95,59.79,57.6,58.79,353295.0,58.524,1687
3,2023-09-28,58.3,58.32,56.66,57.88,260052.0,57.766,1062
4,2023-09-29,58.35,59.53,57.16,57.35,136552.0,58.2,1124
5,2023-10-02,56.98,58.12,56.6,57.29,126701.0,57.329,792
6,2023-10-03,56.53,57.91,55.46,56.0,316422.0,55.983,1739
7,2023-10-04,56.0,56.9,55.11,55.57,131339.0,55.759,999
8,2023-10-05,55.16,56.31,54.18,55.82,158876.0,55.302,1085
9,2023-10-06,55.28,58.34,55.08,58.34,283431.0,57.368,1826
10,2023-10-09,57.85,58.84,57.25,58.77,111773.0,58.243,778
11,2023-10-10,58.93,61.53,58.93,60.38,440147.0,60.735,1960
12,2023-10-11,60.3,61.13,59.14,59.3,119059.0,59.995,823
13,2023-10-12,58.98,59.99,56.68,57.25,464326.0,57.359,1083
14,2023-10-13,57.36,57.53,56.54,57.23,143874.0,57.046,775
15,2023-10-16,57.38,59.15,57.29,58.61,111371.0,58.493,646
16,2023-10-17,58.0,59.43,58.0,58.56,277337.0,58.581,734
17,2023-10-18,58.05,59.9,57.4,58.2,709713.0,59.031,1774
18,2023-10-19,57.98,58.38,56.78,58.05,313902.0,57.764,1790
19,2023-10-20,57.69,58.14,53.78,54.63,252953.0,54.721,1706
20,2023-10-23,53.96,55.53,53.77,54.4,154358.0,54.631,1069
21,2023-10-24,54.92,55.87,53.69,54.08,152664.0,54.394,1070
22,2023-10-25,53.59,53.59,49.81,49.83,318619.0,50.657,1518
23,2023-10-26,49.62,50.5,48.6,48.7,464281.0,49.303,1965
24,2023-10-27,49.36,49.57,48.23,48.47,445770.0,48.546,1007
25,2023-10-30,49.52,50.31,48.81,49.53,230678.0,49.468,1077
26,2023-10-31,49.38,51.07,49.38,50.16,263126.0,50.418,1065
27,2023-11-01,49.64,49.96,47.79,48.96,251958.0,48.809,1332
28,2023-11-02,49.75,52.68,49.7,51.9,427722.0,51.654,2357
29,2023-11-03,53.2,53.84,52.28,52.99,277302.0,52.906,1607
30,2023-11-06,53.15,55.46,52.29,55.45,164738.0,54.233,1130
31,2023-11-07,55.4,57.98,55.4,56.0,223553.0,57.1,1380
32,2023-11-08,55.86,56.46,54.68,55.07,80864.0,55.233,668
33,2023-11-09,55.33,56.2,52.98,53.33,184524.0,54.704,1327
34,2023-11-10,53.85,54.58,52.44,54.07,101693.0,53.849,681
35,2023-11-13,53.47,53.93,52.56,53.41,105917.0,53.282,824
36,2023-11-14,54.96,58.77,54.96,56.96,183206.0,57.064,1382
37,2023-11-15,57.8,60.76,57.8,59.86,228191.0,59.68,1730
38,2023-11-16,59.63,60.44,57.67,60.4,254106.0,59.533,1238
39,2023-11-17,61.0,65.24,60.62,63.03,448328.0,63.541,3065
40,2023-11-20,63.86,68.05,63.11,66.46,341609.0,66.586,2513
41,2023-11-21,65.76,66.46,63.64,64.22,144225.0,64.384,847
42,2023-11-22,65.16,66.76,64.33,65.64,194777.0,65.422,1429
43,2023-11-24,65.63,65.87,64.34,64.91,66908.0,64.94,452
44,2023-11-27,64.75,66.33,64.2,65.98,151372.0,65.547,978
45,2023-11-28,65.9,67.85,65.58,66.88,273186.0,67.036,1944
46,2023-11-29,67.38,69.0,67.05,67.79,161594.0,67.77,949
47,2023-11-30,67.97,68.43,64.8,65.24,124351.0,65.907,923
48,2023-12-01,65.17,66.92,62.89,66.36,191548.0,65.213,1394
49,2023-12-04,65.45,66.0,63.51,64.4,111826.0,64.637,635
50,2023-12-05,63.9,65.15,63.03,63.14,71593.0,64.004,460
51,2023-12-06,63.38,66.58,63.38,66.41,272287.0,65.836,1607
52,2023-12-07,66.38,68.0,65.5,67.99,199855.0,67.09,1288
53,2023-12-08,67.59,71.67,67.43,69.54,567823.0,69.615,2462
54,2023-12-11,69.33,69.43,66.51,67.2,183831.0,67.5,1244
55,2023-12-12,67.29,69.07,66.07,68.78,223606.0,68.024,1372
56,2023-12-13,68.99,71.57,67.77,69.96,186840.0,69.208,1374
57,2023-12-14,70.34,72.43,69.79,71.24,317703.0,71.611,1721
58,2023-12-15,70.9,71.31,68.01,70.15,273115.0,69.49,1663
59,2023-12-18,70.15,71.94,69.3,71.33,223168.0,71.135,1283
60,2023-12-19,71.6,74.62,70.99,74.41,289359.0,73.987,2232
61,2023-12-20,74.0,75.64,72.32,72.79,446127.0,74.453,2979
62,2023-12-21,73.91,76.14,73.09,75.93,249116.0,75.228,1519
63,2023-12-22,75.0,78.02,74.67,76.59,348355.0,77.047,2538
