,date,open,high,low,close,volume,average,barCount
0,2023-10-06,15.85,16.19,15.59,15.95,591970.0,15.983,4122
1,2023-10-09,15.68,16.34,15.62,16.21,1300176.0,16.044,7218
2,2023-10-10,16.31,16.95,16.17,16.75,800985.0,16.722,4320
3,2023-10-11,16.8,17.41,16.74,17.37,1364502.0,17.189,8115
4,2023-10-12,17.32,17.37,16.87,16.97,1029043.0,17.107,5665
5,2023-10-13,17.0,17.05,16.43,16.68,643631.0,16.706,4378
6,2023-10-16,16.97,17.31,16.8,17.0,850216.0,17.08,4366
7,2023-10-17,16.7,17.18,16.55,16.95,938830.0,16.919,4581
8,2023-10-18,16.73,16.79,16.26,16.33,946233.0,16.468,4766
9,2023-10-19,16.22,16.37,15.64,15.64,567043.0,15.964,3058
10,2023-10-20,15.63,16.01,15.5,15.59,718947.0,15.733,3899
11,2023-10-23,15.39,15.48,15.01,15.09,1477146.0,15.208,8512
12,2023-10-24,15.43,15.78,15.37,15.62,756326.0,15.56,4585
13,2023-10-25,15.31,15.56,15.1,15.36,1184183.0,15.357,6244
14,2023-10-26,15.36,15.82,15.12,15.72,1175540.0,15.575,6630
15,2023-10-27,15.89,15.93,15.21,15.27,719702.0,15.509,4284
16,2023-10-30,15.62,16.04,15.62,15.92,1678488.0,15.884,9576
17,2023-10-31,16.16,16.4,15.68,15.85,1051273.0,15.846,7102
18,2023-11-01,16.06,16.21,14.08,14.6,3734420.0,14.504,19569
19,2023-11-02,15.18,16.36,15.07,16.22,2147086.0,16.098,12799
20,2023-11-03,16.68,17.0,16.17,16.2,2061368.0,16.396,13459
21,2023-11-06,16.01,16.06,15.59,15.99,1715318.0,15.897,10147
22,2023-11-07,15.83,16.08,15.38,15.65,1071228.0,15.716,6698
23,2023-11-08,15.72,15.85,15.45,15.49,805610.0,15.557,5004
24,2023-11-09,15.77,15.87,15.25,15.31,868821.0,15.5,5387
25,2023-11-10,15.35,15.66,15.16,15.58,651369.0,15.475,4408
26,2023-11-13,15.39,15.49,15.1,15.35,888540.0,15.334,5357
27,2023-11-14,16.28,17.02,16.28,16.86,1289620.0,16.76,7362
28,2023-11-15,16.77,17.29,16.67,16.91,745460.0,16.905,4848
29,2023-11-16,16.85,16.93,16.19,16.37,653218.0,16.403,4267
30,2023-11-17,16.42,16.75,16.34,16.7,641214.0,16.608,3823
31,2023-11-20,16.64,16.8,16.5,16.55,735826.0,16.644,4246
32,2023-11-21,16.39,16.39,16.03,16.22,788584.0,16.18,4520
33,2023-11-22,16.51,16.79,16.37,16.46,441512.0,16.541,2527
34,2023-11-24,16.36,16.56,16.28,16.42,193407.0,16.45,1240
35,2023-11-27,16.38,16.86,16.17,16.72,653970.0,16.694,4210
36,2023-11-28,16.65,16.79,16.46,16.6,949983.0,16.603,3784
37,2023-11-29,16.87,17.56,16.87,17.48,1469924.0,17.296,7350
38,2023-11-30,17.51,17.66,17.18,17.26,1009939.0,17.369,5436
39,2023-12-01,17.25,17.71,17.11,17.51,1490765.0,17.527,7915
40,2023-12-04,17.31,17.67,16.81,16.87,832090.0,17.007,5304
41,2023-12-05,16.72,16.86,16.39,16.43,886601.0,16.512,5628
42,2023-12-06,16.97,17.3,16.35,16.51,796827.0,16.699,5124
43,2023-12-07,16.53,16.77,16.44,16.55,597610.0,16.548,3581
44,2023-12-08,16.49,16.64,16.12,16.5,645520.0,16.431,4154
45,2023-12-11,16.46,16.88,16.46,16.87,870110.0,16.784,4247
46,2023-12-12,16.85,17.15,16.59,17.03,1215302.0,16.972,6894
47,2023-12-13,17.0,17.58,16.53,17.37,1265110.0,17.143,7981
48,2023-12-14,17.96,18.42,17.29,17.62,3048816.0,17.841,14356
49,2023-12-15,17.62,17.74,16.75,17.05,2021049.0,17.142,9138
50,2023-12-18,17.0,17.23,16.64,16.69,1437108.0,16.798,8403
51,2023-12-19,16.97,17.35,16.79,17.29,1869256.0,17.094,8098
52,2023-12-20,17.08,17.68,16.74,16.75,1078663.0,17.275,5722
53,2023-12-21,17.08,17.08,16.66,16.92,1040151.0,16.797,6535
54,2023-12-22,17.02,17.5,16.97,17.01,983358.0,17.21,5073
55,2023-12-26,17.15,17.35,16.98,17.21,959038.0,17.159,5102
56,2023-12-27,17.15,17.43,17.14,17.33,616991.0,17.301,3850
57,2023-12-28,17.25,17.88,17.25,17.84,1083969.0,17.732,5528
58,2023-12-29,17.68,17.82,17.48,17.54,779120.0,17.619,4927
59,2024-01-02,17.28,18.03,17.15,17.85,1773009.0,17.822,8724
60,2024-01-03,17.81,17.87,17.33,17.8,809692.0,17.696,4842
61,2024-01-04,17.72,17.74,17.18,17.49,1000456.0,17.426,4780
62,2024-01-05,17.34,17.79,17.04,17.09,879624.0,17.323,5106
63,2024-01-08,17.0,17.95,16.9,17.88,1063731.0,17.743,6103
64,2024-01-09,17.57,18.13,17.4,18.13,2427133.0,17.972,8087
65,2024-01-10,18.06,18.26,17.58,18.09,1891862.0,17.894,9401
66,2024-01-11,17.98,18.13,17.58,17.81,1080754.0,17.792,7143
67,2024-01-12,18.18,18.31,17.83,18.17,1910513.0,18.144,7190
68,2024-01-16,17.9,18.12,17.76,17.88,721848.0,17.932,4639
69,2024-01-17,17.53,17.77,17.38,17.69,734994.0,17.561,4882
70,2024-01-18,17.86,18.03,17.53,17.92,794121.0,17.811,4731
71,2024-01-19,18.05,18.32,17.93,18.31,1363055.0,18.163,6619
72,2024-01-22,18.53,19.48,18.35,19.46,1919799.0,19.132,9972
73,2024-01-23,19.74,20.16,19.48,19.95,2889781.0,19.794,10953
74,2024-01-24,20.18,20.19,19.52,19.68,1227971.0,19.679,7102
75,2024-01-25,20.0,20.22,19.83,20.0,1585275.0,19.976,9038
76,2024-01-26,20.09,20.57,20.06,20.4,1151205.0,20.432,6735
77,2024-01-29,20.33,20.39,19.96,20.27,612439.0,20.198,4014
78,2024-01-30,20.11,20.26,19.99,20.14,835891.0,20.122,4750
79,2024-01-31,20.09,20.31,19.45,19.64,1088978.0,19.838,6480
80,2024-02-01,19.78,19.96,19.17,19.74,829434.0,19.586,5221
81,2024-02-02,19.37,20.1,19.19,19.96,932888.0,19.765,5042
82,2024-02-05,19.56,19.58,19.24,19.33,545238.0,19.373,3554
83,2024-02-06,19.32,19.49,19.1,19.29,919912.0,19.274,5258
84,2024-02-07,19.42,19.42,18.93,19.19,606478.0,19.233,4046
85,2024-02-08,19.23,20.1,19.12,19.89,1025137.0,19.76,4457
86,2024-02-09,20.15,20.31,19.95,20.17,792888.0,20.166,4004
87,2024-02-12,20.3,20.99,20.22,20.71,2023004.0,20.673,8659
88,2024-02-13,19.78,20.02,18.87,19.05,3189596.0,19.165,14020
89,2024-02-14,19.55,19.71,19.31,19.48,245348.0,19.478,1238
