,date,open,high,low,close,volume,average,barCount
0,2023-09-25,59.62,60.45,59.57,60.18,99369.0,60.168,735
1,2023-09-26,59.88,59.99,58.98,59.0,110869.0,59.325,834
2,2023-09-27,59.39,59.61,59.05,59.42,99714.0,59.409,754
3,2023-09-28,59.28,60.37,59.28,59.79,230258.0,59.975,1740
4,2023-09-29,60.16,60.38,59.56,59.64,184306.0,59.858,1503
5,2023-10-02,59.38,60.3,59.34,59.72,127601.0,59.834,1034
6,2023-10-03,59.45,59.94,59.02,59.37,142894.0,59.409,1043
7,2023-10-04,59.31,59.71,58.99,59.54,144311.0,59.44,1188
8,2023-10-05,59.58,60.02,59.18,59.34,151707.0,59.471,1161
9,2023-10-06,59.2,60.46,59.01,59.93,262505.0,59.896,1537
10,2023-10-09,59.76,60.59,59.5,60.27,161051.0,60.212,1228
11,2023-10-10,60.49,61.06,60.33,60.67,132261.0,60.763,1129
12,2023-10-11,60.68,61.33,60.53,61.32,168252.0,61.042,1200
13,2023-10-12,61.5,61.67,60.71,61.09,156242.0,61.273,1254
14,2023-10-13,61.28,61.63,60.21,60.53,181131.0,60.557,1173
15,2023-10-16,61.13,61.84,60.5,61.02,181700.0,60.992,1451
16,2023-10-17,60.67,62.29,60.67,61.9,346325.0,61.888,2629
17,2023-10-18,61.33,61.49,59.43,59.44,150495.0,59.96,1151
18,2023-10-19,59.38,59.88,58.65,58.83,181638.0,59.226,1150
19,2023-10-20,59.1,59.38,58.19,58.58,192609.0,58.631,1459
20,2023-10-23,58.54,58.89,57.8,58.02,175912.0,58.325,1201
21,2023-10-24,58.49,58.89,57.88,58.57,128257.0,58.471,1075
22,2023-10-25,57.99,59.01,57.76,58.0,129274.0,58.191,1059
23,2023-10-26,58.22,58.68,57.97,58.09,166118.0,58.256,1280
24,2023-10-27,58.04,58.43,57.26,57.3,174180.0,57.589,1370
25,2023-10-30,57.58,57.87,57.21,57.44,147307.0,57.477,1052
26,2023-10-31,57.32,57.93,57.19,57.66,194659.0,57.56,1532
27,2023-11-01,57.63,57.95,57.05,57.81,152412.0,57.533,1217
28,2023-11-02,58.62,59.12,58.31,58.96,221104.0,58.87,1811
29,2023-11-03,59.49,60.21,59.36,59.61,180825.0,59.878,1431
30,2023-11-06,59.59,59.98,59.06,59.48,173818.0,59.377,1310
31,2023-11-07,59.25,59.25,58.56,58.71,176294.0,58.809,1365
32,2023-11-08,58.84,59.55,58.84,59.28,181528.0,59.285,1471
33,2023-11-09,59.51,59.65,59.02,59.04,214765.0,59.305,1668
34,2023-11-10,59.32,60.11,58.95,60.02,110724.0,59.877,943
35,2023-11-13,59.76,60.09,59.68,59.69,152774.0,59.844,1191
36,2023-11-14,60.57,61.17,60.57,61.05,226520.0,61.02,1875
37,2023-11-15,61.0,61.51,60.64,60.98,282838.0,61.078,2181
38,2023-11-16,61.0,61.18,59.82,59.96,547302.0,60.17,4157
39,2023-11-17,60.41,60.63,59.88,60.38,574962.0,60.265,4069
40,2023-11-20,60.44,60.56,60.07,60.14,314320.0,60.248,2193
41,2023-11-21,59.96,60.31,59.94,60.2,351136.0,60.122,2715
42,2023-11-22,60.32,60.79,60.11,60.16,205079.0,60.336,1582
43,2023-11-24,60.17,60.62,60.17,60.47,88867.0,60.461,694
44,2023-11-27,60.18,60.36,59.78,59.86,215901.0,59.955,1638
45,2023-11-28,59.82,59.82,58.75,58.77,238442.0,59.111,1817
46,2023-11-29,59.84,60.23,59.28,60.03,305276.0,59.936,2407
47,2023-11-30,60.45,60.98,59.78,60.84,329985.0,60.723,2484
48,2023-12-01,60.69,61.53,60.56,61.41,342521.0,61.236,2420
49,2023-12-04,60.86,61.89,60.8,61.86,288892.0,61.65,2122
50,2023-12-05,61.61,61.61,60.78,60.99,155215.0,61.041,1139
51,2023-12-06,61.23,61.63,61.02,61.16,161094.0,61.239,1120
52,2023-12-07,61.3,61.46,61.0,61.26,161200.0,61.247,1222
53,2023-12-08,61.26,61.91,61.26,61.43,143531.0,61.48,1102
54,2023-12-11,61.5,62.44,61.39,62.43,171109.0,62.138,1329
55,2023-12-12,62.54,62.76,62.1,62.44,162426.0,62.466,1233
56,2023-12-13,62.39,63.76,62.34,63.61,342957.0,63.183,2293
57,2023-12-14,64.0,65.64,64.0,65.45,404861.0,65.123,2768
58,2023-12-15,65.38,65.94,65.23,65.57,460787.0,65.671,2741
59,2023-12-18,65.5,65.56,64.85,65.41,175470.0,65.263,1129
60,2023-12-19,65.71,66.02,65.65,65.9,148075.0,65.877,1017
61,2023-12-20,65.82,66.45,65.06,65.08,185974.0,65.783,1434
62,2023-12-21,65.51,65.61,64.61,65.22,107102.0,65.047,719
63,2023-12-22,65.44,65.91,65.27,65.62,107158.0,65.635,858
64,2023-12-26,65.72,65.95,65.51,65.53,99025.0,65.709,706
65,2023-12-27,65.41,65.76,65.29,65.49,114593.0,65.515,805
66,2023-12-28,65.27,65.59,65.26,65.55,123409.0,65.477,848
67,2023-12-29,65.55,65.79,65.26,65.35,88262.0,65.454,548
68,2024-01-02,64.91,65.33,64.42,64.79,143452.0,64.814,1086
69,2024-01-03,64.16,64.4,63.54,63.59,157116.0,63.779,1277
70,2024-01-04,63.74,63.98,63.54,63.66,125250.0,63.745,937
71,2024-01-05,63.39,63.68,63.16,63.56,127110.0,63.431,989
