,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.98,12.98,12.46,12.53,187341.0,12.614,1369
1,2023-09-26,12.78,12.81,12.41,12.46,150893.0,12.526,1207
2,2023-09-27,12.52,12.85,12.45,12.73,155569.0,12.641,1083
3,2023-09-28,12.67,12.78,12.33,12.74,161192.0,12.565,979
4,2023-09-29,12.79,12.85,12.55,12.72,127112.0,12.704,934
5,2023-10-02,12.68,13.17,12.59,12.62,569874.0,13.027,1018
6,2023-10-03,12.57,12.75,12.49,12.68,130954.0,12.672,1072
7,2023-10-04,12.65,12.7,12.44,12.46,248680.0,12.567,1484
8,2023-10-05,12.3,13.13,12.3,12.48,515510.0,12.579,2186
9,2023-10-06,12.39,12.49,11.89,12.14,885596.0,12.084,2569
10,2023-10-09,12.08,12.11,10.98,11.02,1074905.0,11.271,5560
11,2023-10-10,10.5,11.53,10.49,11.45,1681053.0,11.152,7356
12,2023-10-11,11.51,11.52,10.75,10.9,316023.0,10.95,2290
13,2023-10-12,10.88,11.22,10.54,10.78,299383.0,10.789,2290
14,2023-10-13,10.83,11.06,10.52,10.95,232285.0,10.896,1433
15,2023-10-16,10.95,11.0,10.61,10.83,190600.0,10.844,1446
16,2023-10-17,10.94,11.22,10.5,10.57,423741.0,10.661,2893
17,2023-10-18,10.42,10.87,10.24,10.82,229588.0,10.733,1762
18,2023-10-19,10.87,10.87,10.42,10.56,220606.0,10.576,1692
19,2023-10-20,10.63,10.63,10.18,10.21,315259.0,10.383,2166
20,2023-10-23,10.12,10.3,9.96,10.21,211147.0,10.186,1576
21,2023-10-24,10.43,10.59,10.22,10.39,191799.0,10.432,1248
22,2023-10-25,10.28,10.41,9.9,10.11,356724.0,10.13,2446
23,2023-10-26,10.25,10.52,10.12,10.18,516787.0,10.304,3466
24,2023-10-27,10.23,10.31,10.04,10.15,273418.0,10.17,2160
25,2023-10-30,11.41,12.7,11.07,11.93,2929298.0,12.07,13194
26,2023-10-31,12.34,12.35,11.27,11.99,1226221.0,11.776,6502
27,2023-11-01,12.0,12.37,11.73,11.86,694450.0,11.964,4189
28,2023-11-02,11.82,12.09,11.55,11.74,607663.0,11.882,4347
29,2023-11-03,11.91,12.72,11.91,12.15,1195939.0,12.366,4844
30,2023-11-06,12.2,12.5,11.88,12.06,214284.0,12.124,1644
31,2023-11-07,12.12,12.33,11.84,11.9,283577.0,11.965,1918
32,2023-11-08,11.9,12.03,11.55,11.73,192719.0,11.734,1368
33,2023-11-09,11.86,11.86,11.13,11.31,227427.0,11.3,1582
34,2023-11-10,11.39,11.61,11.11,11.51,249203.0,11.407,2000
