,date,open,high,low,close,volume,average,barCount
0,2023-10-06,122.74,125.11,122.48,124.27,378557.0,124.307,2920
1,2023-10-09,124.0,124.98,123.47,124.83,248450.0,124.411,1814
2,2023-10-10,124.77,125.3,123.64,123.77,452188.0,124.297,2993
3,2023-10-11,122.85,123.14,122.12,122.73,263165.0,122.618,1695
4,2023-10-12,122.43,122.43,120.1,120.62,492605.0,120.961,3164
5,2023-10-13,120.76,123.18,120.76,122.5,571139.0,122.393,3712
6,2023-10-16,122.5,123.52,121.91,122.81,288341.0,122.833,1805
7,2023-10-17,122.39,124.02,122.09,123.29,278075.0,123.14,2026
8,2023-10-18,123.62,123.88,122.66,122.79,432500.0,123.157,2732
9,2023-10-19,122.85,123.92,121.83,122.83,430829.0,122.994,3086
10,2023-10-20,123.67,125.31,122.85,123.73,709008.0,124.047,5105
11,2023-10-23,122.55,124.55,121.34,121.45,1153130.0,122.369,8219
12,2023-10-24,122.66,124.04,120.87,123.58,905953.0,122.588,6119
13,2023-10-25,121.84,125.79,121.6,125.47,783898.0,124.736,5562
14,2023-10-26,125.31,131.51,125.06,131.26,1355100.0,130.471,8910
15,2023-10-27,130.76,131.41,127.6,127.68,481687.0,128.947,3588
16,2023-10-30,127.95,131.06,127.11,129.41,725768.0,129.42,5229
17,2023-10-31,129.84,131.44,128.5,130.1,437211.0,130.422,3171
18,2023-11-01,130.17,133.2,130.08,132.53,629842.0,132.309,4142
19,2023-11-02,131.64,132.63,130.75,131.33,502086.0,131.824,3605
20,2023-11-03,132.6,135.18,131.69,133.91,373300.0,133.977,2891
21,2023-11-06,133.74,135.28,133.06,133.89,425190.0,134.549,3366
22,2023-11-07,134.12,134.18,132.73,132.88,279011.0,133.133,2410
23,2023-11-08,133.78,133.88,132.28,133.47,361595.0,133.185,3013
24,2023-11-09,133.26,133.68,131.53,131.64,402995.0,131.958,3364
25,2023-11-10,132.38,133.01,131.42,132.82,266172.0,132.406,2197
26,2023-11-13,132.9,133.0,131.69,132.35,372748.0,132.297,2553
27,2023-11-14,132.65,133.89,131.77,133.78,523041.0,133.261,4400
28,2023-11-15,133.73,136.2,133.63,135.45,575266.0,135.213,4259
29,2023-11-16,135.64,135.91,134.39,134.93,612416.0,135.112,4379
30,2023-11-17,135.55,135.94,134.24,134.89,377591.0,134.925,2766
31,2023-11-20,134.16,135.47,133.75,134.85,354863.0,134.936,2567
32,2023-11-21,135.24,135.58,134.19,134.32,489017.0,134.861,3928
