,date,open,high,low,close,volume,average,barCount
0,2023-10-06,103.04,104.36,101.79,103.49,630907.0,103.467,4673
1,2023-10-09,103.03,103.91,101.95,103.89,731718.0,103.296,4860
2,2023-10-10,105.14,107.09,104.66,106.91,927457.0,106.417,6553
3,2023-10-11,106.9,108.82,106.26,108.71,862447.0,107.995,5992
4,2023-10-12,108.83,108.83,104.43,105.55,593927.0,105.556,4644
5,2023-10-13,106.07,108.21,105.21,107.32,718175.0,107.184,5234
6,2023-10-16,108.37,111.38,107.36,110.42,700694.0,110.4,5263
7,2023-10-17,110.13,112.77,110.13,111.37,708612.0,111.32,4748
8,2023-10-18,111.0,111.3,109.3,110.07,330864.0,110.07,2622
9,2023-10-19,109.77,111.3,108.43,108.81,470038.0,109.307,3513
10,2023-10-20,108.83,109.6,107.72,109.31,275411.0,109.116,2322
11,2023-10-23,107.81,108.38,105.93,105.94,607972.0,107.066,3907
12,2023-10-24,106.67,108.26,105.89,106.83,387080.0,106.943,2723
13,2023-10-25,107.1,108.18,106.01,107.24,472525.0,107.104,3122
14,2023-10-26,107.31,108.11,103.05,104.32,716511.0,104.661,5075
15,2023-10-27,104.42,105.18,100.98,101.02,762858.0,102.445,5375
16,2023-10-30,102.61,105.6,102.25,105.26,599837.0,104.715,4362
17,2023-10-31,105.15,107.39,105.13,106.95,783537.0,106.691,4748
18,2023-11-01,106.73,107.89,104.0,107.74,642186.0,106.884,4286
19,2023-11-02,109.0,111.5,109.0,110.61,517648.0,110.419,3734
20,2023-11-03,112.0,117.78,112.0,115.27,969077.0,114.952,6971
21,2023-11-06,115.45,116.3,113.39,114.52,392103.0,114.592,2982
22,2023-11-07,113.57,114.24,112.36,113.95,601645.0,113.539,4387
23,2023-11-08,113.62,114.74,112.28,112.59,565591.0,113.397,3641
24,2023-11-09,113.49,113.49,110.36,112.17,714342.0,111.502,5271
25,2023-11-10,112.48,113.3,110.1,112.58,473962.0,111.899,3431
26,2023-11-13,111.23,111.57,110.07,110.48,453220.0,110.746,3384
27,2023-11-14,112.5,116.27,111.67,113.93,882349.0,114.374,6565
28,2023-11-15,116.16,119.1,116.16,117.82,1522906.0,117.895,11117
29,2023-11-16,116.89,117.63,114.82,115.35,512904.0,115.755,4031
30,2023-11-17,117.9,119.31,116.79,118.08,785479.0,118.476,5555
31,2023-11-20,118.0,120.31,117.71,119.01,1452553.0,119.237,9651
32,2023-11-21,129.75,133.82,121.49,121.59,5328335.0,126.391,29735
33,2023-11-22,121.91,122.71,120.11,121.79,938989.0,121.766,6182
34,2023-11-24,122.76,123.57,121.57,123.28,541789.0,122.559,3956
35,2023-11-27,122.24,122.44,119.84,121.42,1134955.0,121.02,7780
36,2023-11-28,120.6,124.98,120.39,124.64,985311.0,123.917,7643
37,2023-11-29,124.76,128.13,124.74,127.95,1185152.0,127.17,8486
38,2023-11-30,128.51,130.35,126.24,130.1,875842.0,128.806,6647
39,2023-12-01,130.72,138.34,130.72,138.27,1209583.0,135.64,8474
