,date,open,high,low,close,volume,average,barCount
0,2023-10-06,116.21,118.23,114.5,117.37,1030506.0,116.82,7126
1,2023-10-09,116.24,119.44,115.56,119.05,839831.0,118.171,6267
2,2023-10-10,118.51,122.32,118.51,120.45,776605.0,120.746,5127
3,2023-10-11,121.99,124.49,121.79,124.42,1214091.0,122.978,8908
4,2023-10-12,124.42,125.58,123.15,124.44,1297688.0,124.205,7727
5,2023-10-13,124.8,125.87,121.9,122.6,836023.0,123.088,6175
6,2023-10-16,123.48,124.68,122.1,123.72,551360.0,123.968,3997
7,2023-10-17,122.52,124.32,121.38,123.29,758058.0,122.79,5979
8,2023-10-18,121.88,122.44,120.49,120.56,660473.0,121.204,4668
9,2023-10-19,119.88,120.37,115.57,115.64,1198569.0,117.698,7254
10,2023-10-20,115.65,117.46,115.12,115.81,764455.0,116.108,4835
11,2023-10-23,114.97,118.89,113.93,117.43,1290889.0,117.394,9183
12,2023-10-24,117.8,120.4,117.63,119.47,1320861.0,119.411,8720
13,2023-10-25,118.59,119.57,116.17,116.96,1199131.0,117.327,8558
14,2023-10-26,117.45,121.96,116.73,120.93,1943075.0,120.375,12975
15,2023-10-27,121.54,126.51,120.14,122.35,1863242.0,122.223,12653
16,2023-10-30,123.72,125.29,121.38,122.08,1119150.0,122.892,7841
17,2023-10-31,123.18,124.76,121.78,124.36,803441.0,123.614,5424
18,2023-11-01,124.43,126.53,123.42,126.47,909291.0,125.12,6898
19,2023-11-02,128.47,131.69,128.11,130.24,1163467.0,130.579,8495
20,2023-11-03,132.62,135.66,132.1,132.93,1350323.0,134.037,9810
21,2023-11-06,132.31,132.32,127.74,129.49,1037254.0,129.18,7726
22,2023-11-07,129.5,129.51,127.92,127.98,953744.0,128.468,7132
23,2023-11-08,127.96,128.9,127.27,128.45,517403.0,128.055,3699
24,2023-11-09,128.76,129.5,127.14,127.61,482191.0,128.187,3632
25,2023-11-10,128.26,129.17,126.22,128.75,780977.0,127.739,5817
26,2023-11-13,127.88,128.84,126.87,127.65,422033.0,127.901,2937
27,2023-11-14,132.17,135.47,131.31,134.3,1241236.0,133.98,8984
28,2023-11-15,134.11,136.11,133.8,134.6,931442.0,134.971,6964
29,2023-11-16,135.25,136.55,134.35,135.15,754372.0,135.591,5229
