,date,open,high,low,close,volume,average,barCount
0,2023-09-25,1.78,1.785,1.71,1.73,10990938.0,1.74241,13709
1,2023-09-26,1.715,1.81,1.71,1.73,10591310.0,1.76358,13092
2,2023-09-27,1.94,2.07,1.75,1.78,38004505.0,1.85159,38112
3,2023-09-28,1.79,1.81,1.7,1.72,17891971.0,1.74822,20776
4,2023-09-29,1.78,1.87,1.78,1.81,19254732.0,1.82046,21817
5,2023-10-02,1.8,1.8168,1.71,1.71,18019296.0,1.76186,29305
6,2023-10-03,1.7,1.745,1.58,1.6,23744173.0,1.64136,27161
7,2023-10-04,1.62,1.6668,1.55,1.64,19248678.0,1.61823,25146
8,2023-10-05,1.655,1.745,1.61,1.73,17560772.0,1.6762,29041
9,2023-10-06,1.685,1.77,1.67,1.72,12856877.0,1.72646,21352
10,2023-10-09,1.67,1.76,1.65,1.74,11813211.0,1.70244,13997
11,2023-10-10,1.73,1.82,1.73,1.79,12780411.0,1.78974,17696
12,2023-10-11,1.81,1.845,1.71,1.75,15672152.0,1.75434,15934
13,2023-10-12,1.76,1.76,1.6,1.62,18748479.0,1.65538,19801
14,2023-10-13,1.64,1.67,1.58,1.66,11604728.0,1.63525,17027
15,2023-10-16,1.62,1.7,1.6,1.68,11395886.0,1.65579,15452
16,2023-10-17,1.64,1.77,1.64,1.74,12954553.0,1.72604,15557
17,2023-10-18,1.73,1.74,1.65,1.65,14030150.0,1.69068,16797
18,2023-10-19,1.65,1.66,1.55,1.56,20717998.0,1.60187,21425
19,2023-10-20,1.56,1.62,1.51,1.57,18081850.0,1.55963,19748
20,2023-10-23,1.54,1.555,1.48,1.49,13909274.0,1.51697,14497
21,2023-10-24,1.505,1.62,1.5,1.57,14964396.0,1.57716,19791
22,2023-10-25,1.54,1.54,1.41,1.44,16898844.0,1.467,28493
23,2023-10-26,1.46,1.5,1.43,1.46,12150405.0,1.46442,19349
24,2023-10-27,1.47,1.47,1.35,1.35,13250986.0,1.38393,17229
25,2023-10-30,1.37,1.4,1.3,1.33,22209486.0,1.33172,21489
26,2023-10-31,1.33,1.38,1.32,1.37,9778396.0,1.35776,14991
27,2023-11-01,1.37,1.38,1.31,1.36,10867788.0,1.34351,17871
28,2023-11-02,1.41,1.58,1.39,1.54,25718509.0,1.52256,30947
29,2023-11-03,1.58,1.7,1.57,1.64,24596393.0,1.65576,31169
30,2023-11-06,1.66,1.67,1.49,1.52,20152876.0,1.54399,22216
31,2023-11-07,1.5,1.63,1.5,1.54,18724579.0,1.56547,21217
32,2023-11-08,1.56,1.58,1.48,1.49,22385143.0,1.50773,23829
33,2023-11-09,1.39,1.4,1.26,1.26,33382200.0,1.30175,28409
34,2023-11-10,1.28,1.29,1.25,1.28,19043888.0,1.26384,23198
35,2023-11-13,1.35,1.36,1.2216,1.28,23678256.0,1.26375,29836
36,2023-11-14,1.35,1.45,1.35,1.44,29742000.0,1.39756,38425
37,2023-11-15,1.45,1.59,1.44,1.56,24190784.0,1.54553,31937
38,2023-11-16,1.52,1.52,1.4,1.46,13227531.0,1.45261,18961
39,2023-11-17,1.48,1.52,1.43,1.52,10504996.0,1.4882,17633
40,2023-11-20,1.51,1.58,1.48,1.53,13372833.0,1.53319,18690
41,2023-11-21,1.51,1.52,1.42,1.43,10118104.0,1.44531,13525
42,2023-11-22,1.445,1.48,1.36,1.38,10373588.0,1.40247,17812
43,2023-11-24,1.39,1.46,1.37,1.46,5299050.0,1.41965,9481
44,2023-11-27,1.44,1.46,1.38,1.39,12255101.0,1.42026,16012
45,2023-11-28,1.37,1.46,1.35,1.44,16935114.0,1.40634,26653
46,2023-11-29,1.46,1.55,1.39,1.39,19025512.0,1.45478,20725
47,2023-11-30,1.42,1.42,1.29,1.29,25409629.0,1.34241,24926
48,2023-12-01,1.29,1.43,1.28,1.43,24935842.0,1.37746,29272
49,2023-12-04,1.38,1.44,1.35,1.4,21625289.0,1.39062,29636
50,2023-12-05,1.38,1.39,1.2814,1.3,22951266.0,1.33061,22757
51,2023-12-06,1.34,1.36,1.28,1.3,17426678.0,1.31937,20935
52,2023-12-07,1.31,1.34,1.28,1.33,11628373.0,1.31304,18669
53,2023-12-08,1.3,1.37,1.28,1.36,15976602.0,1.32868,16881
54,2023-12-11,1.35,1.38,1.32,1.36,12194047.0,1.35958,17169
55,2023-12-12,1.33,1.37,1.3,1.33,9993557.0,1.33355,12932
