,date,open,high,low,close,volume,average,barCount
0,2023-09-19,1.66,1.6791,1.58,1.61,15857288.0,1.61194,15703
1,2023-09-20,1.58,1.65,1.58,1.59,7815916.0,1.61662,8268
2,2023-09-21,1.55,1.6,1.53,1.57,5715379.0,1.57129,5740
3,2023-09-22,1.56,1.68,1.56,1.63,10937787.0,1.63828,10106
4,2023-09-25,1.63,1.73,1.61,1.72,13388140.0,1.69176,13177
5,2023-09-26,1.74,1.74,1.64,1.64,13537128.0,1.67603,12517
6,2023-09-27,1.68,1.72,1.63,1.67,12759767.0,1.67196,11447
7,2023-09-28,1.69,1.79,1.68,1.75,14809765.0,1.73453,13302
8,2023-09-29,1.79,1.79,1.65,1.65,18485232.0,1.68164,17620
9,2023-10-02,1.63,1.65,1.56,1.58,11283780.0,1.59097,11373
10,2023-10-03,1.56,1.65,1.56,1.58,9282672.0,1.58905,8918
11,2023-10-04,1.55,1.57,1.5,1.55,10021800.0,1.52889,9495
12,2023-10-05,1.54,1.6,1.53,1.56,6935875.0,1.56591,7659
13,2023-10-06,1.53,1.64,1.5211,1.6,6301684.0,1.60127,6516
14,2023-10-09,1.6,1.6085,1.53,1.57,2865322.0,1.56099,3420
15,2023-10-10,1.55,1.65,1.55,1.62,8486640.0,1.6168,8289
16,2023-10-11,1.5,1.51,1.47,1.48,33397259.0,1.48297,27952
17,2023-10-12,1.49,1.51,1.42,1.45,18105152.0,1.4666,12691
18,2023-10-13,1.45,1.49,1.43,1.46,12091171.0,1.46161,8615
19,2023-10-16,1.5,1.5,1.43,1.46,8557063.0,1.45469,6056
20,2023-10-17,1.44,1.51,1.4357,1.47,8659353.0,1.48529,7198
21,2023-10-18,1.49,1.52,1.47,1.5,4059259.0,1.49387,3909
22,2023-10-19,1.49,1.55,1.46,1.53,7556353.0,1.52307,6668
23,2023-10-20,1.52,1.5583,1.48,1.51,6969893.0,1.51437,7756
24,2023-10-23,1.52,1.54,1.47,1.52,7003934.0,1.51033,6886
25,2023-10-24,1.51,1.58,1.51,1.58,5711402.0,1.55649,5393
26,2023-10-25,1.59,1.635,1.57,1.58,6964207.0,1.59631,9491
27,2023-10-26,1.6,1.61,1.53,1.56,7098848.0,1.56189,7334
28,2023-10-27,1.56,1.58,1.51,1.53,6332850.0,1.54159,5705
29,2023-10-30,1.52,1.57,1.52,1.57,6603726.0,1.54543,5614
30,2023-10-31,1.58,1.62,1.56,1.62,12371716.0,1.60345,11175
31,2023-11-01,1.63,1.64,1.58,1.63,9026371.0,1.61884,9118
32,2023-11-02,1.63,1.66,1.6,1.65,10977341.0,1.63897,7753
33,2023-11-03,1.62,1.64,1.59,1.6,8325695.0,1.61592,7339
34,2023-11-06,1.6,1.61,1.53,1.54,6546898.0,1.55218,6210
35,2023-11-07,1.53,1.57,1.5,1.55,9320919.0,1.54475,8835
36,2023-11-08,1.54,1.56,1.5,1.51,5985613.0,1.52009,5871
37,2023-11-09,1.54,1.62,1.529,1.57,10332563.0,1.58367,8340
38,2023-11-10,1.58,1.61,1.525,1.59,7772061.0,1.56842,7669
39,2023-11-13,1.58,1.69,1.57,1.66,9566286.0,1.65665,8606
40,2023-11-14,1.68,1.7,1.6343,1.69,9808647.0,1.67209,8112
41,2023-11-15,1.69,1.69,1.64,1.68,5840603.0,1.66773,5417
42,2023-11-16,1.67,1.75,1.655,1.75,11148088.0,1.71171,7899
43,2023-11-17,1.76,1.8,1.74,1.78,11995934.0,1.77892,9685
44,2023-11-20,1.79,1.84,1.78,1.84,11401312.0,1.81839,10321
45,2023-11-21,1.85,1.86,1.79,1.84,9813634.0,1.81802,10166
46,2023-11-22,1.85,1.85,1.79,1.85,6681223.0,1.82923,8259
47,2023-11-24,1.85,1.89,1.835,1.85,2799221.0,1.86245,3334
48,2023-11-27,1.82,1.88,1.82,1.88,5766507.0,1.86407,7431
49,2023-11-28,1.87,1.88,1.82,1.83,6542633.0,1.84073,6158
50,2023-11-29,1.82,1.82,1.74,1.74,7763437.0,1.76861,7315
51,2023-11-30,1.74,1.85,1.73,1.83,11851120.0,1.80605,13080
52,2023-12-01,1.81,1.87,1.79,1.8,8046993.0,1.82363,9538
53,2023-12-04,1.84,1.87,1.82,1.86,9467188.0,1.8493,9248
54,2023-12-05,1.86,1.86,1.8,1.82,7697278.0,1.83228,7615
55,2023-12-06,1.81,1.855,1.79,1.8,10110502.0,1.81613,6786
56,2023-12-07,1.79,1.83,1.77,1.81,8032971.0,1.80172,6849
57,2023-12-08,1.82,1.86,1.8,1.85,9076262.0,1.83983,6612
58,2023-12-11,1.84,1.85,1.79,1.83,9001483.0,1.81395,12134
59,2023-12-12,1.84,1.84,1.76,1.81,10632868.0,1.7971,9976
60,2023-12-13,1.82,1.83,1.75,1.79,13714132.0,1.78378,10315
61,2023-12-14,1.78,1.85,1.72,1.84,17203930.0,1.78816,12201
62,2023-12-15,1.85,1.85,1.76,1.76,10223320.0,1.79637,6974
63,2023-12-18,1.8,1.86,1.79,1.79,9988935.0,1.81332,7839
64,2023-12-19,1.78,1.79,1.7,1.7,21348664.0,1.74205,11507
65,2023-12-20,1.72,1.74,1.665,1.7,16681490.0,1.70514,11811
66,2023-12-21,1.74,1.79,1.72,1.79,20943229.0,1.75293,15218
67,2023-12-22,1.77,1.81,1.73,1.73,13591812.0,1.76547,12678
68,2023-12-26,1.75,1.77,1.72,1.77,3449554.0,1.74253,3406
69,2023-12-27,1.76,1.79,1.74,1.76,9180813.0,1.7597,7787
70,2023-12-28,1.76,1.76,1.7,1.71,8981478.0,1.72402,6151
71,2023-12-29,1.72,1.77,1.71,1.77,8213962.0,1.74597,6708
72,2024-01-02,1.78,1.78,1.69,1.69,11318359.0,1.71881,9627
73,2024-01-03,1.7,1.74,1.67,1.67,11952624.0,1.69818,10162
74,2024-01-04,1.69,1.73,1.67,1.69,6856136.0,1.70307,6302
75,2024-01-05,1.71,1.73,1.66,1.66,6929952.0,1.68564,5259
76,2024-01-08,1.65,1.68,1.63,1.67,7152034.0,1.65674,6458
77,2024-01-09,1.66,1.79,1.64,1.77,15761729.0,1.73169,11689
78,2024-01-10,1.8,1.83,1.74,1.77,12067290.0,1.78197,11191
79,2024-01-11,1.77,1.8,1.7201,1.8,14011006.0,1.77609,12405
80,2024-01-12,1.87,1.99,1.86,1.98,34400139.0,1.94322,25362
81,2024-01-16,2.04,2.12,1.98,2.0,34933385.0,2.03198,27420
82,2024-01-17,2.01,2.03,1.96,2.01,21053453.0,2.00412,20439
83,2024-01-18,2.03,2.04,1.97,2.01,9696955.0,1.999,9255
84,2024-01-19,2.01,2.0292,1.95,1.96,10229949.0,1.97881,8023
85,2024-01-22,1.94,1.98,1.91,1.91,10108130.0,1.9431,8315
