,date,open,high,low,close,volume,average,barCount
0,2023-09-25,11.4,11.8,11.4,11.79,285121.0,11.691,1709
1,2023-09-26,11.73,11.89,11.63,11.67,267592.0,11.72,2004
2,2023-09-27,11.79,12.2,11.79,12.12,421171.0,12.074,2600
3,2023-09-28,12.37,12.66,12.2,12.3,502229.0,12.395,2968
4,2023-09-29,12.3,12.3,11.86,11.87,278062.0,12.011,1979
5,2023-10-02,11.86,11.86,11.49,11.52,718406.0,11.567,3634
6,2023-10-03,11.46,11.58,11.35,11.5,331298.0,11.441,2378
7,2023-10-04,11.41,11.65,11.38,11.62,395229.0,11.573,2782
8,2023-10-05,11.49,11.73,11.47,11.48,377196.0,11.591,1885
9,2023-10-06,11.48,11.66,11.31,11.48,196876.0,11.519,1255
10,2023-10-09,11.53,11.85,11.53,11.76,153883.0,11.726,1045
11,2023-10-10,11.76,12.06,11.76,11.96,261380.0,11.969,1951
12,2023-10-11,11.94,12.03,11.82,11.9,164703.0,11.914,1039
13,2023-10-12,12.0,12.01,11.7,11.81,148296.0,11.848,1135
14,2023-10-13,11.9,11.96,11.75,11.8,170743.0,11.814,1287
15,2023-10-16,11.91,12.06,11.83,12.04,147305.0,11.981,1122
16,2023-10-17,11.99,12.23,11.99,12.14,187445.0,12.169,1304
17,2023-10-18,11.99,12.0,11.8,11.83,160286.0,11.87,1223
18,2023-10-19,11.77,11.9,11.65,11.73,270499.0,11.781,1597
19,2023-10-20,11.75,11.8,11.31,11.39,430931.0,11.474,2369
20,2023-10-23,11.3,11.44,11.21,11.27,314146.0,11.317,2094
21,2023-10-24,11.4,11.43,11.09,11.09,272804.0,11.214,1614
22,2023-10-25,11.03,11.16,10.89,10.93,255754.0,10.95,1964
23,2023-10-26,10.96,11.08,10.81,10.91,375451.0,10.959,2538
24,2023-10-27,10.92,10.99,10.76,10.85,335846.0,10.837,2408
25,2023-10-30,10.99,11.17,10.71,11.06,471440.0,10.982,3064
26,2023-10-31,11.03,11.12,10.94,11.02,202059.0,11.008,1426
27,2023-11-01,10.96,11.23,10.92,11.19,270585.0,11.158,2105
28,2023-11-02,10.94,11.01,10.31,10.69,479920.0,10.609,3121
29,2023-11-03,10.92,11.13,10.68,10.83,371768.0,10.876,2545
30,2023-11-06,10.8,10.82,10.45,10.5,471105.0,10.54,2663
31,2023-11-07,10.4,10.41,10.24,10.37,442267.0,10.341,2410
32,2023-11-08,10.32,10.4,10.21,10.24,235955.0,10.268,1653
33,2023-11-09,10.35,10.37,10.12,10.15,343639.0,10.264,2311
34,2023-11-10,10.23,10.3,10.15,10.29,288466.0,10.256,1865
35,2023-11-13,10.24,10.37,10.22,10.29,223476.0,10.278,1469
36,2023-11-14,10.56,10.73,10.47,10.73,442750.0,10.637,2951
37,2023-11-15,10.71,10.86,10.58,10.61,604827.0,10.699,3353
38,2023-11-16,10.61,10.61,10.01,10.1,434540.0,10.159,2828
39,2023-11-17,10.24,10.37,10.14,10.33,342704.0,10.296,2044
40,2023-11-20,10.34,10.5,10.31,10.4,590078.0,10.405,3200
41,2023-11-21,10.4,10.44,10.17,10.25,459633.0,10.264,2794
42,2023-11-22,10.22,10.45,10.09,10.39,251574.0,10.355,1814
43,2023-11-24,10.41,10.47,10.35,10.36,55882.0,10.406,425
44,2023-11-27,10.27,10.31,10.14,10.17,336550.0,10.193,2099
45,2023-11-28,10.16,10.16,9.8,9.82,338929.0,9.929,2124
46,2023-11-29,9.92,9.98,9.81,9.88,535123.0,9.879,2979
47,2023-11-30,9.96,10.15,9.89,9.97,463142.0,9.984,2440
48,2023-12-01,9.87,10.23,9.85,10.19,527184.0,10.141,3344
49,2023-12-04,10.09,10.6,10.06,10.56,629535.0,10.446,3901
50,2023-12-05,10.56,10.57,10.32,10.52,813657.0,10.481,4767
51,2023-12-06,10.53,10.78,10.48,10.5,623109.0,10.585,4195
52,2023-12-07,10.58,10.68,10.45,10.68,581054.0,10.557,3867
53,2023-12-08,10.77,10.89,10.65,10.85,543650.0,10.819,3547
54,2023-12-11,10.85,11.03,10.8,10.95,591617.0,10.928,3771
55,2023-12-12,10.91,10.91,10.47,10.56,547263.0,10.61,3390
56,2023-12-13,10.6,10.76,10.27,10.73,642381.0,10.527,4431
57,2023-12-14,10.84,11.18,10.83,10.89,922379.0,10.934,6275
58,2023-12-15,10.99,11.12,10.75,11.04,1410432.0,10.951,7122
59,2023-12-18,11.01,11.25,10.83,10.89,382842.0,10.987,2785
60,2023-12-19,11.01,11.21,11.0,11.19,375747.0,11.138,2723
61,2023-12-20,11.25,11.57,11.17,11.21,392470.0,11.391,2659
62,2023-12-21,11.32,11.48,11.14,11.47,406131.0,11.351,2526
63,2023-12-22,11.54,11.65,11.37,11.47,217642.0,11.478,1656
64,2023-12-26,11.57,11.7,11.43,11.65,191636.0,11.609,1386
65,2023-12-27,11.67,11.74,11.51,11.56,205666.0,11.596,1427
66,2023-12-28,11.54,11.57,11.35,11.46,240396.0,11.452,1749
67,2023-12-29,11.42,11.43,11.29,11.32,191774.0,11.33,1366
68,2024-01-02,11.26,11.42,11.1,11.13,325068.0,11.202,2240
69,2024-01-03,11.07,11.14,10.93,10.94,507071.0,11.044,3316
70,2024-01-04,11.0,11.06,10.67,10.73,460809.0,10.766,3125
71,2024-01-05,10.71,10.84,10.64,10.7,274263.0,10.742,1982
72,2024-01-08,10.63,10.63,10.34,10.43,296939.0,10.438,2115
73,2024-01-09,10.27,10.27,10.02,10.05,476951.0,10.099,3298
74,2024-01-10,9.99,10.21,9.99,10.15,336987.0,10.119,2414
75,2024-01-11,10.15,10.15,9.97,10.1,354454.0,10.048,2556
76,2024-01-12,10.29,10.29,9.91,9.97,373761.0,10.001,2739
77,2024-01-16,9.92,9.95,9.67,9.69,320549.0,9.748,2228
78,2024-01-17,9.51,9.72,9.47,9.56,510252.0,9.586,3512
79,2024-01-18,9.65,9.77,9.56,9.76,278864.0,9.676,1957
80,2024-01-19,9.75,9.75,9.54,9.63,499060.0,9.649,2898
81,2024-01-22,9.7,9.98,9.6,9.85,533616.0,9.837,3570
82,2024-01-23,9.97,10.17,9.82,9.86,469767.0,9.924,3206
83,2024-01-24,10.01,10.04,9.75,10.04,1037064.0,9.938,5008
84,2024-01-25,10.21,10.27,9.92,10.19,596850.0,10.121,4143
85,2024-01-26,10.24,10.28,10.04,10.11,281879.0,10.121,2157
86,2024-01-29,10.08,10.2,9.96,10.2,358866.0,10.109,2264
87,2024-01-30,10.05,10.33,10.04,10.33,628784.0,10.221,2986
88,2024-01-31,10.37,10.46,10.08,10.09,739842.0,10.227,4872
89,2024-02-01,10.13,10.24,9.98,10.22,676883.0,10.131,4872
