,date,open,high,low,close,volume,average,barCount
0,2023-09-25,13.06,13.06,12.78,12.85,1461142.0,12.895,7615
1,2023-09-26,12.75,12.95,12.47,12.5,1064928.0,12.645,6630
2,2023-09-27,12.52,12.68,12.17,12.46,2206710.0,12.372,11433
3,2023-09-28,12.46,12.77,12.35,12.61,1047908.0,12.591,6768
4,2023-09-29,12.75,12.87,12.5,12.59,620195.0,12.61,4172
5,2023-10-02,12.52,12.61,12.03,12.06,818539.0,12.197,5254
6,2023-10-03,11.94,12.04,11.87,11.99,1186307.0,11.961,7672
7,2023-10-04,11.99,12.16,11.72,11.9,757618.0,11.886,5239
8,2023-10-05,11.91,11.94,11.47,11.62,743245.0,11.6,4320
9,2023-10-06,11.45,11.78,11.3,11.68,786577.0,11.634,4953
10,2023-10-09,11.56,11.73,11.39,11.67,723230.0,11.57,4531
11,2023-10-10,11.71,12.09,11.57,11.98,787426.0,11.951,5219
12,2023-10-11,12.02,12.06,11.45,11.56,590405.0,11.603,3801
13,2023-10-12,11.59,11.7,11.06,11.11,690932.0,11.196,4321
14,2023-10-13,11.12,11.26,11.05,11.25,690458.0,11.171,4653
15,2023-10-16,11.38,11.89,11.28,11.67,839903.0,11.702,5468
16,2023-10-17,11.54,11.99,11.5,11.73,1010610.0,11.767,6227
17,2023-10-18,11.68,11.69,11.28,11.31,578361.0,11.361,3965
18,2023-10-19,11.3,11.49,11.14,11.31,681871.0,11.309,4840
19,2023-10-20,11.22,11.5,11.17,11.31,503200.0,11.366,3509
20,2023-10-23,11.2,11.35,11.02,11.19,665043.0,11.204,4364
21,2023-10-24,11.22,11.39,11.09,11.22,647434.0,11.233,4351
22,2023-10-25,11.16,11.26,11.05,11.1,544253.0,11.12,4096
23,2023-10-26,11.1,11.37,11.01,11.3,2409334.0,11.162,6255
24,2023-10-27,11.38,11.46,10.98,11.0,625716.0,11.131,4366
25,2023-10-30,11.07,11.2,10.98,11.15,662907.0,11.089,4888
26,2023-10-31,11.17,11.47,11.16,11.38,1113421.0,11.369,7226
27,2023-11-01,11.39,11.7,10.6,10.93,2142602.0,10.973,14160
28,2023-11-02,11.26,11.86,11.22,11.68,1320596.0,11.681,9233
29,2023-11-03,11.8,12.1,11.67,11.79,988524.0,11.811,6869
30,2023-11-06,11.79,11.86,11.46,11.53,1037108.0,11.549,6625
31,2023-11-07,11.49,11.86,11.29,11.6,638536.0,11.515,4249
32,2023-11-08,11.61,11.61,11.42,11.5,560160.0,11.525,3862
33,2023-11-09,11.55,11.58,11.32,11.46,894056.0,11.469,5613
34,2023-11-10,11.36,11.53,11.29,11.35,564106.0,11.351,3453
35,2023-11-13,11.26,11.45,11.24,11.36,575204.0,11.347,3836
36,2023-11-14,11.76,12.5,11.76,12.4,970143.0,12.293,5662
37,2023-11-15,12.37,12.68,12.36,12.39,668314.0,12.442,4622
38,2023-11-16,12.38,12.68,12.07,12.39,881490.0,12.252,5953
39,2023-11-17,12.5,12.69,12.42,12.54,746529.0,12.549,4832
40,2023-11-20,12.52,12.79,12.38,12.74,973390.0,12.699,5371
41,2023-11-21,12.68,12.95,12.51,12.92,1397157.0,12.779,7042
42,2023-11-22,13.05,13.53,12.98,13.2,1021376.0,13.338,7132
43,2023-11-24,13.17,13.55,13.0,13.42,374087.0,13.437,2999
