,date,open,high,low,close,volume,average,barCount
0,2023-10-06,161.54,166.25,160.77,164.24,313191.0,164.119,2204
1,2023-10-09,162.44,174.54,162.44,174.24,514521.0,170.444,3314
2,2023-10-10,175.0,179.02,173.03,175.59,225991.0,176.6,1520
3,2023-10-11,178.0,179.84,171.59,173.0,250088.0,174.414,1790
4,2023-10-12,174.58,177.5,170.18,175.12,243363.0,174.522,1629
5,2023-10-13,174.86,174.94,159.75,160.1,398766.0,164.603,2775
6,2023-10-16,161.64,167.6,160.65,167.2,338100.0,164.421,2093
7,2023-10-17,166.48,172.89,165.21,170.8,230948.0,170.4,1669
8,2023-10-18,169.64,171.39,164.33,166.4,116413.0,167.212,842
9,2023-10-19,167.0,168.89,149.28,152.96,1073380.0,155.726,6493
10,2023-10-20,151.4,153.83,148.14,153.63,543162.0,151.138,3756
11,2023-10-23,150.5,162.97,150.5,159.16,300265.0,159.148,2253
12,2023-10-24,159.98,163.25,157.8,160.77,259896.0,160.198,1936
13,2023-10-25,159.89,161.34,151.34,151.85,228253.0,153.854,1761
14,2023-10-26,150.0,151.7,140.16,142.04,651843.0,143.262,4901
15,2023-10-27,144.53,148.02,141.75,143.57,244032.0,144.352,1672
16,2023-10-30,145.45,146.36,141.13,143.36,231109.0,142.878,1848
17,2023-10-31,144.0,146.73,141.5,146.05,245263.0,144.821,1720
18,2023-11-01,147.67,149.0,144.16,148.62,133714.0,146.832,992
19,2023-11-02,153.76,154.95,149.16,150.1,245566.0,151.243,1910
20,2023-11-03,152.0,163.17,152.0,159.33,365798.0,159.685,2736
21,2023-11-06,160.81,161.89,151.1,157.34,340508.0,156.038,2572
22,2023-11-07,157.5,166.86,157.5,164.53,539809.0,164.307,3423
23,2023-11-08,166.25,167.5,162.1,167.27,599617.0,165.822,4265
24,2023-11-09,185.0,203.51,184.0,203.02,2384869.0,195.424,14140
25,2023-11-10,203.45,217.16,198.22,211.53,1035274.0,210.106,7098
26,2023-11-13,207.07,214.72,202.6,213.32,868927.0,208.564,5428
27,2023-11-14,218.0,223.0,212.59,219.31,526277.0,217.06,3189
28,2023-11-15,219.64,219.98,204.09,205.06,835885.0,208.655,5603
29,2023-11-16,204.15,209.18,199.07,207.94,444934.0,206.052,3410
30,2023-11-17,208.49,214.2,205.0,211.65,398958.0,211.198,2307
31,2023-11-20,210.93,219.32,210.93,216.41,316931.0,215.806,2200
32,2023-11-21,214.0,217.88,210.02,214.93,224902.0,214.415,1698
33,2023-11-22,216.99,219.97,212.5,218.57,399139.0,216.922,1712
34,2023-11-24,217.16,222.49,217.16,221.46,134058.0,220.783,942
35,2023-11-27,220.78,226.8,220.55,221.74,341376.0,223.631,2230
36,2023-11-28,220.48,222.58,217.69,221.24,160533.0,220.696,1162
37,2023-11-29,222.34,226.0,216.55,219.51,227946.0,220.346,1611
38,2023-11-30,220.05,221.39,208.72,212.29,433877.0,212.129,2805
39,2023-12-01,212.5,215.52,206.62,213.3,284450.0,212.65,1985
40,2023-12-04,212.68,220.99,208.89,216.98,285015.0,216.447,1885
41,2023-12-05,215.1,220.7,211.01,219.31,122530.0,218.014,880
42,2023-12-06,221.92,225.0,211.5,212.85,253524.0,215.788,1606
43,2023-12-07,214.67,214.67,209.34,211.42,159688.0,211.83,875
44,2023-12-08,209.0,219.0,208.02,214.75,209469.0,215.674,1124
45,2023-12-11,214.65,219.76,210.5,216.13,343957.0,216.285,2394
46,2023-12-12,216.73,231.0,215.31,226.28,788704.0,225.03,4969
47,2023-12-13,227.5,234.7,225.33,233.07,376004.0,230.391,2545
48,2023-12-14,234.55,239.75,227.62,234.69,359638.0,233.125,2344
49,2023-12-15,236.3,237.61,228.89,231.49,260829.0,233.951,1387
50,2023-12-18,231.27,241.75,229.16,240.2,291811.0,238.549,1841
51,2023-12-19,243.92,245.87,240.58,241.21,296588.0,243.328,2179
52,2023-12-20,239.69,241.11,233.26,234.75,280988.0,238.039,2026
53,2023-12-21,239.47,241.93,234.72,238.58,212865.0,237.453,1498
54,2023-12-22,239.06,239.06,234.99,238.25,90939.0,237.394,593
55,2023-12-26,239.28,244.47,228.38,233.67,179108.0,233.744,1230
56,2023-12-27,235.31,239.04,234.48,236.31,85296.0,235.934,706
57,2023-12-28,236.28,237.0,232.69,233.09,95550.0,233.966,728
58,2023-12-29,233.1,236.0,225.39,226.85,156655.0,228.426,1144
59,2024-01-02,224.65,226.19,209.52,214.35,461114.0,215.143,3080
60,2024-01-03,210.85,211.71,203.92,206.26,223591.0,207.146,1702
61,2024-01-04,206.12,211.01,204.03,205.68,220594.0,207.495,1486
62,2024-01-05,204.01,211.02,203.38,204.13,231252.0,206.0,1568
63,2024-01-08,204.0,215.16,203.99,210.4,351083.0,210.843,2515
64,2024-01-09,208.28,214.54,207.3,210.69,179088.0,211.827,1251
65,2024-01-10,212.49,218.99,210.1,215.73,195812.0,215.61,1286
66,2024-01-11,216.2,218.7,209.19,214.69,126289.0,213.596,947
67,2024-01-12,214.63,216.49,210.0,212.01,184139.0,212.514,1478
68,2024-01-16,210.49,214.38,209.51,210.37,146799.0,211.352,1104
69,2024-01-17,206.41,206.69,188.01,201.58,612320.0,197.725,3984
70,2024-01-18,205.2,207.19,196.01,199.81,283416.0,199.215,2038
71,2024-01-19,191.61,194.67,182.7,194.6,632646.0,190.193,4373
72,2024-01-22,198.92,203.51,192.33,196.64,264005.0,197.258,1936
73,2024-01-23,199.0,199.0,190.1,192.55,175351.0,192.39,1395
74,2024-01-24,196.0,196.67,189.62,190.57,154512.0,192.394,1147
75,2024-01-25,192.99,193.0,187.23,191.97,247411.0,189.944,1786
76,2024-01-26,192.73,194.4,191.24,192.89,180326.0,192.907,1543
77,2024-01-29,192.76,194.73,190.24,192.77,362016.0,192.496,1623
78,2024-01-30,192.0,193.97,184.37,187.18,252474.0,187.239,1652
79,2024-01-31,184.96,186.18,178.71,178.89,227939.0,182.196,1735
80,2024-02-01,182.0,182.08,174.71,181.44,327327.0,178.492,2570
81,2024-02-02,178.86,183.63,178.14,178.89,178032.0,180.431,1445
82,2024-02-05,179.0,180.2,175.48,178.25,187222.0,177.586,1396
83,2024-02-06,179.0,185.77,178.18,178.99,192577.0,180.601,1521
84,2024-02-07,178.26,182.59,175.65,182.47,199719.0,180.332,1474
85,2024-02-08,184.12,187.97,182.54,185.26,188034.0,185.215,1535
86,2024-02-09,185.96,194.47,185.35,191.74,307548.0,191.873,2160
87,2024-02-12,193.13,197.56,188.83,189.34,240568.0,193.756,1870
88,2024-02-13,182.14,187.81,178.44,183.13,234376.0,183.99,1712
89,2024-02-14,186.26,189.12,184.0,188.52,40002.0,186.825,297
