,date,open,high,low,close,volume,average,barCount
0,2023-10-06,84.15,85.23,82.83,84.53,117125.0,84.321,873
1,2023-10-09,83.83,85.5,83.01,85.12,131575.0,84.636,1077
2,2023-10-10,85.37,89.35,85.37,88.28,122851.0,88.311,1005
3,2023-10-11,88.38,88.78,85.97,86.29,84589.0,86.963,639
4,2023-10-12,86.37,87.22,84.67,86.08,94522.0,86.085,706
5,2023-10-13,85.95,86.04,83.01,83.42,65684.0,83.785,491
6,2023-10-16,84.17,85.34,83.25,83.87,110882.0,83.847,780
7,2023-10-17,83.56,85.93,83.5,84.45,73894.0,84.938,571
8,2023-10-18,83.39,83.39,81.3,81.36,132453.0,82.121,976
9,2023-10-19,81.82,83.2,80.3,82.26,202567.0,81.819,1352
10,2023-10-20,85.49,86.14,83.09,84.65,234494.0,84.788,1531
11,2023-10-23,84.27,87.51,84.27,85.53,145025.0,86.216,1200
12,2023-10-24,86.59,87.6,82.93,83.87,98373.0,84.28,718
13,2023-10-25,83.46,84.72,82.7,84.27,88012.0,84.049,644
14,2023-10-26,85.14,85.76,83.36,85.08,102272.0,84.776,794
15,2023-10-27,85.22,85.83,84.04,84.67,106006.0,84.814,791
16,2023-10-30,85.32,85.32,80.38,82.65,148677.0,82.238,1138
17,2023-10-31,83.05,85.68,82.65,85.18,100506.0,84.674,791
18,2023-11-01,81.09,82.96,78.42,81.8,291082.0,80.925,2096
19,2023-11-02,83.04,84.07,79.75,84.02,197778.0,82.429,1433
20,2023-11-03,85.48,86.55,83.37,84.4,97119.0,84.417,762
21,2023-11-06,84.05,84.64,82.12,83.38,65170.0,82.98,468
22,2023-11-07,82.6,83.09,81.22,81.74,97903.0,81.901,697
23,2023-11-08,82.22,83.1,80.65,83.02,174621.0,81.915,1240
24,2023-11-09,84.05,84.05,81.76,81.77,70407.0,82.549,547
25,2023-11-10,82.76,83.58,80.99,83.37,163699.0,82.242,1343
26,2023-11-13,83.05,83.75,82.7,83.21,90203.0,83.18,636
27,2023-11-14,85.52,86.94,85.52,86.48,119762.0,86.341,908
28,2023-11-15,86.79,89.38,86.44,87.66,154031.0,87.795,1178
29,2023-11-16,87.15,88.36,85.08,85.33,83891.0,85.634,607
