,date,open,high,low,close,volume,average,barCount
0,2023-09-25,7.05,7.24,7.03,7.2,1195141.0,7.164,5402
1,2023-09-26,7.38,7.56,7.25,7.26,1380229.0,7.386,6349
2,2023-09-27,7.19,7.23,6.86,7.0,1688946.0,6.964,6300
3,2023-09-28,7.02,7.2,6.94,7.15,934701.0,7.119,4596
4,2023-09-29,7.26,7.32,7.22,7.31,974167.0,7.275,4524
5,2023-10-02,7.26,7.26,7.08,7.09,707815.0,7.151,3659
6,2023-10-03,7.05,7.09,6.79,6.83,1294372.0,6.899,5170
7,2023-10-04,6.85,6.93,6.73,6.84,623173.0,6.833,2674
8,2023-10-05,6.82,6.89,6.66,6.73,695846.0,6.741,2812
9,2023-10-06,6.58,6.75,6.45,6.72,1277068.0,6.651,4744
10,2023-10-09,6.6,6.93,6.6,6.88,893018.0,6.797,3355
11,2023-10-10,7.01,7.16,6.97,7.16,719418.0,7.106,3269
12,2023-10-11,7.13,7.2,7.08,7.18,601743.0,7.133,2734
13,2023-10-12,7.16,7.21,6.98,7.01,404743.0,7.066,1718
14,2023-10-13,7.13,7.19,6.95,6.99,1440044.0,7.017,5916
15,2023-10-16,7.01,7.09,6.95,7.04,437530.0,7.019,2051
16,2023-10-17,6.97,7.1,6.88,6.96,1757477.0,6.95,6485
17,2023-10-18,6.82,6.82,6.65,6.68,903561.0,6.702,3487
18,2023-10-19,6.67,6.86,6.67,6.73,741949.0,6.762,3056
19,2023-10-20,6.71,6.82,6.66,6.76,1203972.0,6.738,4293
20,2023-10-23,6.75,6.92,6.72,6.79,492663.0,6.835,2193
21,2023-10-24,6.85,6.99,6.84,6.92,1056557.0,6.918,4747
22,2023-10-25,6.91,6.91,6.77,6.85,693862.0,6.817,3129
23,2023-10-26,6.93,7.03,6.87,7.02,427686.0,6.959,2056
24,2023-10-27,7.2,7.26,6.8,6.84,981754.0,6.995,4546
25,2023-10-30,6.99,7.06,6.75,6.8,927980.0,6.858,3656
26,2023-10-31,6.76,6.89,6.75,6.85,833388.0,6.847,3300
27,2023-11-01,6.91,7.27,6.91,7.23,844142.0,7.149,3868
28,2023-11-02,7.33,7.41,7.28,7.34,915958.0,7.351,3088
29,2023-11-03,7.51,7.62,7.41,7.53,1509210.0,7.515,6019
30,2023-11-06,7.42,7.58,7.41,7.54,931756.0,7.516,4080
31,2023-11-07,7.69,7.8,7.66,7.68,1461824.0,7.728,6620
32,2023-11-08,7.76,7.84,7.53,7.61,1648678.0,7.663,7897
33,2023-11-09,7.69,7.73,7.49,7.52,1126364.0,7.579,5018
34,2023-11-10,7.63,7.71,7.55,7.6,637996.0,7.6,2798
35,2023-11-13,7.58,7.8,7.56,7.78,533906.0,7.709,2360
36,2023-11-14,8.01,8.13,7.99,8.1,701210.0,8.083,3037
37,2023-11-15,8.13,8.23,7.97,8.14,1090293.0,8.17,4391
38,2023-11-16,8.26,8.34,8.14,8.33,985607.0,8.275,4215
39,2023-11-17,8.24,8.4,8.21,8.23,773764.0,8.257,2821
40,2023-11-20,8.24,8.39,8.24,8.36,663460.0,8.315,2983
41,2023-11-21,8.25,8.3,8.13,8.18,611684.0,8.186,2571
