,date,open,high,low,close,volume,average,barCount
0,2023-09-25,14.75,14.81,14.7,14.73,267253.0,14.767,828
1,2023-09-26,14.67,14.72,14.5,14.56,202739.0,14.589,890
2,2023-09-27,14.56,14.64,14.52,14.58,651921.0,14.596,1693
3,2023-09-28,14.61,14.78,14.42,14.76,459466.0,14.717,1271
4,2023-09-29,14.83,14.96,14.74,14.79,379730.0,14.858,1171
5,2023-10-02,14.7,14.89,14.7,14.74,286924.0,14.79,1076
6,2023-10-03,14.65,14.73,14.42,14.44,195046.0,14.533,732
7,2023-10-04,14.51,14.61,14.48,14.59,318127.0,14.538,1038
8,2023-10-05,14.52,14.64,14.44,14.52,239608.0,14.533,1252
9,2023-10-06,14.47,14.8,14.46,14.73,299798.0,14.715,1072
10,2023-10-09,14.73,14.86,14.68,14.82,147885.0,14.784,685
11,2023-10-10,14.84,14.84,14.72,14.81,291508.0,14.795,1322
12,2023-10-11,14.91,14.93,14.8,14.9,225059.0,14.85,1046
13,2023-10-12,14.87,14.95,14.79,14.81,332286.0,14.912,1054
14,2023-10-13,14.71,14.78,14.59,14.63,166240.0,14.689,803
15,2023-10-16,14.73,14.85,14.64,14.83,576917.0,14.786,2097
16,2023-10-17,14.69,14.76,14.57,14.57,465276.0,14.69,2121
17,2023-10-18,14.49,14.55,14.42,14.43,326378.0,14.471,1525
18,2023-10-19,14.5,14.55,14.36,14.36,377160.0,14.444,1566
19,2023-10-20,14.29,14.37,14.24,14.29,121748.0,14.293,546
20,2023-10-23,14.23,14.35,14.14,14.28,322974.0,14.276,1260
21,2023-10-24,14.28,14.46,14.28,14.42,256727.0,14.388,1154
22,2023-10-25,14.3,14.3,14.15,14.16,207335.0,14.21,912
23,2023-10-26,14.2,14.2,14.03,14.12,286692.0,14.106,1220
24,2023-10-27,14.16,14.21,14.02,14.04,194264.0,14.117,826
25,2023-10-30,14.05,14.25,14.05,14.21,290860.0,14.162,1143
26,2023-10-31,14.29,14.33,14.21,14.3,439475.0,14.267,1486
27,2023-11-01,14.35,14.59,14.35,14.51,443706.0,14.465,1601
28,2023-11-02,14.59,14.74,14.59,14.69,344278.0,14.692,1192
29,2023-11-03,14.73,14.99,14.73,14.9,337386.0,14.886,1310
30,2023-11-06,15.03,15.03,14.82,14.87,182711.0,14.91,688
31,2023-11-07,14.92,14.94,14.81,14.87,216528.0,14.869,789
32,2023-11-08,14.97,15.02,14.9,14.97,439313.0,14.942,723
33,2023-11-09,14.95,14.95,14.82,14.88,311096.0,14.898,1488
34,2023-11-10,14.94,15.14,14.94,15.11,203708.0,15.043,918
35,2023-11-13,15.03,15.18,15.03,15.15,469298.0,15.13,1523
36,2023-11-14,15.14,15.34,15.14,15.31,354025.0,15.258,1556
37,2023-11-15,15.31,15.41,15.31,15.35,336084.0,15.361,1408
38,2023-11-16,15.3,15.41,15.27,15.34,247020.0,15.317,1010
39,2023-11-17,15.32,15.39,15.21,15.38,269980.0,15.321,1021
40,2023-11-20,15.33,15.56,15.33,15.55,489046.0,15.492,1748
41,2023-11-21,15.45,15.59,15.44,15.44,292566.0,15.513,894
42,2023-11-22,15.48,15.57,15.42,15.42,224657.0,15.478,801
43,2023-11-24,15.46,15.48,15.44,15.45,46596.0,15.457,177
44,2023-11-27,15.49,15.53,15.42,15.48,580047.0,15.457,1560
45,2023-11-28,15.46,15.58,15.45,15.54,264976.0,15.545,729
46,2023-11-29,15.55,15.67,15.55,15.61,394729.0,15.633,1155
47,2023-11-30,15.7,15.7,15.57,15.61,436675.0,15.612,1586
48,2023-12-01,15.52,15.82,15.52,15.81,344366.0,15.727,1245
49,2023-12-04,15.76,15.79,15.71,15.77,339756.0,15.761,1483
50,2023-12-05,15.67,15.8,15.67,15.76,555569.0,15.763,1229
51,2023-12-06,15.78,15.89,15.76,15.77,310027.0,15.832,901
52,2023-12-07,15.81,15.94,15.77,15.91,323898.0,15.865,972
53,2023-12-08,15.85,15.98,15.85,15.91,316923.0,15.937,1038
54,2023-12-11,15.86,15.99,15.86,15.95,380636.0,15.934,1516
55,2023-12-12,15.9,16.04,15.9,15.98,283908.0,15.988,1251
56,2023-12-13,16.08,16.12,16.0,16.12,677118.0,16.07,1886
57,2023-12-14,15.98,16.14,15.98,16.05,402555.0,16.07,1301
58,2023-12-15,16.05,16.09,16.01,16.06,277741.0,16.057,1175
59,2023-12-18,16.1,16.22,16.09,16.18,317828.0,16.144,1261
60,2023-12-19,16.18,16.3,16.18,16.26,821446.0,16.274,2873
61,2023-12-20,16.26,16.32,16.05,16.06,423183.0,16.245,1223
62,2023-12-21,16.1,16.28,16.1,16.24,381662.0,16.197,1384
63,2023-12-22,16.27,16.43,16.27,16.33,218951.0,16.344,1128
64,2023-12-26,16.3,16.43,16.3,16.42,479525.0,16.374,1386
65,2023-12-27,16.4,16.45,16.35,16.42,562434.0,16.419,1629
66,2023-12-28,16.36,16.45,16.29,16.36,672440.0,16.371,2756
67,2023-12-29,16.34,16.37,16.06,16.13,459562.0,16.151,1677
68,2024-01-02,16.05,16.16,16.01,16.12,299398.0,16.11,1217
69,2024-01-03,16.04,16.18,16.01,16.08,285220.0,16.077,1111
70,2024-01-04,16.05,16.2,16.04,16.18,139304.0,16.162,420
71,2024-01-05,16.25,16.28,16.14,16.22,220920.0,16.209,862
72,2024-01-08,16.27,16.43,16.27,16.43,214397.0,16.348,1056
73,2024-01-09,16.39,16.41,16.25,16.37,259615.0,16.328,801
74,2024-01-10,16.43,16.48,16.38,16.48,249245.0,16.43,716
75,2024-01-11,16.39,16.39,16.18,16.24,255831.0,16.258,946
76,2024-01-12,16.3,16.39,16.25,16.27,188000.0,16.3,790
77,2024-01-16,16.22,16.31,16.19,16.23,346935.0,16.269,1136
78,2024-01-17,16.11,16.27,16.09,16.19,348435.0,16.132,1270
79,2024-01-18,16.21,16.33,16.16,16.19,342140.0,16.232,1375
80,2024-01-19,16.21,16.32,16.18,16.3,196656.0,16.284,843
81,2024-01-22,16.34,16.44,16.34,16.38,162903.0,16.42,686
82,2024-01-23,16.38,16.46,16.34,16.45,202217.0,16.428,762
83,2024-01-24,16.46,16.63,16.46,16.59,283365.0,16.571,1145
84,2024-01-25,16.66,16.75,16.61,16.62,347764.0,16.66,691
85,2024-01-26,16.62,16.75,16.62,16.71,370243.0,16.699,941
86,2024-01-29,16.74,16.85,16.74,16.82,290102.0,16.792,973
87,2024-01-30,16.82,16.82,16.62,16.66,203568.0,16.665,671
88,2024-01-31,16.66,16.67,16.39,16.4,387048.0,16.529,1326
89,2024-02-01,16.45,16.53,16.35,16.51,348845.0,16.447,1532
