,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.65,12.74,12.53,12.67,4141280.0,12.668,14265
1,2023-09-26,11.62,11.69,11.11,11.37,5703734.0,11.397,17303
2,2023-09-27,11.56,11.62,11.33,11.55,3249451.0,11.473,12495
3,2023-09-28,11.48,11.66,11.44,11.61,2543845.0,11.591,9035
4,2023-09-29,11.69,11.7,11.52,11.58,3418959.0,11.594,11121
5,2023-10-02,11.55,11.59,11.11,11.2,3139102.0,11.266,10665
6,2023-10-03,11.19,11.44,11.11,11.23,2198442.0,11.298,9066
7,2023-10-04,11.08,11.11,10.75,10.85,3850127.0,10.849,12279
8,2023-10-05,10.66,10.85,10.6,10.71,1813852.0,10.729,7111
9,2023-10-06,10.7,11.0,10.5,10.91,1878863.0,10.818,6958
10,2023-10-09,11.35,11.55,11.23,11.5,2184494.0,11.437,7658
11,2023-10-10,11.61,11.77,11.51,11.76,1213609.0,11.66,4794
12,2023-10-11,11.73,11.9,11.66,11.86,1967455.0,11.778,6812
13,2023-10-12,11.94,11.97,11.8,11.9,2333797.0,11.87,8333
14,2023-10-13,12.1,12.32,12.09,12.21,1715615.0,12.233,6944
15,2023-10-16,12.3,12.39,12.17,12.35,1792350.0,12.315,7286
16,2023-10-17,12.26,12.56,12.24,12.47,1802442.0,12.448,7429
17,2023-10-18,12.51,12.55,12.32,12.42,1402689.0,12.425,5394
18,2023-10-19,12.34,12.54,12.12,12.31,1536417.0,12.373,7928
19,2023-10-20,12.31,12.39,12.1,12.25,1256000.0,12.219,5493
20,2023-10-23,12.09,12.2,11.85,12.02,2415722.0,12.049,8289
21,2023-10-24,12.13,12.22,11.98,12.05,1255575.0,12.072,5593
22,2023-10-25,12.01,12.2,12.0,12.16,1264863.0,12.139,5508
23,2023-10-26,12.07,12.12,11.92,12.05,940853.0,12.023,4480
24,2023-10-27,12.03,12.14,11.91,11.95,1442090.0,11.994,5183
25,2023-10-30,12.03,12.15,11.67,11.85,1131990.0,11.84,4373
26,2023-10-31,11.85,11.96,11.65,11.81,973677.0,11.807,4579
27,2023-11-01,11.92,12.15,11.74,12.09,1921836.0,12.019,6535
28,2023-11-02,12.2,12.48,12.17,12.46,1239086.0,12.359,4421
29,2023-11-03,12.47,12.58,12.24,12.36,1515739.0,12.38,5548
30,2023-11-06,12.45,12.49,12.06,12.15,897704.0,12.239,4473
31,2023-11-07,11.96,11.99,11.68,11.7,2115817.0,11.795,9286
32,2023-11-08,11.7,11.83,11.38,11.44,2592838.0,11.52,9840
33,2023-11-09,11.63,11.98,11.59,11.64,2199506.0,11.77,8675
34,2023-11-10,11.8,11.8,11.55,11.72,848165.0,11.683,4012
35,2023-11-13,11.8,11.93,11.71,11.89,955131.0,11.846,4645
36,2023-11-14,12.0,12.1,11.91,12.04,1403888.0,12.012,5798
37,2023-11-15,12.03,12.12,11.86,11.92,1656950.0,11.936,5787
38,2023-11-16,11.82,11.87,11.61,11.8,2325575.0,11.729,9441
39,2023-11-17,11.99,12.37,11.84,12.27,3344289.0,12.226,11705
40,2023-11-20,12.45,12.69,12.34,12.47,2560388.0,12.512,9282
41,2023-11-21,12.42,12.56,12.34,12.48,1048239.0,12.439,5152
42,2023-11-22,12.25,12.42,12.11,12.4,1775135.0,12.272,6473
43,2023-11-24,12.47,12.81,12.47,12.75,1784987.0,12.684,6052
44,2023-11-27,12.7,12.81,12.64,12.76,1856865.0,12.728,6704
45,2023-11-28,12.81,12.93,12.74,12.87,1414417.0,12.845,5765
46,2023-11-29,12.91,12.95,12.68,12.71,2100878.0,12.759,8664
47,2023-11-30,12.87,12.88,12.42,12.61,1893223.0,12.602,8901
48,2023-12-01,12.56,12.88,12.56,12.81,1895274.0,12.777,7304
49,2023-12-04,12.7,12.73,12.49,12.64,1706106.0,12.622,6537
50,2023-12-05,12.68,12.7,12.55,12.57,1136470.0,12.625,4514
51,2023-12-06,12.5,12.61,12.28,12.28,2474480.0,12.455,8398
52,2023-12-07,12.41,12.52,12.3,12.37,2070244.0,12.401,6771
53,2023-12-08,12.45,12.73,12.43,12.72,2137067.0,12.644,7970
54,2023-12-11,12.71,12.85,12.57,12.66,2140575.0,12.697,6892
55,2023-12-12,12.58,12.63,12.29,12.35,2099163.0,12.392,8101
56,2023-12-13,12.4,12.69,12.3,12.67,1540554.0,12.501,4946
57,2023-12-14,12.8,13.11,12.77,12.95,3443247.0,12.944,8938
58,2023-12-15,13.0,13.05,12.8,12.8,2122073.0,12.892,6398
59,2023-12-18,13.0,13.14,12.88,12.91,5387424.0,12.968,14428
60,2023-12-19,12.14,12.15,11.9,11.99,3756109.0,12.036,11037
61,2023-12-20,12.0,12.05,11.72,11.74,2434667.0,11.904,8307
62,2023-12-21,11.74,11.95,11.73,11.94,2234782.0,11.88,7725
63,2023-12-22,12.05,12.11,11.89,11.94,1375367.0,11.996,5470
64,2023-12-26,12.06,12.28,12.06,12.22,2481017.0,12.198,6228
65,2023-12-27,12.2,12.28,12.11,12.12,1025335.0,12.174,3804
66,2023-12-28,12.08,12.09,11.93,11.97,1864868.0,12.002,6737
67,2023-12-29,11.99,12.01,11.88,11.92,1042649.0,11.926,3357
68,2024-01-02,12.05,12.17,11.94,11.96,2226092.0,12.072,7423
69,2024-01-03,12.0,12.39,12.0,12.32,2361226.0,12.254,8076
70,2024-01-04,12.35,12.48,12.22,12.22,2317404.0,12.346,8393
71,2024-01-05,12.3,12.62,12.29,12.55,2202265.0,12.525,7775
72,2024-01-08,12.41,12.41,12.13,12.25,1589558.0,12.236,5698
