,date,open,high,low,close,volume,average,barCount
0,2023-09-25,12.25,12.99,12.11,12.32,29229.0,12.52588,189
1,2023-09-26,12.19,12.49,11.84,12.39,32237.0,12.27713,251
2,2023-09-27,12.56,12.93,12.07,12.51,26215.0,12.50607,159
3,2023-09-28,12.53,12.81,12.25,12.51,41134.0,12.60666,280
4,2023-09-29,12.65,12.8,11.63,12.0,77304.0,11.82876,508
5,2023-10-02,11.89,12.175,11.54,11.65,30274.0,11.72861,184
6,2023-10-03,11.3,11.88,10.3001,10.4,56482.0,11.14979,309
7,2023-10-04,10.37,10.84,10.26,10.49,39438.0,10.55288,208
8,2023-10-05,10.7099,11.15,10.52,11.09,15440.0,10.81393,119
9,2023-10-06,11.3906,12.17,11.3,12.04,17435.0,11.59197,84
10,2023-10-09,11.9461,13.0,11.46,12.04,20975.0,12.13832,119
11,2023-10-10,11.88,12.31,11.62,11.96,26977.0,11.86859,147
12,2023-10-11,11.3001,12.32,11.3001,11.99,14416.0,11.99603,81
13,2023-10-12,12.04,12.5,11.9401,12.3,20487.0,12.30819,120
14,2023-10-13,12.245,12.41,12.09,12.12,4031.0,12.30799,29
15,2023-10-16,12.14,12.14,11.75,11.98,5245.0,11.94398,22
16,2023-10-17,12.21,12.7973,11.71,12.65,43661.0,12.27141,190
17,2023-10-18,12.55,12.75,12.345,12.49,55601.0,12.56632,243
18,2023-10-19,12.68,12.68,11.25,11.49,11962.0,11.76912,68
19,2023-10-20,11.64,11.76,10.8401,11.145,15681.0,11.37653,88
20,2023-10-23,11.14,11.76,10.67,11.55,113280.0,11.17763,717
21,2023-10-24,11.7,11.9448,11.6206,11.71,28149.0,11.81631,171
22,2023-10-25,11.74,12.07,11.69,11.95,32796.0,11.94256,163
23,2023-10-26,12.2974,12.2974,11.73,11.92,32444.0,11.97377,153
24,2023-10-27,12.1,12.1,11.5,11.68,10290.0,11.68836,63
25,2023-10-30,11.745,11.745,10.6886,11.08,6658.0,11.00975,32
26,2023-10-31,10.88,10.88,10.11,10.24,52067.0,10.33475,227
27,2023-11-01,10.24,10.59,10.22,10.3,50479.0,10.46567,307
28,2023-11-02,10.25,10.97,10.25,10.77,50202.0,10.5125,337
29,2023-11-03,10.538,11.2612,10.538,11.17,21600.0,10.97685,116
30,2023-11-06,11.38,11.38,10.6,10.77,15568.0,10.97856,48
31,2023-11-07,10.73,11.0799,10.5738,10.79,10571.0,10.78909,57
32,2023-11-08,10.78,10.78,10.09,10.19,11654.0,10.28598,66
33,2023-11-09,10.16,10.7436,10.15,10.54,23532.0,10.46732,78
34,2023-11-10,10.385,10.59,10.16,10.31,4056.0,10.39443,17
