,date,open,high,low,close,volume,average,barCount
0,2023-10-06,203.41,208.4,203.01,206.72,67733.0,206.905,499
1,2023-10-09,205.59,208.77,205.3,208.05,61001.0,207.31,456
2,2023-10-10,208.31,210.07,207.16,207.2,132495.0,208.257,953
3,2023-10-11,207.29,210.01,207.29,209.98,63427.0,208.941,455
4,2023-10-12,210.03,210.03,205.03,206.67,98158.0,207.882,602
5,2023-10-13,206.7,207.44,201.53,202.02,65642.0,203.656,503
6,2023-10-16,203.76,205.95,201.83,202.59,71587.0,203.531,520
7,2023-10-17,201.88,207.62,200.35,206.38,167823.0,205.064,796
8,2023-10-18,204.33,204.33,196.35,196.45,177088.0,198.569,1139
9,2023-10-19,196.02,198.49,194.0,195.59,153400.0,195.645,922
10,2023-10-20,196.34,196.43,192.12,192.53,110794.0,193.327,770
11,2023-10-23,192.59,194.94,191.87,192.5,99637.0,192.886,785
12,2023-10-24,194.9,195.78,192.3,192.82,99245.0,193.196,615
13,2023-10-25,192.57,194.52,191.5,191.6,143225.0,192.453,933
14,2023-10-26,206.74,209.74,202.01,206.04,362535.0,205.756,2534
15,2023-10-27,207.12,207.63,201.96,205.32,153316.0,205.145,1245
16,2023-10-30,207.24,209.86,203.57,204.96,110949.0,205.483,851
17,2023-10-31,204.7,207.86,204.7,206.65,94838.0,206.311,736
18,2023-11-01,206.37,207.77,204.11,206.69,145251.0,206.678,979
19,2023-11-02,209.66,212.06,207.35,207.39,116650.0,208.882,809
20,2023-11-03,209.45,213.29,207.42,210.22,149082.0,209.629,1247
21,2023-11-06,209.96,211.52,208.12,210.79,96305.0,210.397,784
22,2023-11-07,210.0,210.0,206.37,208.59,130828.0,208.332,883
23,2023-11-08,209.77,211.65,207.31,207.58,102435.0,208.391,711
24,2023-11-09,208.98,210.19,207.36,209.09,71655.0,208.416,590
25,2023-11-10,210.37,211.2,208.56,210.68,50251.0,210.463,372
26,2023-11-13,210.03,212.14,210.0,211.5,66471.0,211.33,453
27,2023-11-14,214.29,218.81,214.29,217.59,90592.0,217.296,688
28,2023-11-15,217.47,218.72,212.86,214.76,188563.0,215.214,1255
29,2023-11-16,214.98,216.61,209.61,209.71,140935.0,211.493,1051
30,2023-11-17,210.15,215.38,209.78,214.67,121733.0,214.076,832
31,2023-11-20,214.3,214.3,212.49,213.64,72207.0,213.652,469
32,2023-11-21,213.18,216.15,213.15,213.86,147476.0,214.628,953
33,2023-11-22,214.77,216.49,213.71,216.26,55606.0,215.824,381
34,2023-11-24,215.86,216.81,215.62,216.5,18755.0,216.284,143
35,2023-11-27,216.47,220.93,215.92,219.34,163290.0,219.216,1097
36,2023-11-28,218.4,219.93,211.24,211.64,135080.0,214.197,954
37,2023-11-29,213.04,214.23,210.76,211.41,119267.0,212.055,783
38,2023-11-30,211.63,213.63,211.49,212.52,66957.0,212.809,514
39,2023-12-01,212.15,215.31,211.09,214.32,82279.0,213.512,607
40,2023-12-04,214.3,217.24,211.76,216.79,123869.0,214.648,835
41,2023-12-05,216.21,216.21,211.55,211.77,121350.0,213.781,736
42,2023-12-06,212.98,214.7,210.53,211.89,90580.0,212.083,722
43,2023-12-07,211.5,213.89,210.34,212.44,113375.0,212.445,550
44,2023-12-08,212.49,215.23,212.01,214.73,84527.0,213.216,554
45,2023-12-11,215.21,216.54,214.98,216.17,51839.0,215.718,394
46,2023-12-12,216.66,219.28,215.29,216.73,84073.0,217.41,590
47,2023-12-13,216.49,217.69,214.82,217.45,174850.0,216.337,1197
48,2023-12-14,219.95,221.84,217.73,218.62,122515.0,219.265,864
49,2023-12-15,218.43,220.66,216.1,216.64,187729.0,217.765,1203
50,2023-12-18,215.25,217.92,214.85,216.77,116335.0,216.207,589
51,2023-12-19,218.99,221.03,217.02,218.2,195682.0,218.875,1200
52,2023-12-20,218.2,218.77,214.94,214.97,101420.0,217.127,648
53,2023-12-21,216.03,216.77,211.58,214.02,127728.0,213.201,954
54,2023-12-22,215.25,217.26,213.27,216.01,115009.0,215.454,802
55,2023-12-26,215.7,217.87,215.14,216.51,49813.0,216.759,291
56,2023-12-27,217.05,218.8,215.01,216.2,85331.0,216.471,475
57,2023-12-28,215.72,216.93,215.46,216.22,48831.0,216.048,362
58,2023-12-29,215.89,217.68,215.4,215.43,61272.0,216.392,453
59,2024-01-02,213.68,215.22,210.99,212.78,81262.0,212.396,605
60,2024-01-03,211.58,212.03,209.3,210.52,89330.0,210.524,668
61,2024-01-04,210.68,212.12,210.68,211.13,125435.0,211.389,820
62,2024-01-05,211.14,212.79,211.1,212.45,77621.0,211.962,508
63,2024-01-08,213.17,214.31,210.38,213.83,88835.0,212.336,514
64,2024-01-09,212.46,215.41,211.09,214.22,75114.0,213.637,581
65,2024-01-10,214.04,218.66,214.04,218.57,167000.0,216.164,742
66,2024-01-11,218.45,221.45,217.58,221.2,77822.0,219.791,577
67,2024-01-12,222.63,222.74,218.93,218.98,90991.0,219.677,641
68,2024-01-16,217.26,220.35,217.08,220.28,52147.0,219.003,377
69,2024-01-17,218.76,220.3,217.85,218.99,57324.0,218.901,423
70,2024-01-18,220.32,227.85,220.15,223.26,138145.0,223.162,855
71,2024-01-19,224.55,225.22,217.22,218.88,85667.0,219.833,588
72,2024-01-22,219.94,224.37,218.42,223.89,94016.0,222.451,570
73,2024-01-23,224.58,225.0,219.88,221.51,68812.0,221.382,524
74,2024-01-24,223.17,223.43,219.07,220.11,81540.0,220.789,584
75,2024-01-25,222.46,223.48,220.44,220.48,77420.0,221.233,490
76,2024-01-26,220.94,224.51,220.53,224.21,66419.0,223.109,474
77,2024-01-29,223.54,228.9,220.62,224.63,188734.0,224.758,1254
78,2024-01-30,226.51,231.02,226.51,230.75,96884.0,229.48,671
79,2024-01-31,231.58,233.03,226.99,228.11,129490.0,229.431,990
80,2024-02-01,229.26,233.73,228.3,233.72,103676.0,231.372,727
81,2024-02-02,232.71,237.21,231.34,235.21,129397.0,235.276,673
82,2024-02-05,233.45,234.94,229.75,233.48,79902.0,233.237,595
83,2024-02-06,233.63,236.96,232.92,236.94,76166.0,235.606,603
84,2024-02-07,238.38,240.94,237.63,238.99,102347.0,239.531,758
85,2024-02-08,239.26,242.03,239.26,242.0,64261.0,240.775,509
86,2024-02-09,241.73,245.47,241.02,245.15,79183.0,244.08,560
87,2024-02-12,245.3,246.13,243.51,243.52,78163.0,244.717,555
88,2024-02-13,239.19,245.18,238.94,242.75,162163.0,241.906,1086
89,2024-02-14,245.04,245.28,244.05,245.0,9284.0,244.778,66
