,date,open,high,low,close,volume,average,barCount
0,2023-10-06,92.52,95.48,92.18,94.79,568635.0,94.25,3809
1,2023-10-09,93.0,96.05,92.28,95.54,425190.0,95.019,2700
2,2023-10-10,96.01,98.05,95.43,97.09,438362.0,96.954,3014
3,2023-10-11,97.37,98.32,96.38,97.61,284559.0,97.413,2067
4,2023-10-12,97.79,99.76,97.08,97.98,423894.0,98.208,3169
5,2023-10-13,98.22,98.67,95.06,95.44,488556.0,96.296,3889
6,2023-10-16,95.84,98.21,95.38,97.45,323350.0,97.415,2622
7,2023-10-17,95.44,97.85,94.46,96.99,390628.0,96.705,2950
8,2023-10-18,95.69,96.24,94.67,95.07,455200.0,95.078,3443
9,2023-10-19,96.19,96.19,91.55,91.87,962885.0,93.408,5995
10,2023-10-20,91.89,93.43,89.77,90.7,534593.0,91.013,3082
11,2023-10-23,90.13,91.31,89.37,89.43,682688.0,90.134,4427
12,2023-10-24,90.45,91.49,89.56,91.19,343392.0,90.692,2809
13,2023-10-25,89.58,89.85,85.99,86.67,1206300.0,87.265,5807
14,2023-10-26,87.29,89.39,86.75,87.53,563746.0,88.07,4168
15,2023-10-27,87.91,88.55,86.83,87.82,497672.0,87.612,3371
16,2023-10-30,87.86,88.66,86.22,87.64,659922.0,87.672,5264
17,2023-10-31,87.67,88.6,86.5,88.04,759912.0,87.875,5889
18,2023-11-01,87.8,88.91,86.36,88.82,877362.0,87.586,6671
19,2023-11-02,85.48,87.86,84.12,85.71,1436396.0,85.695,9553
20,2023-11-03,85.48,92.34,85.48,92.26,852706.0,90.839,6832
21,2023-11-06,92.68,92.86,89.09,91.02,618331.0,90.39,4808
22,2023-11-07,91.1,92.13,90.72,91.37,251390.0,91.378,2093
23,2023-11-08,91.07,92.02,90.28,91.98,560901.0,91.301,3328
24,2023-11-09,92.47,93.72,90.24,90.61,496674.0,91.74,3610
25,2023-11-10,91.6,95.93,90.65,95.52,778555.0,94.604,6097
26,2023-11-13,94.91,94.93,93.11,94.01,392219.0,94.123,2789
27,2023-11-14,97.41,101.2,97.17,100.56,922530.0,99.781,6842
28,2023-11-15,100.96,103.34,100.23,102.84,929394.0,102.466,7096
29,2023-11-16,102.47,103.65,101.61,103.13,1033089.0,102.807,6608
