,date,open,high,low,close,volume,average,barCount
0,2023-10-06,119.22,122.07,118.03,120.68,1967595.0,120.303,12743
1,2023-10-09,124.22,127.87,123.8,127.24,2098979.0,126.262,12872
2,2023-10-10,127.02,128.12,126.09,126.71,1472938.0,127.165,10626
3,2023-10-11,125.51,127.5,124.8,127.37,1362671.0,126.507,9031
4,2023-10-12,128.93,129.63,127.73,128.96,1535446.0,128.815,10623
5,2023-10-13,131.6,134.63,131.26,133.84,1885402.0,133.464,12404
6,2023-10-16,134.71,134.76,132.51,134.03,974311.0,133.859,6960
7,2023-10-17,133.47,135.22,133.18,134.3,1450125.0,134.335,9323
8,2023-10-18,135.34,136.28,134.74,135.76,1163262.0,135.676,7995
9,2023-10-19,135.0,136.68,133.93,136.23,1380763.0,135.746,10236
10,2023-10-20,136.02,136.79,132.94,133.23,1772480.0,134.245,12002
11,2023-10-23,131.94,133.12,130.68,131.64,1236724.0,131.701,8783
12,2023-10-24,131.62,131.81,129.62,129.94,938773.0,130.495,6486
13,2023-10-25,129.7,130.52,128.67,129.73,1260901.0,129.571,9163
14,2023-10-26,128.15,128.6,126.42,127.94,1247246.0,127.878,9064
15,2023-10-27,127.93,128.07,124.96,125.99,1651249.0,125.939,10276
16,2023-10-30,126.34,127.09,123.96,125.45,1373739.0,124.889,9910
17,2023-10-31,125.32,126.64,124.25,126.25,1145750.0,126.063,7625
18,2023-11-01,126.78,127.53,124.12,124.22,1777660.0,125.341,12209
19,2023-11-02,123.8,128.67,123.22,128.65,2639040.0,126.886,17580
20,2023-11-03,129.79,131.61,127.61,128.16,2970785.0,129.329,20410
21,2023-11-06,129.28,129.53,125.1,126.42,2014776.0,126.529,13150
22,2023-11-07,124.0,124.5,121.6,122.64,2129522.0,122.432,13173
23,2023-11-08,121.71,122.7,120.85,121.21,1868727.0,121.537,11836
24,2023-11-09,122.21,122.63,120.89,121.3,853188.0,121.638,6039
25,2023-11-10,122.48,123.29,121.65,122.7,866651.0,122.698,5844
26,2023-11-13,123.0,123.73,122.39,123.06,1386800.0,122.888,9341
27,2023-11-14,123.9,125.33,123.14,125.12,1333426.0,124.54,8944
28,2023-11-15,124.91,125.66,123.01,123.07,2480901.0,124.313,11567
29,2023-11-16,120.91,121.77,117.36,120.7,2535748.0,119.521,15132
30,2023-11-17,121.99,124.57,121.49,124.0,1829260.0,123.44,9843
31,2023-11-20,124.75,125.72,124.14,125.23,1830533.0,125.265,12953
32,2023-11-21,124.29,124.64,123.14,124.25,1318528.0,123.983,8161
33,2023-11-22,120.91,123.46,119.09,123.17,2194322.0,121.807,12839
34,2023-11-24,122.96,124.17,122.57,123.5,750663.0,123.525,4437
35,2023-11-27,122.66,123.27,121.75,123.0,1357112.0,122.566,8717
36,2023-11-28,123.39,124.52,122.69,123.64,1991327.0,123.698,11140
37,2023-11-29,124.23,124.39,122.7,123.24,1750302.0,123.504,10975
38,2023-11-30,124.54,125.97,121.86,123.07,2297391.0,123.327,14062
39,2023-12-01,122.7,125.63,122.45,123.6,1897449.0,124.181,9529
40,2023-12-04,122.55,123.9,122.0,123.0,1690158.0,122.947,11348
41,2023-12-05,123.18,123.56,121.46,121.95,2126154.0,122.336,14382
42,2023-12-06,120.75,122.09,118.68,119.75,2863717.0,119.88,18699
43,2023-12-07,120.32,121.08,117.96,118.35,1991161.0,118.869,13193
44,2023-12-08,119.32,120.53,118.56,118.96,1942849.0,119.074,12441
45,2023-12-11,117.56,119.69,117.5,119.2,2756071.0,118.594,18558
46,2023-12-12,117.73,118.59,116.78,117.67,1948340.0,117.746,12001
47,2023-12-13,117.92,118.87,116.8,118.48,2687487.0,117.855,17421
48,2023-12-14,117.87,121.26,117.79,120.6,2831992.0,119.867,19755
49,2023-12-15,119.43,120.65,118.79,120.11,2331128.0,119.594,11104
50,2023-12-18,122.75,123.1,121.25,121.62,1531207.0,122.058,9774
51,2023-12-19,121.85,122.97,120.86,122.53,1769623.0,122.363,11905
52,2023-12-20,122.86,123.98,121.27,121.43,2135426.0,122.971,14005
53,2023-12-21,121.66,121.7,119.77,121.08,2185835.0,120.774,14507
54,2023-12-22,122.21,123.01,121.4,122.27,919836.0,122.335,6047
55,2023-12-26,123.34,124.81,122.92,124.3,839009.0,124.257,5816
56,2023-12-27,124.0,125.27,123.47,124.27,1337332.0,124.465,9317
57,2023-12-28,123.12,124.06,121.29,121.33,1077773.0,122.177,7242
58,2023-12-29,121.94,122.09,120.58,120.95,742844.0,121.113,4813
59,2024-01-02,121.81,123.3,121.26,121.6,1634592.0,122.136,11287
60,2024-01-03,121.63,125.44,121.23,124.98,1498554.0,124.055,8679
61,2024-01-04,125.56,126.08,120.84,121.02,1357566.0,122.153,9063
62,2024-01-05,121.85,122.06,119.53,120.38,1123386.0,120.545,7039
63,2024-01-08,118.14,118.17,116.06,117.77,2349622.0,117.097,14532
64,2024-01-09,118.1,118.37,114.79,116.07,1618237.0,116.014,10337
65,2024-01-10,116.05,116.08,114.17,114.99,1932458.0,114.805,12250
66,2024-01-11,115.3,115.94,114.47,114.98,1162377.0,115.108,6682
67,2024-01-12,117.14,117.78,115.32,116.05,1441295.0,115.971,8827
68,2024-01-16,115.17,115.17,111.82,112.14,1956900.0,112.472,11703
69,2024-01-17,110.5,111.76,109.89,110.63,1967918.0,110.649,13493
70,2024-01-18,110.48,110.8,109.12,110.09,2090807.0,109.882,13717
71,2024-01-19,110.0,110.18,108.94,110.17,1663963.0,109.841,9820
72,2024-01-22,109.6,110.94,109.04,110.64,1395098.0,110.217,8323
73,2024-01-23,110.52,111.91,110.07,110.37,1319560.0,110.62,8691
74,2024-01-24,111.1,112.67,110.5,112.09,1916521.0,111.722,11495
75,2024-01-25,112.49,114.86,112.0,114.85,1697254.0,113.602,11055
76,2024-01-26,114.96,115.58,113.17,115.54,1559099.0,114.697,10332
77,2024-01-29,115.37,115.42,113.76,114.96,1379142.0,114.626,8735
78,2024-01-30,114.32,116.88,113.77,116.78,1632592.0,115.731,9997
79,2024-01-31,116.64,116.68,113.73,113.79,1590785.0,114.849,9735
80,2024-02-01,114.2,115.02,111.74,112.6,1404023.0,113.281,8964
81,2024-02-02,112.66,113.0,110.38,110.85,1467202.0,111.276,9656
82,2024-02-05,110.17,110.61,108.94,109.65,1480070.0,109.883,9808
83,2024-02-06,110.0,112.98,109.67,111.88,1980408.0,111.62,11228
84,2024-02-07,111.92,113.23,111.12,112.52,1649668.0,112.47,10524
85,2024-02-08,112.9,113.96,111.8,113.06,1838648.0,112.79,11083
86,2024-02-09,113.06,113.75,110.67,111.05,1303372.0,111.908,8695
87,2024-02-12,111.68,113.13,111.19,112.85,2320009.0,112.307,14606
88,2024-02-13,113.0,113.39,109.88,111.03,2186701.0,111.427,15183
89,2024-02-14,111.83,112.58,110.42,110.91,352423.0,111.365,2223
