,date,open,high,low,close,volume,average,barCount
0,2023-09-25,242.8,245.53,241.01,245.53,13535.0,242.924,101
1,2023-09-26,244.0,246.61,241.36,242.02,7753.0,242.889,68
2,2023-09-27,242.02,242.65,240.02,241.25,9053.0,241.706,72
3,2023-09-28,241.02,248.88,240.35,248.64,17174.0,243.043,141
4,2023-09-29,249.09,249.94,239.53,242.0,26129.0,244.572,136
5,2023-10-02,239.91,244.39,239.91,242.06,6313.0,241.892,58
6,2023-10-03,241.48,241.48,234.45,235.55,8072.0,236.1,69
7,2023-10-04,234.65,239.96,232.01,239.65,5887.0,236.725,53
8,2023-10-05,239.65,242.46,239.65,242.26,4325.0,241.875,41
9,2023-10-06,241.12,242.37,239.72,240.5,10782.0,240.841,103
10,2023-10-09,239.8,243.37,239.5,242.14,5959.0,241.653,53
11,2023-10-10,242.8,242.93,236.88,239.15,7250.0,239.316,72
12,2023-10-11,240.43,242.08,240.23,241.24,3873.0,241.103,30
13,2023-10-12,240.24,241.0,237.87,239.53,5348.0,238.923,51
14,2023-10-13,239.5,241.59,236.89,238.0,6212.0,238.111,52
15,2023-10-16,238.36,241.92,237.37,240.03,3554.0,240.375,32
16,2023-10-17,241.84,243.13,239.71,240.89,5343.0,241.175,49
17,2023-10-18,238.97,239.32,238.02,238.45,2243.0,238.616,21
18,2023-10-19,237.43,238.33,233.45,233.49,6859.0,237.065,43
19,2023-10-20,234.79,234.79,229.63,232.05,21563.0,231.623,145
20,2023-10-23,231.13,236.98,229.57,235.93,37011.0,234.886,257
21,2023-10-24,236.38,236.38,232.64,232.64,4237.0,234.253,40
22,2023-10-25,231.24,233.82,231.24,232.61,4135.0,232.477,38
23,2023-10-26,233.65,235.79,233.65,234.72,2846.0,234.506,28
24,2023-10-27,233.68,233.68,231.84,233.64,4809.0,233.025,39
25,2023-10-30,235.0,238.03,233.17,234.98,8760.0,235.668,70
26,2023-10-31,233.8,237.7,233.69,236.97,7273.0,235.751,72
27,2023-11-01,236.08,239.98,236.08,239.51,4630.0,238.495,35
28,2023-11-02,240.61,243.18,237.76,242.53,14678.0,241.205,138
29,2023-11-03,247.09,254.55,245.12,253.31,34609.0,248.338,238
30,2023-11-06,253.67,254.95,250.0,254.27,9946.0,252.593,92
