,date,open,high,low,close,volume,average,barCount
0,2023-09-25,18.95,19.66,18.84,19.5,702973.0,19.456,4557
1,2023-09-26,19.31,19.49,19.05,19.05,502492.0,19.192,3163
2,2023-09-27,19.24,19.35,19.07,19.25,536483.0,19.221,3523
3,2023-09-28,19.29,19.63,19.21,19.56,519325.0,19.498,3410
4,2023-09-29,19.73,19.81,19.53,19.61,438759.0,19.64,2633
5,2023-10-02,19.56,19.64,19.17,19.34,496343.0,19.338,3095
6,2023-10-03,19.21,19.42,19.0,19.11,677863.0,19.167,3837
7,2023-10-04,19.12,19.25,18.81,19.13,404792.0,19.084,2488
8,2023-10-05,19.14,19.26,18.94,18.95,517467.0,19.035,3351
9,2023-10-06,18.88,19.48,18.76,19.47,1185001.0,19.329,5096
10,2023-10-09,19.26,19.42,18.97,19.26,664736.0,19.25,3021
11,2023-10-10,19.39,19.62,19.32,19.37,490351.0,19.439,3407
12,2023-10-11,19.48,19.61,19.22,19.39,456694.0,19.391,3091
13,2023-10-12,19.49,19.5,18.98,19.19,290369.0,19.219,1869
14,2023-10-13,19.21,19.25,18.92,19.0,500846.0,19.038,3095
15,2023-10-16,19.2,19.43,19.12,19.15,505221.0,19.269,2890
16,2023-10-17,18.95,19.4,18.94,19.21,707151.0,19.245,4602
17,2023-10-18,18.89,18.99,18.44,18.53,446799.0,18.615,2979
18,2023-10-19,18.51,18.77,18.37,18.46,873782.0,18.524,5468
19,2023-10-20,18.5,18.59,18.32,18.37,619437.0,18.428,3992
20,2023-10-23,18.26,18.5,18.18,18.18,1244750.0,18.315,4833
21,2023-10-24,18.32,18.47,18.2,18.35,583664.0,18.345,3191
22,2023-10-25,18.23,18.26,17.57,17.62,1649191.0,17.828,9063
23,2023-10-26,19.15,19.5,17.84,18.3,2236588.0,18.313,14092
24,2023-10-27,18.28,18.44,17.96,18.0,1077868.0,18.136,6679
25,2023-10-30,18.13,18.32,17.91,18.2,828147.0,18.162,5751
26,2023-10-31,18.03,18.3,18.0,18.23,785856.0,18.205,4599
27,2023-11-01,18.16,18.18,17.76,18.11,843372.0,17.962,5118
28,2023-11-02,18.25,18.63,18.19,18.58,934442.0,18.466,4912
29,2023-11-03,18.95,19.49,18.85,19.4,862928.0,19.336,4618
30,2023-11-06,19.35,19.49,19.24,19.33,903708.0,19.336,5965
31,2023-11-07,19.2,19.2,18.95,18.97,555843.0,19.033,3137
32,2023-11-08,19.0,19.18,18.82,19.11,957102.0,19.064,4764
33,2023-11-09,19.27,19.27,18.9,18.96,436361.0,19.021,2700
34,2023-11-10,19.0,19.27,18.85,19.27,286432.0,19.153,1924
35,2023-11-13,19.15,19.39,19.11,19.29,494256.0,19.287,3446
36,2023-11-14,19.66,20.45,19.66,20.45,745572.0,20.302,4768
37,2023-11-15,20.43,20.65,20.18,20.39,723390.0,20.423,4473
38,2023-11-16,20.28,20.41,20.16,20.36,733984.0,20.295,3490
39,2023-11-17,20.5,20.56,20.35,20.45,516032.0,20.432,3181
40,2023-11-20,20.45,20.67,20.35,20.6,505878.0,20.597,3340
41,2023-11-21,20.56,20.65,20.41,20.41,496994.0,20.546,2772
