,date,open,high,low,close,volume,average,barCount
0,2023-09-25,62.07,62.36,61.41,61.81,1620679.0,61.811,9704
1,2023-09-26,61.67,61.67,59.67,59.71,1241971.0,60.343,8250
2,2023-09-27,59.56,59.91,58.47,58.77,1322880.0,58.978,8700
3,2023-09-28,59.15,59.19,57.21,57.36,1792566.0,57.709,10621
4,2023-09-29,58.01,58.83,57.61,58.15,1454708.0,58.136,9710
5,2023-10-02,57.81,57.85,55.15,55.73,2188398.0,55.751,14466
6,2023-10-03,55.19,56.27,54.21,56.05,1780545.0,55.632,10806
7,2023-10-04,56.11,56.31,55.07,56.11,1714320.0,55.842,10945
8,2023-10-05,55.79,56.03,54.87,55.21,1394602.0,55.267,9211
9,2023-10-06,54.45,55.98,53.1,55.81,1879621.0,54.716,11719
10,2023-10-09,55.81,57.27,55.6,57.24,1714122.0,56.638,10454
11,2023-10-10,57.51,58.55,57.46,58.28,1977430.0,58.084,13299
12,2023-10-11,58.65,59.03,57.92,58.97,1391776.0,58.565,9907
13,2023-10-12,58.79,59.26,54.14,54.56,4335702.0,55.832,27716
14,2023-10-13,54.42,55.09,53.72,55.03,2835514.0,54.514,18547
15,2023-10-16,55.25,56.44,53.85,56.2,1879056.0,55.803,12717
16,2023-10-17,55.56,56.55,55.24,55.46,1170842.0,55.643,7846
17,2023-10-18,55.36,55.71,54.29,54.49,1675153.0,54.696,11310
18,2023-10-19,54.28,54.93,53.81,53.9,1485605.0,54.277,9047
19,2023-10-20,53.94,54.82,53.37,53.5,1586937.0,53.95,8917
20,2023-10-23,52.86,53.39,52.21,52.46,2157557.0,52.721,13679
21,2023-10-24,53.22,54.4,52.92,54.03,1445335.0,53.836,8433
22,2023-10-25,53.22,54.36,53.16,54.22,1449164.0,53.958,7652
23,2023-10-26,54.48,55.4,54.13,54.16,1581003.0,54.517,9009
24,2023-10-27,54.0,54.59,52.98,53.16,1274441.0,53.437,8238
25,2023-10-30,53.44,53.97,52.44,53.39,1452953.0,53.078,8322
26,2023-10-31,53.66,54.09,53.04,53.79,1444617.0,53.632,8442
27,2023-11-01,53.07,53.8,52.03,53.09,2076328.0,53.093,13646
28,2023-11-02,53.51,54.64,53.45,54.28,1449827.0,54.292,10254
29,2023-11-03,55.39,56.31,54.92,55.43,2561609.0,55.585,16528
30,2023-11-06,54.83,56.61,54.69,56.56,3004804.0,56.215,20535
31,2023-11-07,56.37,57.64,55.63,56.35,1823219.0,56.715,12720
32,2023-11-08,56.17,56.34,54.9,55.69,1149808.0,55.419,8195
33,2023-11-09,55.97,56.13,54.21,54.24,1297423.0,54.781,8184
34,2023-11-10,54.57,54.75,53.62,53.8,1076032.0,53.903,6862
35,2023-11-13,53.74,53.74,52.48,53.03,1684621.0,53.05,10627
36,2023-11-14,54.59,56.38,54.24,56.23,1729023.0,55.937,10501
37,2023-11-15,56.21,57.62,56.04,57.25,1797060.0,57.095,11384
38,2023-11-16,57.72,58.28,56.86,57.48,1629877.0,57.442,11338
39,2023-11-17,57.63,58.9,57.3,58.51,2095497.0,58.469,13708
40,2023-11-20,58.06,58.59,57.12,58.3,1332971.0,58.228,9138
41,2023-11-21,58.41,59.03,57.99,58.82,1546217.0,58.77,9231
42,2023-11-22,59.09,59.6,58.48,59.53,2298130.0,59.305,12980
43,2023-11-24,59.41,59.61,58.95,59.26,512542.0,59.245,3348
44,2023-11-27,59.33,59.45,58.61,59.04,1130563.0,59.173,7075
45,2023-11-28,59.1,60.23,58.81,59.93,1585966.0,59.742,8681
46,2023-11-29,60.17,60.83,59.45,59.71,1586718.0,60.142,9177
47,2023-11-30,59.98,60.06,58.91,59.41,1749525.0,59.481,12149
48,2023-12-01,59.51,60.79,59.2,60.78,1208343.0,60.225,7407
49,2023-12-04,60.11,61.18,59.47,60.69,1284114.0,60.747,8164
50,2023-12-05,60.6,60.87,59.62,60.19,1120158.0,60.086,7349
51,2023-12-06,60.66,60.94,60.1,60.6,1554661.0,60.55,9937
52,2023-12-07,60.75,60.75,59.5,60.37,1725421.0,60.177,12378
53,2023-12-08,60.45,60.68,59.47,59.65,949646.0,59.815,6639
54,2023-12-11,59.28,60.91,59.16,60.79,1769761.0,60.544,11575
55,2023-12-12,60.8,60.8,59.8,60.21,1037567.0,60.187,6758
56,2023-12-13,60.17,63.21,59.72,63.09,1371225.0,61.767,9009
57,2023-12-14,63.57,64.56,63.23,63.53,1959226.0,63.772,12204
58,2023-12-15,62.3,62.84,60.9,61.82,3156685.0,61.864,15731
59,2023-12-18,61.7,62.61,61.6,61.98,3003470.0,62.087,18631
60,2023-12-19,62.41,62.41,61.38,61.6,1464832.0,61.813,6990
61,2023-12-20,61.7,62.01,60.47,60.53,1354228.0,61.239,7695
62,2023-12-21,60.84,61.38,60.41,60.91,628921.0,60.833,4205
63,2023-12-22,60.97,62.02,60.79,61.08,589306.0,61.284,4155
64,2023-12-26,60.97,61.65,60.88,61.44,571629.0,61.433,3291
65,2023-12-27,61.43,61.64,61.02,61.36,748098.0,61.305,4948
66,2023-12-28,61.04,62.06,61.04,61.96,517239.0,61.837,3237
67,2023-12-29,61.54,61.86,61.14,61.72,719971.0,61.512,4517
68,2024-01-02,61.51,63.84,61.39,63.74,1164267.0,63.471,6958
69,2024-01-03,63.47,64.64,62.9,64.29,1448500.0,64.078,9385
70,2024-01-04,64.33,64.64,62.81,62.89,1180936.0,63.508,7969
71,2024-01-05,62.7,62.85,61.66,62.07,1906107.0,62.152,14219
72,2024-01-08,61.92,62.88,61.83,62.87,968772.0,62.529,6757
73,2024-01-09,59.78,59.78,57.96,58.0,5171142.0,58.564,27101
74,2024-01-10,57.35,58.49,57.13,58.36,2195588.0,58.077,14620
75,2024-01-11,58.12,58.23,56.3,57.12,1720717.0,56.941,11484
76,2024-01-12,57.49,57.66,56.63,56.88,1251244.0,57.047,7999
77,2024-01-16,56.68,56.91,55.97,56.24,1548371.0,56.486,9131
78,2024-01-17,55.52,56.36,54.55,54.76,1789812.0,55.018,11365
79,2024-01-18,54.51,54.83,53.55,54.0,1919211.0,53.956,11498
80,2024-01-19,54.0,54.07,53.01,53.41,3549535.0,53.432,20123
81,2024-01-22,53.6,54.01,52.63,52.78,2429338.0,53.062,14035
82,2024-01-23,53.01,53.44,52.09,52.88,2842292.0,52.637,17421
83,2024-01-24,53.38,53.56,52.86,53.16,4394366.0,53.24,20344
84,2024-01-25,54.47,55.06,53.87,54.86,2777039.0,54.59,16625
85,2024-01-26,55.22,56.14,54.77,55.12,2900875.0,55.302,17045
86,2024-01-29,54.98,55.56,54.51,55.16,1566567.0,55.101,9631
87,2024-01-30,54.94,55.42,54.66,54.81,2354070.0,55.027,13297
88,2024-01-31,54.95,55.48,54.06,54.22,1832605.0,54.766,11576
89,2024-02-01,54.21,55.97,53.92,55.96,1452269.0,55.26,9596
