,date,open,high,low,close,volume,average,barCount
0,2023-09-25,37.3,37.65,37.24,37.41,52286.0,37.436,399
1,2023-09-26,37.3,37.44,36.55,36.57,74948.0,36.731,549
2,2023-09-27,36.81,37.29,36.7,37.14,82108.0,37.075,608
3,2023-09-28,37.15,37.77,36.88,37.29,160132.0,37.422,600
4,2023-09-29,37.42,37.44,36.99,37.18,143183.0,37.214,939
5,2023-10-02,37.19,37.52,37.07,37.47,195841.0,37.296,1196
6,2023-10-03,37.18,37.36,36.38,36.43,93403.0,36.772,512
7,2023-10-04,36.45,37.14,36.34,37.08,94407.0,36.896,680
8,2023-10-05,37.14,38.0,37.14,37.6,82673.0,37.68,662
9,2023-10-06,37.36,38.6,37.36,38.33,155791.0,38.191,1005
10,2023-10-09,37.81,38.27,37.74,37.79,91321.0,37.96,677
11,2023-10-10,37.93,38.19,37.66,37.68,53686.0,37.893,351
12,2023-10-11,37.65,38.08,37.19,37.33,67157.0,37.443,542
13,2023-10-12,37.05,37.18,36.47,36.82,55233.0,36.746,374
14,2023-10-13,36.74,36.98,36.4,36.52,54749.0,36.593,402
15,2023-10-16,36.75,37.14,36.52,36.59,121258.0,36.799,845
16,2023-10-17,36.37,37.27,36.37,36.83,89844.0,36.885,616
17,2023-10-18,36.38,36.48,35.85,35.97,98156.0,36.157,756
18,2023-10-19,35.76,35.91,35.06,35.3,104517.0,35.408,822
19,2023-10-20,35.52,35.52,34.91,35.09,114122.0,35.198,723
20,2023-10-23,35.07,35.33,34.67,34.81,100939.0,35.012,758
21,2023-10-24,34.97,35.45,34.97,35.38,114983.0,35.293,745
22,2023-10-25,34.75,35.23,34.74,34.9,128231.0,34.905,994
23,2023-10-26,34.95,35.12,34.21,34.39,169832.0,34.791,861
24,2023-10-27,36.23,37.99,32.26,32.93,297232.0,33.322,1904
25,2023-10-30,33.36,33.45,31.93,32.17,272766.0,32.306,1839
26,2023-10-31,32.01,32.27,31.7,31.78,147644.0,31.936,1024
27,2023-11-01,31.98,32.43,31.56,32.38,231270.0,32.017,1565
28,2023-11-02,33.03,33.03,32.5,32.69,129382.0,32.723,944
29,2023-11-03,33.56,33.91,33.33,33.78,172209.0,33.692,1088
30,2023-11-06,33.5,33.78,33.22,33.57,106546.0,33.437,587
31,2023-11-07,33.37,33.63,33.11,33.43,213570.0,33.421,851
32,2023-11-08,33.56,33.6,32.87,33.4,134655.0,33.252,918
33,2023-11-09,33.63,33.63,32.53,32.76,90692.0,32.792,674
34,2023-11-10,32.96,33.13,32.65,32.93,133907.0,32.947,870
35,2023-11-13,32.69,33.31,32.67,33.21,75008.0,33.135,570
36,2023-11-14,34.1,34.53,33.68,34.42,115538.0,34.302,911
37,2023-11-15,34.29,34.89,34.21,34.84,173267.0,34.736,1425
38,2023-11-16,34.82,34.82,33.92,34.75,380280.0,34.41,2748
39,2023-11-17,34.98,35.23,34.62,35.2,364635.0,35.029,1176
40,2023-11-20,35.27,35.93,35.0,35.91,172639.0,35.712,1054
41,2023-11-21,35.81,36.17,35.42,36.12,143019.0,36.008,959
42,2023-11-22,36.44,36.5,36.16,36.37,163644.0,36.366,985
43,2023-11-24,36.23,36.54,36.13,36.53,95235.0,36.372,659
