,date,open,high,low,close,volume,average,barCount
0,2023-09-25,21.4,21.51,21.31,21.4,121314.0,21.377,526
1,2023-09-26,21.29,21.35,21.1,21.1,111058.0,21.216,484
2,2023-09-27,21.18,21.28,21.08,21.12,111799.0,21.162,497
3,2023-09-28,21.06,21.26,21.05,21.23,76766.0,21.173,249
4,2023-09-29,21.45,21.45,21.08,21.18,133451.0,21.298,472
5,2023-10-02,21.24,21.27,20.93,20.98,124449.0,21.045,536
6,2023-10-03,20.89,20.96,20.66,20.72,97957.0,20.763,327
7,2023-10-04,20.8,20.92,20.61,20.79,85822.0,20.729,310
8,2023-10-05,20.68,21.23,20.52,20.6,83352.0,20.617,307
9,2023-10-06,20.5,20.93,20.41,20.91,67035.0,20.714,238
10,2023-10-09,20.92,20.93,20.72,20.82,148035.0,20.798,518
11,2023-10-10,20.98,21.04,20.86,20.88,146746.0,20.95,474
12,2023-10-11,20.86,20.91,20.75,20.85,134955.0,20.805,526
13,2023-10-12,20.72,20.77,20.41,20.52,184132.0,20.595,598
14,2023-10-13,20.56,20.75,20.51,20.53,69843.0,20.608,249
15,2023-10-16,20.69,20.79,20.63,20.71,91437.0,20.727,396
16,2023-10-17,20.61,20.86,20.61,20.69,80875.0,20.738,383
17,2023-10-18,20.69,20.71,20.5,20.55,95546.0,20.58,418
18,2023-10-19,20.55,20.58,20.14,20.15,111461.0,20.377,599
19,2023-10-20,19.93,20.15,19.77,19.78,112840.0,19.903,464
20,2023-10-23,19.6,19.8,19.48,19.48,171920.0,19.639,623
21,2023-10-24,19.45,19.58,19.41,19.48,141682.0,19.507,552
22,2023-10-25,19.47,19.51,19.16,19.16,119847.0,19.277,512
23,2023-10-26,19.12,19.14,18.93,18.95,187930.0,19.043,840
24,2023-10-27,18.98,19.08,18.7,18.7,185535.0,18.84,889
25,2023-10-30,18.79,18.99,18.76,18.99,109329.0,18.889,409
26,2023-10-31,19.09,19.31,19.03,19.29,140756.0,19.189,484
27,2023-11-01,19.35,19.59,19.27,19.51,157140.0,19.448,561
28,2023-11-02,19.64,20.1,19.64,20.07,132943.0,19.973,519
29,2023-11-03,20.09,20.54,20.09,20.42,105641.0,20.414,384
30,2023-11-06,20.47,20.53,20.21,20.26,127708.0,20.308,582
31,2023-11-07,20.17,20.26,20.06,20.18,158785.0,20.187,572
32,2023-11-08,20.19,20.24,19.92,19.92,151803.0,20.054,522
33,2023-11-09,19.94,19.95,19.42,19.43,266157.0,19.632,1143
34,2023-11-10,19.43,19.78,19.41,19.77,142343.0,19.635,479
35,2023-11-13,19.74,19.92,19.71,19.84,130659.0,19.836,595
36,2023-11-14,20.09,20.45,20.09,20.38,109521.0,20.362,393
37,2023-11-15,20.41,20.67,20.37,20.51,147913.0,20.572,458
38,2023-11-16,20.55,20.59,20.38,20.41,186779.0,20.457,591
39,2023-11-17,20.43,20.59,20.42,20.5,140975.0,20.518,487
40,2023-11-20,20.41,20.67,20.38,20.59,134106.0,20.58,513
41,2023-11-21,20.43,20.53,20.34,20.44,171225.0,20.473,527
42,2023-11-22,20.58,20.68,20.41,20.52,196533.0,20.533,574
43,2023-11-24,20.53,20.68,20.53,20.61,75048.0,20.61,165
44,2023-11-27,20.51,20.55,20.43,20.46,225011.0,20.471,856
45,2023-11-28,20.41,20.58,20.38,20.42,282828.0,20.49,880
46,2023-11-29,20.44,21.6,20.41,20.47,229025.0,20.511,855
47,2023-11-30,20.58,20.71,20.45,20.7,451431.0,20.547,726
48,2023-12-01,20.7,21.17,20.7,21.11,182767.0,20.999,596
49,2023-12-04,21.0,21.21,21.0,21.12,136940.0,21.127,452
50,2023-12-05,21.02,21.12,20.89,20.9,152210.0,20.966,567
51,2023-12-06,20.9,21.04,20.9,20.9,132039.0,20.967,454
52,2023-12-07,21.05,21.12,20.97,21.07,131369.0,21.053,494
53,2023-12-08,21.1,21.19,21.05,21.06,147099.0,21.097,523
54,2023-12-11,21.14,21.31,21.14,21.17,173789.0,21.212,576
55,2023-12-12,21.21,21.27,21.07,21.11,163260.0,21.15,652
56,2023-12-13,21.19,21.66,21.16,21.54,189949.0,21.367,721
57,2023-12-14,21.79,22.12,21.7,21.95,193237.0,21.984,641
58,2023-12-15,21.8,22.9,21.79,22.05,343422.0,22.142,1044
59,2023-12-18,22.2,22.35,22.15,22.23,194214.0,22.242,712
60,2023-12-19,22.29,22.41,22.17,22.37,133033.0,22.319,407
61,2023-12-20,22.4,22.5,21.91,21.91,132196.0,22.221,503
62,2023-12-21,21.98,22.08,21.81,21.95,122641.0,21.937,459
63,2023-12-22,22.04,22.33,21.97,21.98,131032.0,22.143,471
64,2023-12-26,22.1,22.25,22.1,22.18,156874.0,22.174,431
65,2023-12-27,22.22,22.37,22.17,22.18,158248.0,22.259,533
66,2023-12-28,22.26,22.32,22.12,22.27,132780.0,22.202,452
67,2023-12-29,22.4,22.48,22.18,22.25,118319.0,22.284,302
68,2024-01-02,22.07,22.43,22.03,22.26,103910.0,22.24,359
69,2024-01-03,22.16,22.22,21.97,21.98,101808.0,22.081,451
70,2024-01-04,21.87,22.12,21.87,22.01,118695.0,22.05,433
71,2024-01-05,21.94,22.22,21.93,22.14,108995.0,22.115,438
72,2024-01-08,22.07,22.36,22.07,22.36,104404.0,22.27,397
73,2024-01-09,22.24,22.31,22.21,22.28,115996.0,22.249,512
74,2024-01-10,22.28,22.4,22.18,22.35,100679.0,22.314,410
75,2024-01-11,22.28,22.34,22.15,22.29,107927.0,22.233,406
76,2024-01-12,22.35,22.49,22.26,22.31,109961.0,22.33,405
77,2024-01-16,22.16,22.3,22.0,22.02,114028.0,22.139,461
78,2024-01-17,21.95,22.1,21.82,21.92,82614.0,21.936,336
79,2024-01-18,22.08,22.14,21.85,21.9,131529.0,21.917,388
80,2024-01-19,21.92,22.05,21.88,21.96,88689.0,21.966,428
81,2024-01-22,21.94,22.08,21.94,22.01,139728.0,22.011,437
82,2024-01-23,22.02,22.16,22.02,22.1,104817.0,22.089,373
83,2024-01-24,22.22,22.22,22.02,22.02,135682.0,22.099,484
84,2024-01-25,22.03,22.1,21.98,22.01,138339.0,22.023,515
85,2024-01-26,22.0,22.16,21.91,22.15,214799.0,22.028,937
86,2024-01-29,22.24,22.3,22.1,22.3,114914.0,22.21,574
87,2024-01-30,22.2,22.32,22.12,22.31,140971.0,22.237,490
88,2024-01-31,22.35,22.39,22.02,22.02,118992.0,22.244,437
89,2024-02-01,21.99,22.29,21.98,22.26,156566.0,22.118,466
