,date,open,high,low,close,volume,average,barCount
0,2023-10-06,54.79,56.47,54.76,56.12,2352123.0,55.797,15137
1,2023-10-09,56.09,56.78,55.99,56.47,1858316.0,56.392,13428
2,2023-10-10,56.53,56.58,55.7,55.85,2416060.0,56.037,16715
3,2023-10-11,55.83,56.16,55.42,56.01,3812305.0,55.757,26921
4,2023-10-12,58.7,60.69,58.0,60.22,11513977.0,59.747,70623
5,2023-10-13,60.71,60.93,59.53,60.12,4686382.0,60.143,29042
6,2023-10-16,60.37,60.67,59.39,59.88,3292899.0,59.869,22799
7,2023-10-17,59.88,60.08,59.35,60.06,2405670.0,59.719,17280
8,2023-10-18,60.09,60.15,58.75,58.79,2655723.0,59.324,17824
9,2023-10-19,59.26,59.43,58.26,58.53,2424815.0,58.749,18231
10,2023-10-20,58.6,58.84,57.47,57.61,2260825.0,57.951,16204
11,2023-10-23,57.72,58.02,57.33,57.38,1482391.0,57.693,11137
12,2023-10-24,57.8,58.24,57.13,57.58,1867909.0,57.527,14055
13,2023-10-25,57.17,57.22,56.41,57.08,2237024.0,56.927,17054
14,2023-10-26,57.14,57.99,57.01,57.24,2306479.0,57.415,16156
15,2023-10-27,57.13,58.15,57.06,57.61,2570232.0,57.668,20005
16,2023-10-30,57.93,58.5,57.56,58.23,2345596.0,58.129,15363
17,2023-10-31,58.18,58.93,58.15,58.34,2611114.0,58.459,17464
18,2023-11-01,58.48,59.14,58.04,58.91,2091483.0,58.57,15018
19,2023-11-02,59.06,60.34,58.9,59.86,2392313.0,59.895,16870
20,2023-11-03,60.3,60.46,59.67,59.8,2518785.0,59.964,17908
21,2023-11-06,59.34,59.34,58.23,58.72,2615828.0,58.585,17731
22,2023-11-07,58.65,59.22,58.28,59.02,1726796.0,58.975,11740
23,2023-11-08,59.4,59.6,59.0,59.26,1937059.0,59.273,13877
24,2023-11-09,59.5,59.76,59.04,59.13,1472911.0,59.337,10850
25,2023-11-10,59.56,60.05,59.35,60.01,1596967.0,59.799,10270
26,2023-11-13,60.05,60.19,59.53,59.64,1114652.0,59.732,7709
27,2023-11-14,60.22,61.1,60.07,61.0,2027510.0,60.804,14082
28,2023-11-15,61.11,61.25,60.03,60.11,1833732.0,60.49,13152
29,2023-11-16,60.27,60.86,60.22,60.66,1769354.0,60.566,12398
30,2023-11-17,60.8,60.95,60.54,60.75,1283744.0,60.739,8552
31,2023-11-20,60.65,61.08,60.31,60.92,1589507.0,60.795,10338
32,2023-11-21,60.98,61.02,60.64,60.7,1149702.0,60.811,8474
33,2023-11-22,60.87,61.02,60.55,60.87,1072433.0,60.813,7879
34,2023-11-24,60.95,61.17,60.82,60.96,505236.0,60.996,3624
35,2023-11-27,60.67,61.05,60.6,60.95,1563186.0,60.825,10192
36,2023-11-28,60.83,60.97,59.83,59.9,1691194.0,60.218,12040
37,2023-11-29,60.13,60.4,59.46,59.64,1398616.0,59.723,10664
38,2023-11-30,59.98,60.17,59.49,59.97,1453552.0,59.841,10257
39,2023-12-01,59.99,60.83,59.78,60.82,1588837.0,60.592,11099
40,2023-12-04,60.31,61.04,60.31,60.97,1478157.0,60.816,10941
41,2023-12-05,60.5,60.91,60.16,60.75,1822402.0,60.652,12792
42,2023-12-06,61.06,62.2,61.05,62.13,3309920.0,61.859,22211
43,2023-12-07,62.43,62.6,61.89,62.36,2171098.0,62.352,15237
44,2023-12-08,62.31,62.47,62.0,62.29,1799698.0,62.244,12794
45,2023-12-11,62.5,63.39,62.37,63.35,1819421.0,63.1,13093
46,2023-12-12,63.52,63.93,63.36,63.88,1895380.0,63.721,13073
47,2023-12-13,63.96,64.2,63.04,64.04,2391751.0,63.614,14222
48,2023-12-14,63.63,64.29,63.02,64.23,3001944.0,63.89,21457
49,2023-12-15,64.22,64.27,63.61,64.16,3682072.0,64.007,17220
50,2023-12-18,64.53,64.73,64.1,64.63,1615187.0,64.511,11748
51,2023-12-19,64.69,65.03,64.46,64.69,1349436.0,64.647,9316
52,2023-12-20,64.83,65.34,64.53,64.64,1902844.0,64.931,12954
53,2023-12-21,64.95,65.42,64.84,65.09,1396736.0,65.081,10546
54,2023-12-22,65.35,65.58,65.19,65.34,1120051.0,65.372,8680
55,2023-12-26,65.57,65.66,65.29,65.45,911511.0,65.51,6900
56,2023-12-27,65.59,65.66,65.25,65.34,1359899.0,65.432,10064
57,2023-12-28,65.39,65.39,64.8,64.84,1251423.0,64.972,9073
58,2023-12-29,64.83,65.1,64.48,64.77,1546303.0,64.704,11223
59,2024-01-02,64.29,64.71,63.3,63.55,1916477.0,63.768,13911
60,2024-01-03,63.45,63.53,62.06,62.08,2293208.0,62.619,16701
61,2024-01-04,62.11,62.48,61.89,62.19,1843154.0,62.252,13183
62,2024-01-05,61.92,62.27,61.65,61.98,1570206.0,61.933,11646
63,2024-01-08,62.17,62.55,62.0,62.47,2210587.0,62.252,15226
64,2024-01-09,61.6,62.63,61.33,62.53,2294744.0,62.237,16745
65,2024-01-10,62.68,63.15,62.49,63.08,1878730.0,62.907,14348
66,2024-01-11,63.0,63.42,62.59,63.37,2130672.0,63.037,16179
67,2024-01-12,63.53,63.61,62.97,63.52,1736065.0,63.363,12752
68,2024-01-16,63.5,63.83,63.25,63.77,2819231.0,63.578,20677
69,2024-01-17,63.76,64.25,63.21,63.38,4089802.0,63.535,28643
70,2024-01-18,66.04,68.69,65.4,67.93,9296981.0,67.433,57715
71,2024-01-19,68.08,69.51,67.8,69.34,5042394.0,68.838,33051
72,2024-01-22,69.66,69.94,68.64,69.91,3469568.0,69.481,23232
73,2024-01-23,69.93,70.1,68.89,69.51,2683521.0,69.33,18985
